Title,Authors,Publication date,Journal,Volume,Issue,Publisher,Description,Total citations,Scholar articles,Citation Count,Pages,Book,Conference,Source,Institution
RRAM Based Energy Efficient Scalable Integrate & Fire Neuron with Built-in Reset Circuit,"Ashvinikumar Dongre, Gaurav Trivedi",2022/11/3,IEEE Transactions on Circuits and Systems II: Express Briefs,,,IEEE,"In this article, we propose a Resistive Random Access Memory (RRAM) based self-resetting Integrate and Fire (I&F) neuron. The proposed neuron circuit does not require any external bias voltage and the integration of control unit required to reset RRAM into neuron circuit optimizes its overall power consumption. The neuron circuit proposed in this paper consists of two RRAMs for integrate and fire operations, whereas, pulse propogation and reset circuit consists of 22 CMOS transistors. It consumes 1.5 fJ per spike, which is 48% and 53% less than the recent neurons designed using, nanoscale FBFET and PDSOI-MOSFET, respectively. The operating frequency of proposed neuron ranges from 277 KHz to 03 MHz, which is at least 7.5% and 10% higher than the operating frequencies of above mentioned recent neurons, respectively. The inclusion of reset circuit into RRAM based neuron circuit enables the …",0,"RRAM Based Energy Efficient Scalable Integrate & Fire Neuron with Built-in Reset Circuit
A Dongre, G Trivedi - IEEE Transactions on Circuits and Systems II: Express …, 2022
Related articles",{},,,,,
Tensor Based Multivariate Polynomial Modulo Multiplier for Cryptographic Applications,"Bikram Paul, Angana Nath, Srinivasan Krishnaswamy, Jan Pidanic, Zdenek Nemec, Gaurav Trivedi",2022/10/19,IEEE Transactions on Computers,,,IEEE,"Modulo polynomial multiplication is an essential mathematical operation in the area of finite field arithmetic. Polynomial functions can be represented as tensors, which can be utilized as basic building blocks for various lattice-based post-quantum cryptography schemes. This paper presents a tensor-based novel modulo multiplication method for multivariate polynomials over and is realized on the hardware platform (FPGA). The proposed method consumes less power and achieves more than speedup compared to other contemporary single variable polynomial multiplication implementations. Our method is embarrassingly parallel and easily scalable for multivariate polynomials. Polynomial functions of nine variables, where each variable is of degree 128, are tested with the proposed multiplier, and its corresponding area, power, and power-delay-area product (PDAP) are presented. The computational …",0,"Tensor Based Multivariate Polynomial Modulo Multiplier for Cryptographic Applications
B Paul, A Nath, S Krishnaswamy, J Pidanic, Z Nemec… - IEEE Transactions on Computers, 2022
Related articles All 2 versions",{},,,,,
Application of hash function for generation of modulation data in RadCom system,"Tomáš Krejčí, Tomáš Zálabský, Dušan Kopecký, Gaurav Trivedi",2022/10/1,Digital Signal Processing,130.0,,Academic Press,"The challenge of current radiocommunication systems is the efficient use of the frequency spectrum. One of the rapidly evolving tools is a RadCom system, which combines the functionality of a radar sensor with a communication interface. RadCom systems are used in several fields, and the presented work is focused on their applications in the automotive industry. The goal was to design a modulation technique and generate modulation data, which will be suitable for radar determination of the distance and velocity of targets, but also enable their mutual communication. A model of the RadCom system, which simultaneously allows a simulation of detection and communication of several moving targets, has been developed. Herein, a method of generating pseudo-random data based on the MD5 hashing algorithm is described. The proposed method of radar signal processing enables unambiguous detection of …",0,"Application of hash function for generation of modulation data in RadCom system
T Krejčí, T Zálabský, D Kopecký, G Trivedi - Digital Signal Processing, 2022
Related articles All 2 versions",{},103735,,,,
A resource efficient software-hardware co-design of lattice-based homomorphic encryption scheme on the fpga,"Bikram Paul, Tarun Kumar Yadav, Balbir Singh, Srinivasan Krishnaswamy, Gaurav Trivedi",2022/8/16,IEEE Transactions on Computers,,,IEEE,"Lattice-based homomorphic encryption schemes provide strong resistance against quantum and classical computer-based adversary security attacks. In this paper, we present a software-hardware co-design of two partially homomorphic encryption (PHE) schemes employing an ARM-SoC and an FPGA This provides necessary acceleration to PHE methods in the ecosystem mentioned above. The first PHE scheme is designed for generic homomorphic encryption, while the second scheme is aimed at resource optimized lightweight IoT-driven applications. For seamless assimilation, a robust and reliable low latency data transfer protocol is developed between the FPGA-based accelerator IP and ARM-SoC host system. The proposed PHE schemes are realized using Verilog HDL on multiple FPGA platforms. The proposed lightweight scheme is more resource-efficient than the pipelined BGV RLWE-based method. It …",1,"A resource efficient software-hardware co-design of lattice-based homomorphic encryption scheme on the fpga
B Paul, TK Yadav, B Singh, S Krishnaswamy, G Trivedi - IEEE Transactions on Computers, 2022
Cited by 1 Related articles All 2 versions",{'2022': 1},,,,,
DNN Based Short Term Load Forecasting of Individual Household with Real and Synthetic Data-Set,"Praveen Tiwari, Pinakeswar Mahanta, Gaurav Trivedi",2022/6/26,,,,Springer Nature Singapore,"Short term load forecasting for household load patterns has primarily appeared to be a challenging task worldwide because of their usual stochastic nature that is originated from unpredictable customer behavior, weather actuations and noise patterns. And so, in order to study and design the advanced operation and control mechanism for an individual household, the localized load data-set is preferred. The customized household load data specific to a location is not available easily. Therefore, a simulated data-set of the household load pattern can also be helpful. In this paper, we have used a strategy to forecast short term load for households by pooling together load profiles from 20 households and achieved considerable improvement upon the primary results by analyzing one model parameter: the time-lag provided in the look-back window. Further, the model is validated with an additional data-set of pooled …",0,"DNN Based Short Term Load Forecasting of Individual Household with Real and Synthetic Data-Set
P Tiwari, P Mahanta, G Trivedi - Advanced Machine Intelligence and Signal Processing, 2022
Related articles",{},789-800,Advanced Machine Intelligence and Signal Processing,,,
Fiber Bragg grating employing novel apodization profile: performance optimization for quasi-distributed sensing applications,"Krishna Mohan Dwivedi, G Trivedi, Sunil K Khijwania",2022/6,Optical and Quantum Electronics,54.0,6.0,Springer US,"The focus of this paper is to achieve greater efficiency of fiber Bragg grating (FBG) based all-optical quasi-distributed sensing network by suitably tailoring and controlling the key optical characteristics of the FBG. Apodization profile plays a critical role in order to achieve optimum optical characteristics for the FBG. FBG with a novel apodization profile and optimized optical characteristics with respect to the key grating parameters is reported for this purpose. Performance characteristics that are critically important for optical communication as well as sensor applications are rigorously and comparatively analyzed for the FBG employing proposed apodization profile and other selected elite apodization profiles. Simulation results show that among all the apodization profiles included in the theoretical analysis, best side-lobe suppression characteristics along with a FWHM of 0.14 nm (< 0.2 nm) and reflectivity of 0.607 (> …",1,"Fiber Bragg grating employing novel apodization profile: performance optimization for quasi-distributed sensing applications
KM Dwivedi, G Trivedi, SK Khijwania - Optical and Quantum Electronics, 2022
Cited by 1 Related articles",{'2023': 1},338,,,,
"A 28-Gbps Radix-16, 512-Point FFT Processor-Based Continuous Streaming OFDM for WiGig","Sumit Agarwal, Shaik Rafi Ahamed, Anup Gogoi, Gaurav Trivedi",2022/5,"Circuits, Systems, and Signal Processing",41.0,5.0,Springer US,"A fast Fourier transform (FFT) chip for IEEE 802.11ay wireless local area network (WLAN) standard has to stream at 20–40 Gbps with a continuous flow (CF). The earlier WLAN standard, IEEE 802.11ad, had a throughput of 7–10 Gbps. In order to double the throughput, the processing elements and memories would need to be increased, thus drastically increasing the area. The proposed 512-point radix 16 FFT architecture achieves 28-Gbps throughput occupying only 20% more chip area than the best existing 10–15-Gbps designs. Apart from that, it has all three capabilities: CF, conflict-free access (CFA), and normal order input–output. Most FFTs use two memories in a switched fashion for CF. This design uses an additional smaller input memory by exploiting the smaller wordlength of 4 bit (for 64 QAM) of OFDM. Three memories are dedicated individually to the three stages of the FFT. This architecture …",0,"A 28-Gbps Radix-16, 512-Point FFT Processor-Based Continuous Streaming OFDM for WiGig
S Agarwal, SR Ahamed, A Gogoi, G Trivedi - Circuits, Systems, and Signal Processing, 2022
Related articles All 2 versions",{},2871-2897,,,,
Design and implementation of a low power area efficient Bfloat16 based CORDIC processor,"Saras Mani Mishra, Hanumant Singh Shekhawat, Gaurav Trivedi, Pidanic Jan, Zdenek Nemec",2022/4/21,,,,IEEE,"Coordinate Rotation Digital Computer (CORDIC) algorithm has a great advantage in hardware based implementation because of its simple architecture. It employs shifter and adder for hardware implementation. The major issue with a CORDIC algorithm is the linear dependence of convergence on the number of iterations. Each iteration performs shift and addition or subtraction operations, due to this there is a trade off between area and delay. Also, the floating-point representation of angles would also increase the area and power. The main aim of this work is to implement a low power and area efficient bfloat16 based on a CORDIC algorithm. The proposed hardware module consumes and less area and power compared to a single-precision floating-point based CORDIC implementation. The result of the proposed module has been verified on a Zynq evaluation FPGA board.",1,"Design and implementation of a low power area efficient Bfloat16 based CORDIC processor
SM Mishra, HS Shekhawat, G Trivedi, P Jan, Z Nemec - 2022 32nd International Conference Radioelektronika …, 2022
Cited by 1 Related articles",{'2022': 1},1-6,,2022 32nd International Conference Radioelektronika (RADIOELEKTRONIKA),,
Design of a Low Power and Area Efficient Bfloat16 based Generalized Systolic Array for DNN Applications,"Ankita Tiwari, Saras Mani Mishra, Prithwijit Guha, Pidanic Jan, Zdenek Nemec, Gaurav Trivedi",2022/4/21,,,,IEEE,"Nowadays demand for artificial intelligence (AI) enabled mobile platforms is increasing. From healthcare services to defense and from remote to urban area, there is a huge demand of secured and power efficient devices. The performance of these platforms can be enhanced by providing an efficient compute engine. These compute engines perform a huge amount of matrix operations. The most popular choice for large matrix computation is a systolic array. In general, the systolic array performance degrades for the large input matrices, due to the trade off between resource utilization and computation delay. To address this issue, we need a systolic array with a control unit to re-configure the array according to the requirement of the computation. Computation array can be further improved by handling the negative weights and reduce the MAC operations. In this paper, we proposed a generalized bfloat16 based …",0,"Design of a Low Power and Area Efficient Bfloat16 based Generalized Systolic Array for DNN Applications
A Tiwari, SM Mishra, P Guha, P Jan, Z Nemec… - 2022 32nd International Conference Radioelektronika …, 2022
Related articles",{},1-5,,2022 32nd International Conference Radioelektronika (RADIOELEKTRONIKA),,
An Energy Efficient and Resource Optimal VLSI Architecture for ECG Feature Extraction for Wearable Healthcare Applications,"Meenali Janveja, Rushik Parmar, Gaurav Trivedi, Pidanic Jan, Zdenek Nemec",2022/4/21,,,,IEEE,"The paper presents a low complexity algorithm for extracting features of an electrocardiogram (QRS complex, P wave and T wave). A low power and resource optimal architecture is designed to implement this algorithm efficiently. The algorithm's parameters are chosen appropriately to avoid any floating-point compute-intensive arithmetic operation enabling us to implement it using comparators, shifters and adders only, which leads to efficient hardware resource utilization. The proposed architecture employs techniques such as clock gating to optimize power consumption. The modules delineating different peaks and boundaries of the ECG signal can be turned off when they are not operational or as per the medical requirements. The algorithm and architecture proposed in this paper are validated using MIT-BIH and QT database from Physionet. The proposed algorithm is implemented using the Virtex - 7 FPGA …",1,"An Energy Efficient and Resource Optimal VLSI Architecture for ECG Feature Extraction for Wearable Healthcare Applications
M Janveja, R Parmar, G Trivedi, P Jan, Z Nemec - 2022 32nd International Conference Radioelektronika …, 2022
Cited by 1 Related articles",{'2022': 1},1-6,,2022 32nd International Conference Radioelektronika (RADIOELEKTRONIKA),,
Comparison of floating-point representations for the efficient implementation of machine learning algorithms,"Saras Mani Mishra, Ankita Tiwari, Hanumant Singh Shekhawat, Prithwijit Guha, Gaurav Trivedi, Pidanic Jan, Zdenek Nemec",2022/4/21,,,,IEEE,"Smart systems are enabled by artificial intelligence (AI), which is realized using machine learning (ML) techniques. ML algorithms are implemented in the hardware using fixed-point, integer, and floating-point representations. The performance of hardware implementation gets impacted due to very small or large values because of their limited word size. To overcome this limitation, various floating-point representations are employed, such as IEEE754, posit, bfloat16 etc. Moreover, for the efficient implementation of ML algorithms, one of the most intuitive solutions is to use a suitable number system. As we know, multiply and add (MAC), divider and square root units are the most common building blocks of various ML algorithms. Therefore, in this paper, we present a comparative study of hardware implementations of these units based on bfloat16 and posit number representations. It is observed that posit based …",2,"Comparison of floating-point representations for the efficient implementation of machine learning algorithms
SM Mishra, A Tiwari, HS Shekhawat, P Guha, G Trivedi… - 2022 32nd International Conference Radioelektronika …, 2022
Cited by 2 Related articles",{'2022': 2},1-6,,2022 32nd International Conference Radioelektronika (RADIOELEKTRONIKA),,
A Scalable and Adaptive Convolutional Neural Network Accelerator,"Jan Pidanic, Arpan Vyas, Rishav Karki, Prateek Vij, Gaurav Trivedi, Zdenek Nemec",2022/4/21,,,,IEEE,"Machine learning has become ubiquitous and penetrated every field of technology, medicine, and finance. Convolutional Neural Network (CNN) is one of the most commonly used class of machine learning algorithms that is being used in video and image processing, big data processing, natural language processing, robotics, and a variety of pattern matching and recognition tasks. Depending on the end application, CNNs are being employed on different scales ranging from tiny motion sensors and smartphones to automobiles and server farms. Although existing CNN accelerators are adaptive for different types of CNN models, they are generally suited for a particular scale of operation. In this paper, we describe a scalable and adaptive CNN accelerator. The same hardware-cum-software stack can be configured by a system-level parameter to be synthesized for different scales of operation. This makes the …",1,"A Scalable and Adaptive Convolutional Neural Network Accelerator
J Pidanic, A Vyas, R Karki, P Vij, G Trivedi, Z Nemec - 2022 32nd International Conference Radioelektronika …, 2022
Cited by 1 Related articles",{'2022': 1},01-05,,2022 32nd International Conference Radioelektronika (RADIOELEKTRONIKA),,
An Area and Power Efficient VLSI Architecture to Detect Obstructive Sleep Apnea for Wearable Devices,"Rushik Parmar, Meenali Janveja, Gaurav Trivedi, Pidanic Jan, Zdenek Nemec",2022/4/21,,,,IEEE,"Sleep disorders are a common detrimental health condition that reduces quality of life. Among different sleep disorders, Obstructive Sleep Apnea (OSA) is one of the most common sleep disorders. OSA is characterized by a reduction or cessation of airflow during sleep. However, due to expensive and cumbersome detection process, only 10% of the OSA cases are actually diagnosed in the real world. To overcome this challenge, an area and power efficient VLSI Architecture for non-invasive detection of OSA, using features of ECG signal and support vector machines (SVM), is proposed in this manuscript. The proposed classifier achieves an accuracy of 84.60% and sensitivity and specificity of 83.85% and 85.58% respectively. The design is further synthesised using 180 nm Bulk CMOS technology consuming power at 1 kHz and occupies an area of 0.429 mm 2 , The low-power implementation of the …",0,"An Area and Power Efficient VLSI Architecture to Detect Obstructive Sleep Apnea for Wearable Devices
R Parmar, M Janveja, G Trivedi, P Jan, Z Nemec - 2022 32nd International Conference Radioelektronika …, 2022
Related articles",{},1-5,,2022 32nd International Conference Radioelektronika (RADIOELEKTRONIKA),,
A Novel Dynamic Window Function for a Memristor Model,Ananda YR,2022/3/17,,,,TechRxiv,"The window function plays an important role in preserving nonlinearity of linear ion drift model of a memristor, when the applied voltage and frequency are varied. The work presented in this paper mainly focuses on designing a new window function suitable for the wide range of voltages and frequencies. The proposed window function is verified extensively and a pinched hysteresis loop (PHL) is generated by utilizing our window function without any distortion, satisfying desired characteristics of a memristor. The proposed window function illustrates 39.68% success rate, when validated with 63 testcases, which is more than 3.5 times as compared to any other stateof-the-art window functions reported in the literature. Additionally, the proposed window function obtains 34× higher voltage and frequency range exhibiting desired IV characteristics. A memristor based differentiator is also designed using SPICE to validate functionality of the proposed window function, and it is found that this differentiator exhibits stable and reliable performance in terms of accuracy and power as compared to a standard differentiator and other memristor based differentiators incorporating window functions available in the literature.",0,"A Novel Dynamic Window Function for a Memristor Model
A YR - 2022
Related articles All 2 versions",{},,,,,
Investigation of Electric Field Profile and associated parameters with Embedded Metal Layer in Field Plate AlGaN/GaN HEMTs,"Sushanta Bordoloi, Ashok Ray, Pranjal Barman, Gaurav Trivedi",2022/3/1,Journal of Physics: Conference Series,2236.0,1.0,IOP Publishing,"Electric field initiates various failure mechanism in an III-N based AlGaN/GaN HEMTs. The material properties of the GaN-HEMTs under the influence of electric field activates physical mechanisms like converse piezoelectric effect (CPE), crack/defect migration, trapping, which deteriorate the electrical behaviour of the device leading to permanent failure. The drain side of the gate edge has the highest electric field and is the hub of all the reliability concerns in a GaN HEMT, which is mitigated with field plate (FP) technology. However, the FP edge is now subjected to these degradation phenomena. The present work aims at suppressing the strong electric fields at the FP gate edge using an embedded metal layer that shields the electric field from reaching the gate edge. Calibrated numerical simulations have been carried out on the proposed device structure to observe the viability in consideration. It is found that the …",0,"Investigation of Electric Field Profile and associated parameters with Embedded Metal Layer in Field Plate AlGaN/GaN HEMTs
S Bordoloi, A Ray, P Barman, G Trivedi - Journal of Physics: Conference Series, 2022
Related articles All 3 versions",{},012005,,,,
Access Region Stack Engineering for Mitigation of Degradation in AlGaN/GaN HEMTs with Field Plate,"Sushanta Bordoloi, Ashok Ray, Gaurav Trivedi",2022/2/10,IEEE Transactions on Device and Materials Reliability,22.0,1.0,IEEE,"Electric field in a device varies as it switches between ON and OFF states. These states have different intensities of electric field and carrier density. The regions having high electric field affects reliability of a GaN-HEMT. In a AlGaN/GaN HEMT, degradation primarily initiates as a result of electric field crowding near its edges. The present work aims at suppressing high electric field in the SEMI-ON state at the field plate edge by incorporating a SiO 2 pocket at its edge. Numerical analysis is performed using a calibrated setup to investigate viability and performance of the proposed device. It is found that the electric field and electron temperature in the SEMI-ON state reduce significantly by incorporating a SiO 2 pocket around the field plate edge in the drain access region. For the device having SiO 2 pocket with diamond and passivation layer thickness kept at 30 nm each, the electric field, carrier temperature, and self …",2,"Access Region Stack Engineering for Mitigation of Degradation in AlGaN/GaN HEMTs with Field Plate
S Bordoloi, A Ray, G Trivedi - IEEE Transactions on Device and Materials Reliability, 2022
Cited by 2 Related articles","{'2022': 1, '2023': 1}",73-84,,,,
