Title,Authors,Publication date,Journal,Volume,Issue,Publisher,Description,Total citations,Scholar articles,Citation Count,Pages,Book,Conference
Kinetics of growth and multi substrate degradation by an indigenous mixed microbial culture isolated from a wastewater...,"Pichiah Saravanan, Prabirkumar Saha",,,,,,"An indigenous mixed culture of microorganisms, isolated from a sewage treatment plant, was investigated for its potential to simultaneously degrade phenol and m-cresol during its growth in batch shake flasks. 22 full factorial designs with the two substrates as the factors, at two different levels and two different initial concentration ranges, were employed to carry out the biodegradation experiments. For complete utilisation of phenol and m-cresol, the culture took a minimum duration of 21 hrs at their low concentration of 100 mg/L each, and a maximum duration of 187hrs at high concentration of 600mg/L each in the multisubstrate system. The biodegradation results also showed that the presence of phenol in low concentration range (100–300mg/L did not inhibit m-cresol biodegradation; on the other hand, presence of m-cresol inhibited phenol biodegradation by the culture. Moreover, irrespective of the concentrations used, phenol was degraded preferentially and earlier than m-cresol. During the culture growth, a lag phase was observed above a combined concentration of 500 mg/L ie, 200 mg/L m-cresol and 300 mg/L of phenol and above). Statistical analysis of the specific growth rate of the culture in the multisubstrate system was also performed in the form of ANOVA and Student ‘t’test, which gave good interpretation in terms of main and interaction effects of the substrates.",0,"Kinetics of growth and multi substrate degradation by an indigenous mixed microbial culture isolated from a wastewater...
P Saravanan, P Saha
Related articles",{},,,
Biodegradation of phenol and m-cresol in a batch and fed batch,"P Saravanan, K Pakshirajan, Prabirkumar Saha",,,,,,"28 An internal loop airlift reactor (ILALR) is developed and studied for biodegradation of phenol/m-cresol as 29 single and dual substrate systems under batch and fed batch operation using an indigenous mixed micro-30 bial strain, predominantly Pseudomonas sp. The results showed that the culture could degrade phenol/m-31 cresol completely at a maximum concentration of 600 mg l
À1 and 400 mg l À1, respectively. Batch ILALR 32 study has revealed that phenol has been preferentially degraded by the microbial culture rather than 33 m-cresol probably owing to the toxic effect of the later. A sum kinetic model evaluated the interaction 34 between the phenol/m-cresol in dual substrate system, which resulted in a high coefficient of determina-35 tion (R 2) value> 0.98). The fed batch results showed that the strain was able to degrade phenol/m-cresol 36 with maximum individual concentrations 600 mg l",0,"Biodegradation of phenol and m-cresol in a batch and fed batch
P Saravanan, K Pakshirajan, P Saha
Related articles",{},,,
"187: Liquid Membrane Based Separation and Recovery Of Catechin (+ C), A Bioactive Compound","Mriganka Sekhar Manna, Kamal Kumar Bhatluri, Prabirkumar Saha, Aloke Kumar Ghoshal",,,,,,"The extraction and recovery of bioactive component, catechin (+ C), from the easily available plants has been studied in this work. Catechin aids great pharmacological benefits to human health such as reduction of cholesterol and hypertension, anti-oxidation, anti-microbial, protection against cardiovascular disease and cancer. Catechin is found in leaves and flowers of tea plants (Camellia sinensis). Liquid membrane based separation technique is an extraction/recovery process of solute from solute rich source phase to solvent phase and thereby from solvent phase to strip phase. Vegetable oils such as coconut oil, soyabean oil, sunflower oil and mustard oil are known to be both environmentally as well as physiologically benign solvents. The efficacy of these vegetable oils for extraction of bioactive component has been explored in this work. Various vegetables oils and carriers viz. aliquat 336, trioctylamine (TOA), di-2-ethylhexyl phosphoric acid, nn-dimethyloctylamine and tributyl phosphate (TBP) have been tried. Sunflower oil and the sunflower oil-tributyl phosphate (TBP) have been identified as the most efficient solvent and solvent-carrier combination respectively in two phase equilibrium study. Maximum catechin extraction (93%) was obtained using 28%(v/v) carrier in sunflower oil at optimum operating conditions viz. pH of 7.0, temperature of 25 ºC and stirring speed of 200 rpm. Based on the result of two phase equilibrium studies, simultaneous extraction and recovery of the catechin has been explored through a preliminary study in a BLM type liquid membrane configuration using ethanol as the stripping agent. 70% extraction and 50 …",0,"187: Liquid Membrane Based Separation and Recovery Of Catechin (+ C), A Bioactive Compound
MS Manna, KK Bhatluri, P Saha, AK Ghoshal
All 4 versions",{},,,
Evaluation of Indigenous Mixed Microbial Consortium for Bioremediation of Petroleum Refinery Effluent,"Pichiah Saravanan, K Pakshirajan, Prabirkumar Saha",,,,,,"In the present study the an indigenous mixed microbial consortium, isolate from sewage treatment plant located at Guwahati, India was evaluated for its potential, with the refinery effluent collected from a refinery complex located at Guwahati, India. As a first step the isolated culture was acclimatized in presence of m-cresol as a carbon source. The culture was then evaluated for its potential in degrading phenol and m-cresol as dual substrate system. A 22 full factorial designs with the two substrates as the factors, at two different levels and two different initial concentration ranges, were employed to carry out the biodegradation experiments. The concentration ranges adopted in the study includes both low viz 100 mgl-1 of each and high concentration viz 600 mgl-1 was adopted in the study. The mixed culture showed a good potential in degrading the refinery effluent having an initial Chemical Oxygen Demand (COD) of 5000 mgl-1",0,"Evaluation of Indigenous Mixed Microbial Consortium for Bioremediation of Petroleum Refinery Effluent
P Saravanan, K Pakshirajan, P Saha",{},,,
186: Separation of Cd (II) from wastewater using environmentally benign vegetable oil as liquid membrane,"Kamal Kumar Bhatluri, Mriganka Sekhar Manna, Prabirkumar Saha, Aloke Kumar",,,,,,"In the present work, two phase equilibrium study has been carried out for separation of Cd (II) using liquid membrane with various green solvents, viz. sunflower oil, soybean oil, coconut oil and mustard oil. Practically no solute transfer occurs with mustard oil as a solvent, whereas sunflower and soybean oil yields low transfer rate (18% and 19.5% respectively). Nevertheless, coconut oil has been found to be an ideal green solvent for this purpose which yields an extraction efficiency of 84% with Shalimar® coconut oil (Shalimar Chemical Works Limited) even without using any transport enhancing carrier agent. The performance is further enhanced with a different brand of coconut oil, viz. Parachute®(Marico International), which yields 92% extraction. The performance of liquid membrane depends upon various operating conditions such as feed concentration, pH, stirring speed, carrier concentrations, temperature and various other physical and chemical condition of the process. Series of experimentations with varying operating conditions have been performed in order to find the optimum process condition that is most suitable for the Cd (II) transport.",1,"186: Separation of Cd (II) from wastewater using environmentally benign vegetable oil as liquid membrane
KK Bhatluri, MS Manna, P Saha, A Kumar
Cited by 1 Related articles All 2 versions",{'2012': 1},,,
SEPARATION OF BIOACTIVE COMPOUNDS (+) CATECHIN AND (-) EPICATECHIN FROM THEIR AQUEOUS SOLUTION USING LIQUID MEMBRANE,"Mriganka Sekhar Manna, Kamal Kumar Bhatluri, Prabirkumar Saha, Aloke Kumar Ghoshal",,,,,,"Two catechin compounds, catechin and epicatechin aid great pharmacological benefits to human health such as reduction of cholesterol and hypertension, anti-oxidation, anti-microbial, protection against cardiovascular disease and cancer. They are found in leaves and flowers of tea plants (Camellia sinensis). Extraction and recovery of these bioactive components using liquid membrane based separation are studied in the present work, where, solute is transported from solute rich source phase to solvent phase and thereby from solvent phase to strip phase. Amongst various vegetable oils such as coconut oil, soybean oil, sunflower oil and mustard oil, known to be both environmentally as well as physiologically benign solvents, and various carriers viz. aliquat 336, trioctylamine (TOA), di-2-ethylhexyl phosphoric acid, nn-dimethyloctylamine and tributyl phosphate (TBP), the sunflower oil-tributyl phosphate (TBP) combination is identified as the most efficient solvent-carrier combination in two phase equilibrium study. The simultaneous extraction and recovery of the catechin compounds studied in BLM type liquid membrane configuration uses ethanol as the stripping agent. 70% extraction and 44% recovery of the catechins have been achieved respectively at the optimum conditions of the parameters viz. 10%(v/v) TBP in the membrane phase, feed phase pH of 4.0, ethanol 0.2 (M) as stripping agent and stirring speed of 400 rpm of both the feed and receiving phases. Maximum fluxes of the extraction and recovery have been 5.7× 10-9 g cm-2 s-1 and 4.9× 10-9 g cm-2 s-1, respectively.",0,"SEPARATION OF BIOACTIVE COMPOUNDS (+) CATECHIN AND (-) EPICATECHIN FROM THEIR AQUEOUS SOLUTION USING LIQUID MEMBRANE
MS Manna, KK Bhatluri, P Saha, AK Ghoshal",{},,,
SEPARATION OF Cd (II) FROM ITS AQUEOUS SOLUTION USING LIQUID MEMBRANE,"Kamal Kumar Bhatluri, Mriganka Sekhar Manna, Prabirkumar Saha, Aloke Kumar Ghoshal",,,,,,"Environmental pollution due to heavy metals (Cd, Hg, Pb, As, Ni and Cr etc.) from the industrial wastewater has been a long standing problem. Heavy metals that cause severe damage to human health are not biodegradable and hence it is important that they should be removed before effluent disposal. The major sources of effluent containing heavy metals are industries viz. Chloro-alkali, pulp & paper, battery, fertilizer, mining & combustion and rubber processing. Separation of heavy metals by liquid membrane (LM) is one of the most promising separation technologies. The LM is a homogeneous, thin film of liquid (membrane phase) interposed between two other liquid phases, viz. feed (or source) phase and receiving (or strip) phase. The transport of solute across the LM occurs due to its higher solubility and diffusivity in the liquid film as well as the concentration gradients in the phases. In LM based separation the primary issue is selection of suitable solvent (for membrane phase). Most of the conventional organic solvents widely used for the heavy metals extraction processes are toxic, flammable and volatile in nature. So, heavy metals from the industrial effluent need to be separated by green technology. The performance of LM based separation process is affected by various physical and chemical parameters viz. pH, concentration, stirring rate of the aqueous phases, temperature and carrier concentration. In the present work, three phase studies were carried out for extraction and recovery of Cd (II) through the bulk liquid membrane (BLM) configuration. Amongst various green solvents, viz. sunflower oil, soybean oil, coconut oil and mustard …",0,"SEPARATION OF Cd (II) FROM ITS AQUEOUS SOLUTION USING LIQUID MEMBRANE
KK Bhatluri, MS Manna, P Saha, AK Ghoshal
All 2 versions",{},,,
TWO PHASE STUDY FOR THE REMOVAL OF ARSENIC FROM ITS AQUEOUS SOLUTION BY LIQUID MEMBRANE SEPARATION TECHNIQUE,"S Sarkar, P Saha",,,,,,,0,"TWO PHASE STUDY FOR THE REMOVAL OF ARSENIC FROM ITS AQUEOUS SOLUTION BY LIQUID MEMBRANE SEPARATION TECHNIQUE
S Sarkar, P Saha
Related articles",{},,,
"Misra, S.",P Saha,,,,,,"In general, a process demonstrates oscillatory response when it has at least one pair of complex poles, a second order underdamped process is the simplest example of such process. However, the real life processes are mostly nonlinear in nature and control of such oscillating nonlinear system becomes quite a challenging task. Mechanical processes such as crane and trolley and some chemical processes exhibit such nonlinear oscillatory dynamics. On the other hand, a Model Predictive Controller (MPC) is one of the most useful inventions in the field of control engineering that finds its application in the field of robotics, aerospace and also in chemical process industries. MPC is particularly efficient when process constraints are to be handled, such is the case for safety regulations, while implementing control action. Due to its immense prospect, researchers of both academic and industrial field show great interest …",0,"Misra, S.
P Saha
Related articles",{},,,
COMPARATIVE EXTRACTION STUDY OF ENVIRONMENTALLY BENIGN SOLVENT OVER TRADITIONAL SOLVENT,"SK Mondal, P Saha",,,,,,"In this paper, a comparative study of liquid-liquid extraction of hexavalent chromium (Cr (VI)) between environmentally benign vegetable oil and traditional organic solvent as liquid membrane (LM) using different carrier have been performed. The main aim of this study is to verify the extraction performance of green solvent instead of using conventional organic solvent with different carriers. So, it will encourage the selection of green solvent for separation of heavy metal from industrial effluent (wastewater). As we know major traditional organic solvents employed for the separation purpose are usually inflammable and toxic to the human and the environment (Chakrabarty, 2010). Moreover, the high cost of the process due to large amount of solvent consumption for trace amount of solute recovery and hazardous nature of the most organic solvents are the major drawbacks of the solvent extraction method. Hence, it is …",0,"COMPARATIVE EXTRACTION STUDY OF ENVIRONMENTALLY BENIGN SOLVENT OVER TRADITIONAL SOLVENT
SK Mondal, P Saha
Related articles",{},,,
DEVELOPMENT AND MODELLING OF AMINE BASED ABSORPTION PROCESS FOR CO2 CAPTURE,"T Ramesh, BP Mandal, PK Saha, S Gumma",,,,,,,0,"DEVELOPMENT AND MODELLING OF AMINE BASED ABSORPTION PROCESS FOR CO2 CAPTURE
T Ramesh, BP Mandal, PK Saha, S Gumma
Related articles",{},,,
Mixed H2/H∞ Model Predictive Control,"P Aadaleesan, Prabirkumar Saha",,,,,,"Although the use of mixed H2/H∞ controller in feedback control system is a decade old idea, it remains relatively unexplored in the paradigm of model predictive control. Mixed H2/H∞ control design is of interest to control engineers because it combines the merits of both the H2 and H∞ robust control design. Robust control theory, especially H∞ control, which deals with making corrective control action against any arbitrary but bounded adverse conditions, finds direct analogy in game theory (Basar and Olsder, 1999). Optimal control design with H2 criterion, especially with quadratic cost function such as linear quadratic Gaussian (LQG) controller, is much popular in the control community. On the other hand, mixed H2/H∞ control methods became popular in the control community, since it has been introduced (Barnstein and Haddad, 1989), owing to its possible robust stability without compromising closed-loop …",0,"Mixed H2/H∞ Model Predictive Control
P Aadaleesan, P Saha
Related articles",{},,,
Mixed H 2/H∞ Model Predictive Control for Unstable and Non-Minimum Constrained Processes,"Aadaleesan Pakkirisamy, Prabirkumar Saha",,,,,,"In the present work, we introduce the use of Mixed H 2/H∞ control design in the regime of model predictive control (MPC) for unstable and non-minimum phase constrained process. Although the use of mixed H 2/H∞ control design in feedback control system design is a decade old idea, it remains relatively unexplored in the paradigm of model predictive control [5].
Mixed H 2/H∞ control design [1-3] is of interest to control engineers because it combines the merits of both the H 2 and H∞ robust control design. The mixed H 2/H∞ control design problem evolves as a cross-coupled Riccati equation [2], for which no effective numerical solving algorithm exists. However, linear matrix inequality (LMI) techniques could be employed to solve such problems [3].",0,"Mixed H 2/H∞ Model Predictive Control for Unstable and Non-Minimum Constrained Processes
A Pakkirisamy, P Saha
Related articles",{},,,
EXPERIMENTAL EVALUATION OF IMPROVED IMC STRATEGIES FOR UNCERTAIN NONLINEAR PROCESSES,"Qiuping Hu, Gade Pandu Rangaiah, Prabirkumar Saha",,,,,,"This paper presents experimental evaluation of adaptive internal model control (IMC) and augmented IMC, which improve both the performance and robustness of the IMC for nonlinear processes in the presence of process-model mismatch. The results obtained for pH control of a highly nonlinear neutralization process in the laboratory confirm the capability of adaptation and/or augmentation in significantly improving the control performance of the standard IMC under practical conditions of unmeasured disturbances.",0,"EXPERIMENTAL EVALUATION OF IMPROVED IMC STRATEGIES FOR UNCERTAIN NONLINEAR PROCESSES
Q Hu, GP Rangaiah, P Saha
Related articles",{},,,
Separation of Lignosulfonate from Aqueous Solution Using Liquid Membrane,"Kabita Chakrabarty, K Vamsy Krishna, Prabirkumar Saha, Aloke Kumar Ghoshal",,,,,,"The pulp and paper industry consumes a large volume of water and subsequently discharges enormous amount of effluent containing organic and inorganic pollutants such as lignosulfonate, sucrose, polyose, cooking chemicals and silica [1]. Lignosulfonate is a polydispersed polyelectrolyte that has a spherical macromolecular structure [2]. Extensive uses of commercial grade lignosulfonate include production of vanillin, animal feed pellet binders, dispersant for dye, pesticides, carbon black etc. It has applications in water treatment and industrial cleaning operations too. Attempts to utilize the paper mill waste stream as a source of lignosulfonate requires an efficient separation technology which will ensure effective separation on one hand and clear reusable water on the other.
Howard process is a well known industrial unit for separation of lignosulphonate from aqueous solution however it uses huge quantity of lime for the separation. Several other methods exist such as ultra filtration, ion-exchange, dialysis, electro dialysis and extraction with amines. Nevertheless, they are still in their lab-scale operation stage and are yet to be economically viable for industrial applications. Membrane technology has emerged out as a practical alternative for concentration and purification of macromolecular species in aqueous solutions [1]. Although its application in paper industries is still not possible, many researchers are putting their consistent effort to develop an efficient membrane separation process [3-8].",0,"Separation of Lignosulfonate from Aqueous Solution Using Liquid Membrane
K Chakrabarty, KV Krishna, P Saha, AK Ghoshal
Related articles",{},,,
"CHEMCON–05, New Delhi","A Subramani, P Saha",,,,,,"The Vinyl Acetate Monomer Process is a plantwide problem, of interest to both industry and Control research studies, owing to its important final products and inherent nonlinearities respectively. A number of solutions based on Model Predictive Control have been proposed in the past. In this paper, we propose a Laguerre functions based solution for the black box modeling of the process. Laguerre functions, owing to their orthonormality, offer a truncated series approximation of satisfactory accuracy of the process transfer functions. We show that the similarity between the output produced by the process and the derived model satisfies the desired accuracy. For this purpose, we use the model designed by a previous researcher in MATLAB®.",0,"CHEMCON–05, New Delhi
A Subramani, P Saha
Related articles",{},,,
Modeling of Large Scale System using Laguerre Model,"Ashwin Subramani, Prabirkumar Saha",,,,,,"Traditionally, the control problem of large scale systems is segmented into series of smaller control problem around the individual unit operations of the process. A successful operation of such process would call for large inventories, high capital cost, huge storage space etc.(Lyman and Georgakis, 1995). The purpose of studying the modeling issues of a large scale process is to design an efficient overall structure for the coordinated control of several important variables of the process, including the overall plant throughput and the product quality.",0,"Modeling of Large Scale System using Laguerre Model
A Subramani, P Saha
Related articles",{},,,
