Title,Authors,Publication date,Journal,Volume,Issue,Publisher,Description,Total citations,Scholar articles,Citation Count,Pages,Book,Conference,Source,Institution
Applying a random projection algorithm to optimize machine learning model for breast lesion classification,"Morteza Heidari, Sivaramakrishnan Lakshmivarahan, Seyedehnafiseh Mirniaharikandehei, Gopichandh Danala, Sai Kiran R Maryada, Hong Liu, Bin Zheng",2021/1/25,IEEE Transactions on Biomedical Engineering,68.0,9.0,IEEE,"Objective:
Since computer-aided diagnosis (CAD) schemes of medical images usually computes large number of image features, which creates a challenge of how to identify a small and optimal feature vector to build robust machine learning models, the objective of this study is to investigate feasibility of applying a random projection algorithm (RPA) to build an optimal feature vector from the initially CAD-generated large feature pool and improve performance of machine learning model.
Methods:
We assemble a retrospective dataset involving 1,487 cases of mammograms in which 644 cases have confirmed malignant mass lesions and 843 have benign lesions. A CAD scheme is first applied to segment mass regions and initially compute 181 features. Then, support vector machine (SVM) models embedded with several feature dimensionality reduction methods are built to predict likelihood of lesions being …",18,"Applying a random projection algorithm to optimize machine learning model for breast lesion classification
M Heidari, S Lakshmivarahan, S Mirniaharikandehei… - IEEE Transactions on Biomedical Engineering, 2021
Cited by 18 Related articles All 9 versions","{'2021': 6, '2022': 9, '2023': 3}",2764-2775,,,,
On controlling the shape of the cost functional in dynamic data assimilation: guidelines for placement of observations and application to Saltzman’s model of convection,"S Lakshmivarahan, John M Lewis, Junjun Hu",2020/8/12,Journal of the Atmospheric Sciences,77.0,8.0,American Meteorological Society,"Berliner, LM, ZQ Lu, and C. Snyder, 1999: Statistical design for adaptive weather observations. J. Atmos. Sci., 56, 2536–2552, https://doi. org/10.1175/1520-0469 (1999) 056< 2536: SDFAWO> 2.0. CO; 2.",5,"On controlling the shape of the cost functional in dynamic data assimilation: guidelines for placement of observations and application to Saltzman’s model of convection
S Lakshmivarahan, JM Lewis, J Hu - Journal of the Atmospheric Sciences, 2020
Cited by 5 Related articles All 5 versions","{'2021': 1, '2022': 4}",2969-2989,,,,
Generalized Gray codes and their properties,"Linda S Barasch, S Lakshmivarahan, Sudarshan K Dhall",2020/6/29,,,,CRC Press,"This chapter provides various definitions of generalized Gray codes and brings out the intrinsic difference between the Gray codes with odd and even base. The widespread availability of distributed memory architectures based on the binary hypercube topology, there is a growing interest in the portability of algorithms developed for architectures based on other topologies such as linear arrays, rings, multidimensional grids, trees, to hypercube based architectures. While these generalized Gray codes have immediate applications to the embedding of graphs in a base-b cube, the analysis of their properties holds independent interest as well. However, there is a close relation between the cyclic Gray codes and a class of Gray codes called reflected Gray codes.",9,"Generalized Gray codes and their properties
LS Barasch, S Lakshmivarahan, SK Dhall - Mathematics for Large Scale Computing, 2020
Cited by 9 Related articles All 2 versions",{},203-216,Mathematics for Large Scale Computing,,,
Journal of the Ramanujan Mathematical Society,"Kashyap Rajeevsarathy, Siddhartha Sarkar, Sivaramakrishnan Lakshmivarahan, Pawan Kumar Aurora",2020/6,Journal of the Ramanujan Mathematical Society,35.0,2.0,,"Let Γ (G, S) denote the Cayley graph of a group G with respect to a set S⊂ G. In this paper, we analyze the spectral properties of the Cayley graphs T m, n, k= Γ (ℤm⋉ k ℤn,{(±1, 0),(0,±1)}), where m, n≥ 3 and km≡ 1 (mod n). We show that the adjacency matrix of T m, n, k, upto relabeling, is a block-circulant matrix, and obtain an explicit description of these blocks. By applying some known bounds on the eigenvalues of Hermitian matrices, we show that T m, n, k is not Ramanujan, when either m> 8, or n≥ 400. Finally, we list the collection of all pairs in {(m, n): 3≤ m≤ 8 and 3≤ n< 400} for which there exist at least one k> 1 such that T m, n, k is Ramanujan.",0,"Journal of the Ramanujan Mathematical Society
K Rajeevsarathy, S Sarkar, S Lakshmivarahan… - Journal of the Ramanujan Mathematical Society, 2020",{},159-175,,,,
Placement of observations to correct return-flow forecasts,"John M Lewis, S Lakshmivarahan, Junjun Hu, Robert Rabin",2020,,15.0,,,"The continued presence of systematic errors in operational forecasts of return flow over the Gulf of Mexico has motivated an investigation into this problem. The theme of the work is use of a low-order mixed-layer model that is faithful to the phenomenon in the context of dynamic data assimilation. Data assimilation experiments in the identical-twin mode determine the best place to make observations that minimize the forecast error through adjustment of model controls. The emphasized controls are those associated with the fluxes of heat and moisture from sea to atmosphere. Results indicate that the best observations are at that time and place when the outflowing continental air passes over the warmest sea surface temperatures. In the case studied, this warmest zone is directly over the Loop Current. Observations at times long after the modified air leaves these warmest waters lead to relatively poor control adjustments and little improvement in the forecast. If input to data assimilation is restricted to observations of a single model variable over short intervals of time (the order of several hours), results are relatively poor. Yet, a significant improvement is forthcoming if one of the observations is replaced by an observation from another model variable. This result is understood through arguments based on forecast sensitivity to model control. The paper ends with discussion of steps to be taken that hold promise for correcting systematic error in return-flow forecasts.",2,"Placement of observations to correct return-flow forecasts
JM Lewis, S Lakshmivarahan, J Hu, R Rabin - 2020
Cited by 2 Related articles All 6 versions",{'2022': 2},,,,,
Assessment of regional aerosol radiative effects under the SWAAMI campaign–Part 1: Quality-enhanced estimation of columnar aerosol extinction and absorption over the Indian …,"Harshavardhana Sunil Pathak, Sreedharan Krishnakumari Satheesh, Ravi Shankar Nanjundiah, Krishnaswamy Krishna Moorthy, Sivaramakrishnan Lakshmivarahan, Surendran Nair Suresh Babu",2019/9/24,Atmospheric Chemistry and Physics,19.0,18.0,Copernicus Publications,"Improving the accuracy of regional aerosol climate impact assessment calls for improvement in the accuracy of regional aerosol radiative effect (ARE) estimation. One of the most important means of achieving this is to use spatially homogeneous and temporally continuous datasets of critical aerosol properties, such as spectral aerosol optical depth (AOD) and single scattering albedo (SSA), which are the most important parameters for estimating aerosol radiative effects. However, observations do not provide the above; the space-borne observations though provide wide spatial coverage, are temporal snapshots and suffer from possible sensor degradation over extended periods. On the other hand, the ground-based measurements provide more accurate and temporally continuous data but are spatially near-point observations. Realizing the need for spatially homogeneous and temporally continuous datasets on one hand and the near non-existence of such data over the south Asian region (which is one of the regions where aerosols show large heterogeneity in most of their properties), construction of accurate gridded aerosol products by synthesizing the long-term space-borne and ground-based data has been taken up as an important objective of the South West Asian Aerosol Monsoon Interactions (SWAAMI), a joint Indo-UK field campaign, aiming at characterizing aerosol–monsoon links and their variabilities over the Indian region.
In Part 1 of this two-part paper, we present spatially homogeneous gridded datasets of AOD and absorption aerosol optical depth (AAOD), generated for the first time over this region. These data products are …",13,"Assessment of regional aerosol radiative effects under the SWAAMI campaign–Part 1: Quality-enhanced estimation of columnar aerosol extinction and absorption over the Indian subcontinent
HS Pathak, SK Satheesh, RS Nanjundiah, KK Moorthy… - Atmospheric Chemistry and Physics, 2019
Cited by 13 Related articles All 14 versions","{'2020': 3, '2021': 2, '2022': 7, '2023': 1}",11865-11886,,,,
Supervised seismic facies classification using probabilistic neural networks: Which attributes should the interpreter use?,"David Lubo-Robles, Thang Ha, S Lakshmivarahan, Kurt J Marfurt",2019/9/15,,,,OnePetro,"In the last decade, machine learning algorithms such as Artificial Neural Networks (ANN), Support Vector Machines (SVM), and Self-organizing Maps (SOM) have been adopted by geoscientists both to extract more detailed information and to accelerate the interpretation of their data. In this study, we present a novel technique called Exhaustive PNN which uses Probabilistic Neural Networks to determine the best suite of seismic attributes to perform a supervised seismic facies classification to differentiate salt from the background seismic response in a Eugene Island seismic survey, offshore Louisiana.",10,"Supervised seismic facies classification using probabilistic neural networks: Which attributes should the interpreter use?
D Lubo-Robles, T Ha, S Lakshmivarahan, KJ Marfurt - SEG International Exposition and Annual Meeting, 2019
Cited by 10 Related articles All 5 versions","{'2020': 4, '2021': 2, '2022': 4}",,,SEG International Exposition and Annual Meeting,,
Saltzman’s Model. Part I: Complete Characterization of Solution Properties,"S Lakshmivarahan, John M Lewis, Junjun Hu",2019/6/1,Journal of the Atmospheric Sciences,76.0,6.0,American Meteorological Society,"In Saltzman’s seminal paper from 1962, the author developed a framework based on the spectral method for the analysis of the solution to the classical Rayleigh–Bénard convection problem using low-order models (LOMs), LOM (n) with n≤ 52. By way of illustrating the power of these models, he singled out an LOM (7) and presented a very preliminary account of its numerical solution starting from one initial condition and for two values of the Rayleigh number, λ= 2 and 5. This paper provides a complete mathematical characterization of the solution of this LOM (7), herein called the Saltzman LOM (7)[S-LOM (7)]. Historically, Saltzman’s examination of the numerical solution of this low-order model contained two salient characteristics: 1) the periodic solution (in the physical 3D space and time) that expand on Rayleigh’s classical study and 2) a nonperiodic solution (in the temporal space dealing with the evolution of …",3,"Saltzman’s Model. Part I: Complete Characterization of Solution Properties
S Lakshmivarahan, JM Lewis, J Hu - Journal of the Atmospheric Sciences, 2019
Cited by 3 Related articles All 9 versions","{'2020': 1, '2021': 1, '2022': 1}",1587-1608,,,,
PARALLEL PROCESSING. 2. SPECIAL ISSUE,,,,,,,,0,,{},,,,,
Generalized Gray codes and their properties,,,,,,,,0,,{},,,,,
Block Tridiagonal Systems on the Alliant FX/8,,,,,,,,0,,{},,,,,
PARALLEL PROCESSING. 1.,,,,,,,,0,,{},,,,,
Self-routing control algorithms and the passability of random inputs by the base-line network,,,,,,,,0,,{},,,,,
On a new class of optimal parallel prefix circuits with (size+ depth)= 2n− 2 and⌈ log n⌉≤ depth≤(2⌈ log n⌉− 3),,,,,,,,0,,{},,,,,
"ON THE COMPARISON OF THE PERFORMANCE: ALLIANT FX/8, VAX 11/780",,,,,,,,0,,{},,,,,
OF THE SELF-ROUTING CONTROL ALGORITHM,,,,,,,,0,,{},,,,,
Fault Tolerance Analysis of Rearrangeable Networks.,,,,,,,,0,,{},,,,,
Generalized Passability Condition and the Robustness of the Self-Routing Control Algorithm for the Base Line Network,,,,,,,,0,,{},,,,,
A new class of parallel algorithms for solving linear tridiagonal systems,,,,,,,,0,,{},,,,,
Experiences with the intel hypercube,,,,,,,,0,,{},,,,,
Effect of data organization in a system of interleaved memories on the performance of parallel search,,,,,,,,0,,{},,,,,
A New Hierarchy of Hypercube Interconnection Scheme for Parallel Computers: Theory and Applications,,,,,,,,0,,{},,,,,
New Parallel Algorithms for Solving First-Order and Certain Classes of Second-Order Linear Recurrences.,,,,,,,,0,,{},,,,,
"School of Electrical Engineering and Computer Science University of Oklahoma Norman, Oklahoma 73019",,,,,,,,0,,{},,,,,
Parallel algorithms for solving certain classes of linear recurrences,,,,,,,,0,,{},,,,,
Parallel sorting algorithms,,,,,,,,0,,{},,,,,
On the concealability of messages by the Williams public-key encryption scheme,,,,,,,,0,,{},,,,,
School of Electrical Engineering and Computer Science,,,,,,,,0,,{},,,,,
Algorithms for public key cryptosystems: theory and application,,,,,,,,0,,{},,,,,
Condition known to be sufficient for rearrangeability of the benes class of interconnection networks with 2* 2 switches is also necessary,,,,,,,,0,,{},,,,,
On a Class of Learning Algorithms with Symmetric Behavior under Success and Failure,,,,,,,,0,,{},,,,,
ε-optimality of a general class of learning algorithms,,,,,,,,0,,{},,,,,
Learning algorithms for two-person zero-sum stochastic games with incomplete information: A unified approach,,,,,,,,0,,{},,,,,
A new class of two stage parallel sorting schemes,,,,,,,,0,,{},,,,,
On a general class of absorbing-barrier learning algorithms,,,,,,,,0,,{},,,,,
Learning algorithms for two-person zero-sum stochastic games with incomplete information,,,,,,,,0,,{},,,,,
A LEARNING APPROACH TO THE TWO PERSON ZERO SUM SEQUENTIAL GAMES WITH INCOMPLETE AND IMPERFECT INFORMATION,,,,,,,,0,,{},,,,,
Two person decentralized team with incomplete information,,,,,,,,0,,{},,,,,
Control of a Markov Chain with Unknown Dynamics and Cost Structure,,,,,,,,0,,{},,,,,
Two Person Zero-Sum Sequential Stochastic Games with Imperfect and Incomplete Information—General Case,,,,,,,,0,,{},,,,,
Two Person Zero-Sum Sequential Stochastic Games with Imperfect and Incomplete Information—Game Matrix with Saddle Point in Pure Strategies,,,,,,,,0,,{},,,,,
Absolutely Expedient Algorithms,,,,,,,,0,,{},,,,,
Ergodic Learning Algorithms,,,,,,,,0,,{},,,,,
Two Person Decentralized Team Problem With Incomplete Information,,,,,,,,0,,{},,,,,
Time Varying Learning Algorithms,,,,,,,,0,,{},,,,,
Considerations for Fuzzifying Formal Languages and Synthesis of Fuzzy Grammars,,,,,,,,0,,{},,,,,
Numerical studies of stochastic approximation procedures for constrained problems,,,,,,,,0,,{},,,,,
Connectedness in fuzzy topology,,,,,,,,0,,{},,,,,
Analysis of memory depth in fixed structure learning automata,,,,,,,,0,,{},,,,,
"I, II Convergence and Rate of Convergence Theorems for Constrained and Unconstrained Stochastic Approximation, via Weak Convergence Methods. III Numerical Studies for …",,,,,,,,0,,{},,,,,
Absolute expediency of Q-and S-model learning algorithms,,,,,,,,0,,{},,,,,
Bounds on the convergence probabilities of learning automata,,,,,,,,0,,{},,,,,
Absolutely expedient learning algorithms for stochastic automata,,,,,,,,0,,{},,,,,
Bayesian learning and reinforcement schemes for stochastic automata,,,,,,,,0,,{},,,,,
Optimal non-linear reinforcement schemes for stochastic automata,,,,,,,,0,,{},,,,,
Pattern Classification Using Stochastic Approximation Techniques,,,,,,,,0,,{},,,,,
AN O (N.--M)-TIME ALGORITIIM FOR FINDING A,,,,,,,,0,,{},,,,,
Author's Affiliations,,,,,,,,0,,{},,,,,
The Prefix Problem And Its Applications,,,,,,,,0,,{},,,,,
IV. Detailed Course Contents,,,,,,,,0,,{},,,,,
Parallel Prefix AlgorithmsOn Linked Lists,,,,,,,,0,,{},,,,,
Parallel Prefix Circuits,,,,,,,,0,,{},,,,,
Parallel Machines And Models—An Overview This,,,,,,,,0,,{},,,,,
Cayley Graphs,,,,,,,,0,,{},,,,,
Size vs. Depth Trade-Off In Parallel Prefix Circuits,,,,,,,,0,,{},,,,,
Applying a Random Projection Algorithm to Generate Optimal Feature Vector and Improve Performance of Machine Learning Model for Breast Lesion Classification,,,,,,,,0,,{},,,,,
Constant Depth Prefix Circuits With Unbounded Fan-In,,,,,,,,0,,{},,,,,
Bounding Fan-Out In Parallel Prefix Circuits,,,,,,,,0,,{},,,,,
Parallel Prefix Algorithms On Arrays,,,,,,,,0,,{},,,,,
The Complex Structure of Yields with both Default and Call Risk,,,,,,,,0,,{},,,,,
Dynamic Data Assimilation: an introduction-Video course,,,,,,,,0,,{},,,,,
e-Optimality of a General Class of Learning Algorithms,,,,,,,,0,,{},,,,,
MPI: Message Passing Interface An Introduction,,,,,,,,0,,{},,,,,
CALL FOR PAPERS FOR SPECIAL ISSUE ON PARALLEL PROCESSING,,,,,,,,0,,{},,,,,
The Impact of Predictability on Empirical Estimates of Municipal Bond Price Volatility and Sensitivity of Price Volatility to Level of Yields,,,,,,,,0,,{},,,,,
CONVERGENCE OF A CLASS OF THE WEAK SOLUTIONS TO THE STRONG SOLUTION OF A LINEAR EQUALITY CONTRAINTED QUADRATIC MINIMIZATION PROBLEM: A DIRECT PROOF USING MATRIX IDENTITIES,,,,,,,,0,,{},,,,,
Project CRAFT: Technical Aspects of a Real Time Delivery System for NEXRAD Level II Data via the Internet,,,,,,,,0,,{},,,,,
Sources of Systematic Error in Dynamical Prediction: A Framework,,,,,,,,0,,{},,,,,
Performance Evaluation of Parallel Systems: An Overview,,,,,,,,0,,{},,,,,
A NEW CLASS OF SYMMETRIC NETWORKS BASED ON THE CAYLEY GRAPHS OF THE ALTERNATING GROUP,,,,,,,,0,,{},,,,,
"Author Itnkx to VoIumes 41, 42, and 43 229",,,,,,,,0,,{},,,,,
7B. 3 DEVELOPMENT OF AN “EVENTS-ORIENTED” APPROACH TO FORECAST VERIFICATION,,,,,,,,0,,{},,,,,
ON A CLASS OF LEARNII~ G ALGORITH~ lS WITH SY~ lMETRIC BEHAVIOR UNDER,,,,,,,,0,,{},,,,,
Correcting Model Forecast Errors Using Sensitivity Functions,,,,,,,,0,,{},,,,,
4.6 DEVELOPMENT OF AN EVENTS-ORIENTED VERIFICATION SYSTEM USING DATA MINING AND IMAGE PROCESSING ALGORITHMS,,,,,,,,0,,{},,,,,
Session 1A: Interconnection Networks (I),,,,,,,,0,,{},,,,,
Identification of Sources of Systematic Error in Dynamical Prediction: A Framework,,,,,,,,0,,{},,,,,
8.3 VERIFICATION OF MESOSCALE FEATURES IN NWP MODELS,,,,,,,,0,,{},,,,,
