Title,Authors,Publication date,Journal,Volume,Issue,Publisher,Description,Total citations,Scholar articles,Citation Count,Pages,Inventors,Patent office,Application number,Patent number,Conference,Institution,Book,Source
Iterative collaborative filtering for sparse matrix estimation,"Christian Borgs, Jennifer T Chayes, Devavrat Shah, Christina Lee Yu",2022/11,Operations Research,70.0,6,INFORMS,"We consider sparse matrix estimation where the goal is to estimate an n-by-n matrix from noisy observations of a small subset of its entries. We analyze the estimation error of the popularly used collaborative filtering algorithm for the sparse regime. Specifically, we propose a novel iterative variant of the algorithm, adapted to handle the setting of sparse observations. We establish that as long as the number of entries observed at random scale logarithmically larger than linear in n, the estimation error with respect to the entry-wise max norm decays to zero as n goes to infinity, assuming the underlying matrix of interest has constant rank r. Our result is robust to model misspecification in that if the underlying matrix is approximately rank r, then the estimation error decays to the approximation error with respect to the -norm. In the process, we establish the algorithm’s ability to handle arbitrary bounded noise in the …",9,"Iterative collaborative filtering for sparse matrix estimation
C Borgs, JT Chayes, D Shah, CL Yu - Operations Research, 2022
Cited by 9 Related articles All 8 versions",{},3143-3175,,,,,,,,
Event prediction,,2022/10/25,,,,,"A system includes at least one connector configured to gather at least partially incomplete data from at least one data source. The gathered data is communicated to a model definition module that converts at least a subset of the gathered data into a prediction model in accordance with a received definition. A prediction module receives a prediction query and, in response, supplies an event prediction based on the prediction model.",1,"Event prediction
YZ Huang, V Doshi, B Rengarajan, V Shivamoggi… - US Patent 11,481,644, 2022
Cited by 1 Related articles All 4 versions",{'2021': 1},,"Ying-Zong Huang, Vishal Doshi, Balaji Rengarajan, Vasudha Shivamoggi, Devavrat Shah, Ritesh Madan",US,15844613.0,11481644.0,,,,
Network Synthetic Interventions: A Framework for Panel Data with Network Interference,"Anish Agarwal, Sarah Cen, Devavrat Shah, Christina Lee Yu",2022/10/20,arXiv preprint arXiv:2210.11355,,,,"We propose a generalization of the synthetic controls and synthetic interventions methodology to incorporate network interference. We consider the estimation of unit-specific treatment effects from panel data where there are spillover effects across units and in the presence of unobserved confounding. Key to our approach is a novel latent factor model that takes into account network interference and generalizes the factor models typically used in panel data settings. We propose an estimator, ""network synthetic interventions"", and show that it consistently estimates the mean outcomes for a unit under an arbitrary sequence of treatments for itself and its neighborhood, given certain observation patterns hold in the data. We corroborate our theoretical findings with simulations.",1,"Network Synthetic Interventions: A Framework for Panel Data with Network Interference
A Agarwal, S Cen, D Shah, CL Yu - arXiv preprint arXiv:2210.11355, 2022
Cited by 1 Related articles All 4 versions",{'2022': 1},,,,,,,,,
Model agnostic time series analysis via matrix estimation,,2022/8/23,,,,,"A system and method model a time series from missing data by imputing missing values, denoising measured but noisy values, and forecasting future values of a single time series. A time series of potentially noisy, partially-measured values of a physical process is represented as a non-overlapping matrix. For several classes of common model functions, it can be proved that the resulting matrix has a low rank or approximately low rank, allowing a matrix estimation technique, for example singular value thresholding, to be efficiently applied. Applying such a technique produces a mean matrix that estimates latent values, of the physical process at times or intervals corresponding to measurements, with less error than previously known methods. These latent values have been denoised (if noisy) and imputed (if missing). Linear regression of the estimated latent values permits forecasting with an error that decreases as …",4,"Model agnostic time series analysis via matrix estimation
DD Shah, A Agarwal, M Amjad, D Shen - US Patent 11,423,118, 2022
Cited by 4 Related articles All 4 versions","{'2021': 2, '2022': 1, '2023': 1}",,"Devavrat D Shah, Anish Agarwal, Muhammad Amjad, Dennis Shen",US,16241413.0,11423118.0,,,,
Causal imputation via synthetic interventions,"Chandler Squires, Dennis Shen, Anish Agarwal, Devavrat Shah, Caroline Uhler",2022/6/28,,,,PMLR,"Consider the problem of determining the effect of a compound on a specific cell type. To answer this question, researchers traditionally need to run an experiment applying the drug of interest to that cell type. This approach is not scalable: given a large number of different actions (compounds) and a large number of different contexts (cell types), it is infeasible to run an experiment for every action-context pair. In such cases, one would ideally like to predict the outcome for every pair while only needing outcome data for a small _subset_ of pairs. This task, which we label"" causal imputation"", is a generalization of the causal transportability problem. To address this challenge, we extend the recently introduced _synthetic interventions_ (SI) estimator to handle more general data sparsity patterns. We prove that, under a latent factor model, our estimator provides valid estimates for the causal imputation task. We motivate this model by establishing a connection to the linear structural causal model literature. Finally, we consider the prominent CMAP dataset in predicting the effects of compounds on gene expression across cell types. We find that our estimator outperforms standard baselines, thus confirming its utility in biological applications.",12,"Causal imputation via synthetic interventions
C Squires, D Shen, A Agarwal, D Shah, C Uhler - Conference on Causal Learning and Reasoning, 2022
Cited by 12 Related articles All 5 versions","{'2021': 1, '2022': 9, '2023': 2}",688-711,,,,,Conference on Causal Learning and Reasoning,,,
Gradient Descent for Low-Rank Functions,"Romain Cosson, Ali Jadbabaie, Anuran Makur, Amirhossein Reisizadeh, Devavrat Shah",2022/6/16,arXiv preprint arXiv:2206.08257,,,,"Several recent empirical studies demonstrate that important machine learning tasks, e.g., training deep neural networks, exhibit low-rank structure, where the loss function varies significantly in only a few directions of the input space. In this paper, we leverage such low-rank structure to reduce the high computational cost of canonical gradient-based methods such as gradient descent (GD). Our proposed \emph{Low-Rank Gradient Descent} (LRGD) algorithm finds an -approximate stationary point of a -dimensional function by first identifying significant directions, and then estimating the true -dimensional gradient at every iteration by computing directional derivatives only along those directions. We establish that the ""directional oracle complexities"" of LRGD for strongly convex and non-convex objective functions are and , respectively. When , these complexities are smaller than the known complexities of and of {\gd} in the strongly convex and non-convex settings, respectively. Thus, LRGD significantly reduces the computational cost of gradient-based methods for sufficiently low-rank functions. In the course of our analysis, we also formally define and characterize the classes of exact and approximately low-rank functions.",1,"Gradient Descent for Low-Rank Functions
R Cosson, A Jadbabaie, A Makur, A Reisizadeh… - arXiv preprint arXiv:2206.08257, 2022
Cited by 1 Related articles All 2 versions",{'2023': 1},,,,,,,,,
On multivariate singular spectrum analysis and its variants,"Anish Agarwal, Abdullah Alomar, Devavrat Shah",2022/6/6,ACM SIGMETRICS Performance Evaluation Review,50.0,1,ACM,"We introduce and analyze a simpler, practically useful variant of multivariate singular spectrum analysis (mSSA), a known time series method to impute (or de-noise) and forecast a multivariate time series. Towards this, we introduce a spatio-temporal factor model to analyze mSSA. This model includes the usual components used to model dynamics in time series analysis, such as trends (low order polynomials), seasonality (finite sum of harmonics), and linear time-invariant systems. We establish that given N time series and T observations per time series, the in-sample prediction error for both imputation and forecasting under mSSA scales as 1/√ min(N, T)T. This is an improvement over: (i) the 1/√T error scaling of SSA, which is the restriction of mSSA to univariate time series; (ii) the 1/min(N, T) error scaling for Temporal Regularized Matrix Factorized (TRMF), a matrix factorization based method for time series …",5,"On multivariate singular spectrum analysis and its variants
A Agarwal, A Alomar, D Shah - ACM SIGMETRICS Performance Evaluation Review, 2022
Cited by 5 Related articles All 6 versions","{'2021': 1, '2022': 2, '2023': 2}",79-80,,,,,,,,
Time Varying Regression with Hidden Linear Dynamics,"Horia Mania, Ali Jadbabaie, Devavrat Shah, Suvrit Sra",2022/5/11,,,,PMLR,"We revisit a model for time-varying linear regression that assumes the unknown parameters evolve according to a linear dynamical system. Counterintuitively, we show that when the underlying dynamics are stable the parameters of this model can be estimated from data by combining just two ordinary least squares estimates. We offer a finite sample guarantee on the estimation error of our method and discuss certain advantages it has over Expectation-Maximization (EM), which is the main approach proposed by prior work.",0,"Time Varying Regression with Hidden Linear Dynamics
H Mania, A Jadbabaie, D Shah, S Sra - Learning for Dynamics and Control Conference, 2022
Related articles",{},858-869,,,,,Learning for Dynamics and Control Conference,,,
"Regret, stability & fairness in matching markets with bandit learners","Sarah H Cen, Devavrat Shah",2022/5/3,,,,PMLR,"Making an informed decision—for example, when choosing a career or housing—requires knowledge about the available options. Such knowledge is generally acquired through costly trial and error, but this learning process can be disrupted by competition. In this work, we study how competition affects the long-term outcomes of individuals as they learn. We build on a line of work that models this setting as a two-sided matching market with bandit learners. A recent result in this area states that it is impossible to simultaneously guarantee two natural desiderata: stability and low optimal regret for all agents. Resource-allocating platforms can point to this result as a justification for assigning good long-term outcomes to some agents and poor ones to others. We show that this impossibility need not hold true. In particular, by modeling two additional components of competition—namely, costs and transfers—we prove that it is possible to simultaneously guarantee four desiderata: stability, low optimal regret, fairness in the distribution of regret, and high social welfare.",22,"Regret, stability & fairness in matching markets with bandit learners
SH Cen, D Shah - International Conference on Artificial Intelligence and …, 2022
Cited by 22 Related articles All 3 versions","{'2021': 6, '2022': 13, '2023': 3}",8938-8968,,,,,International Conference on Artificial Intelligence and Statistics,,,
Evaluation of individual and ensemble probabilistic forecasts of COVID-19 mortality in the United States,Devavrat Shah,2022/4/12,,,,Proceedings of the National Academy of Sciences,"Significance
This paper compares the probabilistic accuracy of short-term forecasts of reported deaths due to COVID-19 during the first year and a half of the pandemic in the United States. Results show high variation in accuracy between and within stand-alone models and more consistent accuracy from an ensemble model that combined forecasts from all eligible models. This demonstrates that an ensemble model provided a reliable and comparatively accurate means of forecasting deaths during the COVID-19 pandemic that exceeded the performance of all of the models that contributed to it. This work strengthens the evidence base for synthesizing multiple models to support public-health action.",1,"Evaluation of individual and ensemble probabilistic forecasts of COVID-19 mortality in the United States
D Shah - 2022
Cited by 1 Related articles All 3 versions",{'2023': 1},,,,,,,,,
Evaluation of individual and ensemble probabilistic forecasts of COVID-19 mortality in the United States,"Estee Y Cramer, Evan L Ray, Velma K Lopez, Johannes Bracher, Andrea Brennen, Alvaro J Castro Rivadeneira, Aaron Gerding, Tilmann Gneiting, Katie H House, Yuxin Huang, Dasuni Jayawardena, Abdul H Kanji, Ayush Khandelwal, Khoa Le, Anja Mühlemann, Jarad Niemi, Apurv Shah, Ariane Stark, Yijin Wang, Nutcha Wattanachit, Martha W Zorn, Youyang Gu, Sansiddh Jain, Nayana Bannur, Ayush Deva, Mihir Kulkarni, Srujana Merugu, Alpan Raval, Siddhant Shingi, Avtansh Tiwari, Jerome White, Neil F Abernethy, Spencer Woody, Maytal Dahan, Spencer Fox, Kelly Gaither, Michael Lachmann, Lauren Ancel Meyers, James G Scott, Mauricio Tec, Ajitesh Srivastava, Glover E George, Jeffrey C Cegan, Ian D Dettwiller, William P England, Matthew W Farthing, Robert H Hunter, Brandon Lafferty, Igor Linkov, Michael L Mayo, Matthew D Parno, Michael A Rowland, Benjamin D Trump, Yanli Zhang-James, Samuel Chen, Stephen V Faraone, Jonathan Hess, Christopher P Morley, Asif Salekin, Dongliang Wang, Sabrina M Corsetti, Thomas M Baer, Marisa C Eisenberg, Karl Falb, Yitao Huang, Emily T Martin, Ella McCauley, Robert L Myers, Tom Schwarz, Daniel Sheldon, Graham Casey Gibson, Rose Yu, Liyao Gao, Yian Ma, Dongxia Wu, Xifeng Yan, Xiaoyong Jin, Yu-Xiang Wang, YangQuan Chen, Lihong Guo, Yanting Zhao, Quanquan Gu, Jinghui Chen, Lingxiao Wang, Pan Xu, Weitong Zhang, Difan Zou, Hannah Biegel, Joceline Lega, Steve McConnell, VP Nagraj, Stephanie L Guertin, Christopher Hulme-Lowe, Stephen D Turner, Yunfeng Shi, Xuegang Ban, Robert Walraven, Qi-Jun Hong, Stanley Kong, Axel van de Walle, James A Turtle, Michal Ben-Nun, Steven Riley, Pete Riley, Ugur Koyluoglu, David DesRoches, Pedro Forli, Bruce Hamory, Christina Kyriakides, Helen Leis, John Milliken, Michael Moloney, James Morgan, Ninad Nirgudkar, Gokce Ozcan, Noah Piwonka, Matt Ravi, Chris Schrader, Elizabeth Shakhnovich, Daniel Siegel, Ryan Spatz, Chris Stiefeling, Barrie Wilkinson, Alexander Wong, Sean Cavany, Guido España, Sean Moore, Rachel Oidtman, Alex Perkins, David Kraus, Andrea Kraus, Zhifeng Gao, Jiang Bian, Wei Cao, Juan Lavista Ferres, Chaozhuo Li, Tie-Yan Liu, Xing Xie, Shun Zhang, Shun Zheng, Alessandro Vespignani, Matteo Chinazzi, Jessica T Davis, Kunpeng Mu, Ana Pastore y Piontti, Xinyue Xiong, Andrew Zheng, Jackie Baek, Vivek Farias, Andreea Georgescu",2022/4/12,Proceedings of the National Academy of Sciences,119.0,15,National Academy of Sciences,"Short-term probabilistic forecasts of the trajectory of the COVID-19 pandemic in the United States have served as a visible and important communication channel between the scientific modeling community and both the general public and decision-makers. Forecasting models provide specific, quantitative, and evaluable predictions that inform short-term decisions such as healthcare staffing needs, school closures, and allocation of medical supplies. Starting in April 2020, the US COVID-19 Forecast Hub ( https://covid19forecasthub.org/ ) collected, disseminated, and synthesized tens of millions of specific predictions from more than 90 different academic, industry, and independent research groups. A multimodel ensemble forecast that combined predictions from dozens of groups every week provided the most consistently accurate probabilistic forecasts of incident deaths due to COVID-19 at the state and national …",137,"Evaluation of individual and ensemble probabilistic forecasts of COVID-19 mortality in the United States
EY Cramer, EL Ray, VK Lopez, J Bracher, A Brennen… - Proceedings of the National Academy of Sciences, 2022
Cited by 135 Related articles All 31 versions
622 Evaluation of individual and ensemble probabilistic forecasts of COVID-19 mortality in the 623 United States*
EY Cramer, EL Ray, VK Lopez, J Bracher, A Brennen… - Proc Natl Acad Sci US A, 2022
Cited by 3 Related articles","{'2021': 29, '2022': 85, '2023': 19}",e2113561119,,,,,,,,
Public health implications of opening National Football League stadiums during the COVID-19 pandemic,"Bernardo García Bulle, Dennis Shen, Devavrat Shah, Anette E Hosoi",2022/4/5,Proceedings of the National Academy of Sciences,119.0,14,National Academy of Sciences,"Using attendance data from the 2020 National Football League (NFL) regular season and local COVID-19 case counts, we estimate the public health impact of opening NFL stadiums to fans during the COVID-19 pandemic. Data are analyzed using robust synthetic control, a statistical method that is employed to obtain counterfactual estimates from observational data. Unlike previous studies [J. Kurland et al., SSRN, 2021], which do not consider confounding factors such as evolving policy landscapes in different states, the synthetic control methodology allows us to account for effects that are county specific and may be changing over time. We find it is likely that opening stadiums had no impact on local COVID-19 case counts; this suggests that, for the 2020 NFL season, the benefits of providing a tightly controlled outdoor spectating environment—including masking and distancing requirements—counterbalanced the …",3,"Public health implications of opening National Football League stadiums during the COVID-19 pandemic
B García Bulle, D Shen, D Shah, AE Hosoi - Proceedings of the National Academy of Sciences, 2022
Cited by 3 Related articles All 11 versions","{'2022': 2, '2023': 1}",e2114226119,,,,,,,,
Current Implicit Policies May Not Eradicate COVID-19,"Ali Jadbabaie, Arnab Sarker, Devavrat Shah",2022/3/29,arXiv preprint arXiv:2203.15916,,,,"Successful predictive modeling of epidemics requires an understanding of the implicit feedback control strategies which are implemented by populations to modulate the spread of contagion. While this task of capturing endogenous behavior can be achieved through intricate modeling assumptions, we find that a population's reaction to case counts can be described through a second order affine dynamical system with linear control which fits well to the data across different regions and times throughout the COVID-19 pandemic. The model fits the data well both in and out of sample across the 50 states of the United States, with comparable scores to state of the art ensemble predictions. In contrast to recent models of epidemics, rather than assuming that individuals directly control the contact rate which governs the spread of disease, we assume that individuals control the rate at which they vary their number of interactions, i.e. they control the derivative of the contact rate. We propose an implicit feedback law for this control input and verify that it correlates with policies taken throughout the pandemic. A key takeaway of the dynamical model is that the ""stable"" point of case counts is non-zero, i.e. COVID-19 will not be eradicated under the current collection of policies and strategies, and additional policies are needed to fully eradicate it quickly. Hence, we suggest alternative implicit policies which focus on making interventions (such as vaccinations and mobility restrictions) a function of cumulative case counts, for which our results suggest a better possibility of eradicating COVID-19.",0,"Current Implicit Policies May Not Eradicate COVID-19
A Jadbabaie, A Sarker, D Shah - arXiv preprint arXiv:2203.15916, 2022
Related articles All 2 versions",{},,,,,,,,,
Counterfactual inference for sequential experimental design,"Raaz Dwivedi, Susan Murphy, Devavrat Shah",2022/2/14,arXiv preprint arXiv:2202.06891,,,,"We consider the problem of counterfactual inference in sequentially designed experiments wherein a collection of units each undergo a sequence of interventions for time periods, based on policies that sequentially adapt over time. Our goal is counterfactual inference, i.e., estimate what would have happened if alternate policies were used, a problem that is inherently challenging due to the heterogeneity in the outcomes across units and time. To tackle this task, we introduce a suitable latent factor model where the potential outcomes are determined by exogenous unit and time level latent factors. Under suitable conditions, we show that it is possible to estimate the missing (potential) outcomes using a simple variant of nearest neighbors. First, assuming a bilinear latent factor model and allowing for an arbitrary adaptive sampling policy, we establish a distribution-free non-asymptotic guarantee for estimating the missing outcome of any unit at any time; under suitable regularity condition, this guarantee implies that our estimator is consistent. Second, for a generic non-parametric latent factor model, we establish that the estimate for the missing outcome of any unit at time satisfies a central limit theorem as , under suitable regularity conditions. Finally, en route to establishing this central limit theorem, we establish a non-asymptotic mean-squared-error bound for the estimate of the missing outcome of any unit at time . Our work extends the recently growing literature on inference with adaptively collected data by allowing for policies that pool across units, and also compliments the matrix completion literature when the entries are …",1,"Counterfactual inference for sequential experimental design
R Dwivedi, S Murphy, D Shah - arXiv preprint arXiv:2202.06891, 2022
Cited by 1 Related articles All 3 versions",{'2022': 1},,,,,,,,,
Unifying Epidemic Models with Mixtures,"Arnab Sarker, Ali Jadbabaie, Devavrat Shah",2022/1/7,arXiv preprint arXiv:2201.04960,,,,"The COVID-19 pandemic has emphasized the need for a robust understanding of epidemic models. Current models of epidemics are classified as either mechanistic or non-mechanistic: mechanistic models make explicit assumptions on the dynamics of disease, whereas non-mechanistic models make assumptions on the form of observed time series. Here, we introduce a simple mixture-based model which bridges the two approaches while retaining benefits of both. The model represents time series of cases and fatalities as a mixture of Gaussian curves, providing a flexible function class to learn from data compared to traditional mechanistic models. Although the model is non-mechanistic, we show that it arises as the natural outcome of a stochastic process based on a networked SIR framework. This allows learned parameters to take on a more meaningful interpretation compared to similar non-mechanistic models, and we validate the interpretations using auxiliary mobility data collected during the COVID-19 pandemic. We provide a simple learning algorithm to identify model parameters and establish theoretical results which show the model can be efficiently learned from data. Empirically, we find the model to have low prediction error. The model is available live at covidpredictions.mit.edu. Ultimately, this allows us to systematically understand the impacts of interventions on COVID-19, which is critical in developing data-driven solutions to controlling epidemics.",1,"Unifying Epidemic Models with Mixtures
A Sarker, A Jadbabaie, D Shah - arXiv preprint arXiv:2201.04960, 2022
Cited by 1 Related articles All 3 versions",{'2023': 1},,,,,,,,,
Federated optimization of smooth loss functions,"Ali Jadbabaie, Anuran Makur, Devavrat Shah",2022/1/6,arXiv preprint arXiv:2201.01954,,,,"In this work, we study empirical risk minimization (ERM) within a federated learning framework, where a central server minimizes an ERM objective function using training data that is stored across clients. In this setting, the Federated Averaging (FedAve) algorithm is the staple for determining -approximate solutions to the ERM problem. Similar to standard optimization algorithms, the convergence analysis of FedAve only relies on smoothness of the loss function in the optimization parameter. However, loss functions are often very smooth in the training data too. To exploit this additional smoothness, we propose the Federated Low Rank Gradient Descent (FedLRGD) algorithm. Since smoothness in data induces an approximate low rank structure on the loss function, our method first performs a few rounds of communication between the server and clients to learn weights that the server can use to approximate clients' gradients. Then, our method solves the ERM problem at the server using inexact gradient descent. To show that FedLRGD can have superior performance to FedAve, we present a notion of federated oracle complexity as a counterpart to canonical oracle complexity. Under some assumptions on the loss function, e.g., strong convexity in parameter, -H\""older smoothness in data, etc., we prove that the federated oracle complexity of FedLRGD scales like and that of FedAve scales like (neglecting sub-dominant factors), where is a ""communication-to-computation ratio,"" is the parameter dimension, and is the data dimension. Then, we show that when is small and the loss function is sufficiently smooth in …",2,"Federated optimization of smooth loss functions
A Jadbabaie, A Makur, D Shah - arXiv preprint arXiv:2201.01954, 2022
Cited by 2 Related articles All 2 versions",{'2022': 2},,,,,,,,,
