Title,Authors,Publication date,Journal,Volume,Issue,Publisher,Description,Total citations,Scholar articles,Citation Count,Pages,Conference,Book,Source,Inventors,Patent office,Patent number,Application number,Institution
Weakly Supervised Learning-based Reconstruction of Planktons in Digital In-line Holography,"Harshal Chaudhari, Rishikesh Kulkarni, MK Bhuyan",2022/8/1,,,,Optica Publishing Group,Weakly-supervised learning-based technique is employed for hologram reconstruction of planktons recorded in digital in-line holographic setup. One-level wavelet decomposition of the reconstructed image is computed to generate a mask and subsequently a ground truth image to train the network.,0,"Weakly Supervised Learning-based Reconstruction of Planktons in Digital In-line Holography
H Chaudhari, R Kulkarni, MK Bhuyan - Digital Holography and Three-Dimensional Imaging, 2022
Related articles",{},W5A. 6,Digital Holography and Three-Dimensional Imaging,,,,,,,
"Design and development of a vision‐based system for detection, tracking and recognition of isolated dynamic bare hand gesticulated characters","Kuldeep Singh Yadav, Anish Monsley Kirupakaran, Rabul Hussain Laskar, Manas Kamal Bhuyan, Taimoor Khan",2022/8,Expert Systems,39.0,7,,"Detection and tracking are the vital stages to form the gesture trajectory in gesture recognition. It becomes more challenging when the variations in illumination, pose, position, occlusion, scale, speed, blurring effect and complex environment are introduced. Additionally, the background feature domination effect affects the existing deep learning models. A semantic segmentation model is implemented in this work to detect the bare hand to overcome these challenges. A pre‐trained network VGG‐16 is utilized by training with the proposed NITS S‐Net database. Evaluation of the SegNet model is done on EgoHands, Oxford and OUHands databases. To track the bare hand, a SegNet‐based detection and tracking approach is proposed using Kalman filter and point‐tracker. This model achieves 97.01% accuracy (a relative improvement of ~8% from the baseline models) at 0.068 s per frame computational time on …",6,"Design and development of a vision‐based system for detection, tracking and recognition of isolated dynamic bare hand gesticulated characters
KS Yadav, AM Kirupakaran, RH Laskar, MK Bhuyan… - Expert Systems, 2022
Cited by 6 Related articles All 3 versions","{'2022': 1, '2023': 5}",e12970,,,,,,,,
Hand Gesture Recognition Using CBAM-RetinaNet,"Kota Yamini Suguna, H Pallab Jyoti Dutta, MK Bhuyan, RH Laskar",2022/7/24,,,,Springer International Publishing,"Hand gesture recognition has become very popular with the advancements in computer vision, and efficient detection of hand gestures is certainly the talk of the hour. It finds numerous worthy real-world applications such as human computer interaction, sign language interpretation, immersive gaming experience, robotics control systems, etc. This paper presents an end-to-end system for the recognition of hand gestures, based on an efficient object detection architecture-RetinaNet. Convolutional Block Attention Module is used to improve performance. The method has been tested on Ouhands dataset and achieved better recognition accuracies and real-time application. Results show that our CBAM-RetinaNet model is robust and efficient in recognition of hand gestures in complex backgrounds and different illumination variations.",0,"Hand Gesture Recognition Using CBAM-RetinaNet
KY Suguna, HPJ Dutta, MK Bhuyan, RH Laskar - Computer Vision and Image Processing: 6th …, 2022
Related articles",{},438-449,,"Computer Vision and Image Processing: 6th International Conference, CVIP 2021, Rupnagar, India, December 3–5, 2021, Revised Selected Papers, Part II",,,,,,
Keyframe Selection from Colonoscopy Videos to Enhance Visualization for Polyp Detection,"Vanshali Sharma, Pradipta Sasmal, MK Bhuyan, Pradip K Das",2022/7/19,,,,IEEE,"Colonoscopy video acquisition and recording have been increasingly performed for comprehensive diagnosis and retrospective analysis of colorectal cancer (CRC). Reviewing video streams helps detect and inspect polyps, the precursor to CRC. However, visualizing these streams in their raw form puts a considerable burden on clinicians as most of the frames are clinically insignificant and are not useful for pathological interpretation. For improved visualization of diagnostically significant information, we have proposed an automated framework that discards the uninformative frames from raw videos. Our approach initially extracts high-quality colonoscopy frames using a deep learning model to assist clinicians in visualizing data in a refined form. Subsequently, our work validates the effectiveness of keyframe selection by employing polyp detection models. All the evaluations are performed either patient-wise or …",0,"Keyframe Selection from Colonoscopy Videos to Enhance Visualization for Polyp Detection
V Sharma, P Sasmal, MK Bhuyan, PK Das - 2022 26th International Conference Information …, 2022
All 2 versions",{},426-431,2022 26th International Conference Information Visualisation (IV),,,,,,,
Recovering Shape and Size from a Single Endoscope Image using Optimization,"Yuji Iwahori, Shun Emoto, Kenji Funahashi, MK Bhuyan, Aili Wang, Kunio Kasugai",2022/7/2,,,,IEEE,"Recovering the shape and size of a polyp from endoscope images is an important research topic in medical diagnosis. As a method for recovering 3D shape of polyps, the authors proposed a method that can recover the shape accurately and faster than the conventional method by deriving an equation based on the Eikonal equation from the condition that the optical and geometric constraint equations become equal from the reason that both equations determine the depth Z of the same point. To obtain the absolute size of polyp using this method, it is necessary to estimate the reflectance factor C of the object surface after converting the original image into the uniform Lambertian image. The reflectance factor is obtained by optimizing the error between the width of the entire image and the estimated width of the recovered result. The width of the entire image is defined from the assumed width of the blood vessel. The …",0,"Recovering Shape and Size from a Single Endoscope Image using Optimization
Y Iwahori, S Emoto, K Funahashi, MK Bhuyan, A Wang… - 2022 12th International Congress on Advanced …, 2022
Related articles All 2 versions",{},331-334,2022 12th International Congress on Advanced Applied Informatics (IIAI-AAI),,,,,,,
Vision-based continuous sign language spotting using Gaussian hidden Markov model,"Anjan Kumar Talukdar, MK Bhuyan",2022/6/21,IEEE Sensors Letters,6.0,7,IEEE,"The presence of movement epenthesis (me) between two consecutive signs in a continuous sign language makes sign language recognition (SLR) a challenging task. In this letter, we propose a vision-based continuous SL spotting system, which separates the meaningful signs from the sign sequences by removing the me components from H.264/AVC compressed videos. The work is based on a two-state hidden Markov model (HMM) with Gaussian emission probability. The HMM is trained by the feature set extracted from the entire sign sequence video and finally, the hidden state-sequence is decoded using the Viterbi algorithm. From the decoded state-sequence, the sign spotting is done. The feature set comprises features extracted from the compressed domain as well as uncompressed domain analysis of the sign video. The video database is composed of American SL videos collected from Boston University …",4,"Vision-based continuous sign language spotting using Gaussian hidden Markov model
AK Talukdar, MK Bhuyan - IEEE Sensors Letters, 2022
Cited by 4 Related articles","{'2022': 2, '2023': 2}",1-4,,,,,,,,
A selective region-based detection and tracking approach towards the recognition of dynamic bare hand gesture using deep neural network,"Kuldeep Singh Yadav, K Anish Monsley, Rabul Hussain Laskar, Songhita Misra, Manas Kamal Bhuyan, Taimoor Khan",2022/6,Multimedia Systems,28.0,3,Springer Berlin Heidelberg,"Complexities such as variations in pose, scale, speed, illumination, occlusion, etc., in detecting the gesture object at the first frame and tracking it in a dynamic environment make it challenging for gesture-based human–computer interactions. The kernel-based operation on the first frame requires additional computational resources for detecting the bare hand. Therefore, a region-based detection approach is proposed to detect the bare hand-like regions using skin color and movement information. Using transfer learning, the AlexNet is used for detecting the bare hand from this region of interest. To track it in the successive frames, a Detection and Tracking (DaT) algorithm is proposed. The smoothen trajectory is utilized for training a separate deep neural network to recognize 60 isolated dynamic gestures. An average accuracy of 97.80%, 96.20% is achieved for the bare hand detection on the Oxford hand database …",6,"A selective region-based detection and tracking approach towards the recognition of dynamic bare hand gesture using deep neural network
KS Yadav, K Anish Monsley, RH Laskar, S Misra… - Multimedia Systems, 2022
Cited by 6 Related articles All 2 versions","{'2022': 2, '2023': 4}",861-879,,,,,,,,
Semantic Masking: A Novel Technique to Mitigate the Class-Imbalance Problem in Real-Time Semantic Segmentation,"Nadeem Atif, H Balaji, Saquib Mazhar, Shaik Rafi Ahamad, MK Bhuyan",2022/5/24,,,,IEEE,"In the field of computer vision and scene under-standing, semantic segmentation is considered to be one of the most challenging task. This is due to the fact that it has to solve all the three standard vision problems, multi-class classification, object detection and image segmentation. One of the most promising areas of application of semantic segmentation is autonomous driving. The advent of deep-learning and the availability of large-scale datasets has enabled the research com-munity to reach to unprecedented performance heights compared to traditional machine learning algorithms. However, despite all the progress, existing learning methods still face the problem of class-imbalance because of which large classes get more attention and consequently the network becomes biased towards them. The problem of class-imbalance is particularly more prominent in urban road-scene datasets. This is because the …",1,"Semantic Masking: A Novel Technique to Mitigate the Class-Imbalance Problem in Real-Time Semantic Segmentation
N Atif, H Balaji, S Mazhar, SR Ahamad, MK Bhuyan - 2022 National Conference on Communications (NCC), 2022
Cited by 1 Related articles",{'2023': 1},407-412,2022 National Conference on Communications (NCC),,,,,,,
Extraction and Calculation of Roadway Area from Satellite Images Using Improved Deep Learning Model and Post-Processing,"Varun Yerram, Hiroyuki Takeshita, Yuji Iwahori, Yoshitsugu Hayashi, MK Bhuyan, Shinji Fukui, Boonserm Kijsirikul, Aili Wang",2022/4/25,Journal of Imaging,8.0,5,MDPI,"Roadway area calculation is a novel problem in remote sensing and urban planning. This paper models this problem as a two-step problem, roadway extraction, and area calculation. Roadway extraction from satellite images is a problem that has been tackled many times before. This paper proposes a method using pixel resolution to calculate the area of the roads covered in satellite images. The proposed approach uses novel U-net and Resnet architectures called U-net++ and ResNeXt. The state-of-the-art model is combined with the proposed efficient post-processing approach to improve the overlap with ground truth labels. The performance of the proposed road extraction algorithm is evaluated on the Massachusetts dataset and it is shown that the proposed approach outperforms the existing solutions which use models from the U-net family.",3,"Extraction and Calculation of Roadway Area from Satellite Images Using Improved Deep Learning Model and Post-Processing
V Yerram, H Takeshita, Y Iwahori, Y Hayashi… - Journal of Imaging, 2022
Cited by 3 Related articles All 8 versions","{'2022': 2, '2023': 1}",124,,,,,,,,
Non-contact heart rate measurement from facial video data using a 2d-vmd scheme,"Mousumi Das, Tilendra Choudhary, MK Bhuyan, LN Sharma",2022/4/22,IEEE Sensors Journal,22.0,11,IEEE,"Non-contact human body vital parameter measurements are getting more attention and have been extensively studied in a short span of time. One of such techniques is the heart rate (HR) estimation based on video recording of human face known as remote photoplethysmogram (rPPG). Usually, the recorded video gets contaminated due to illumination variation of ambient light, motion artifacts, and other environmental factors. Thus, extracting a reliable rPPG signal is a challenging task. In this paper, a novel spatial-temporal filtering method is proposed that utilizes 2D variational mode decomposition (2D-VMD) along with azimuthally averaged power spectrum density (AAPSD) and multimode kurtosis to extract a reliable rPPG signal. The robustness of the proposed algorithm is tested and validated using our own database and the publicly available standard dataset. The obtained experimental results are compared …",1,"Non-contact heart rate measurement from facial video data using a 2d-vmd scheme
M Das, T Choudhary, MK Bhuyan, LN Sharma - IEEE Sensors Journal, 2022
Cited by 1 Related articles All 2 versions",{'2022': 1},11153-11161,,,,,,,,
Two-Stage Hand Gesture Recognition based on Hand Keypoints Localization,"Debanga Raj Neog, MK Bhuyan, Mousumi Das, RH Lashkar",2022/3/24,,,,IEEE,"Hand gesture is an important component of non-verbal communication, and the appropriate categorization of the gestures is quintessential for fruitful communication. Hand gestures are used in many human-computer interfaces for their natural and simplistic contactless way of conveying instruction to the interface. However, the recognition of hand gestures is complicated by numerous factors. This paper addresses a few issues by proposing a two-stage recognition framework that uses a hand joint localization technique. Firstly, the proposed method predicts hand keypoints that localize the region of interest by encompassing the hand region through a bounding box. Subsequently, this region of interest is used in gesture recognizing. The proposed work uses only one input modality-RGB image and performs phenomenally despite background clutter and illumination variation.",0,"Two-Stage Hand Gesture Recognition based on Hand Keypoints Localization
DR Neog, MK Bhuyan, M Das, RH Lashkar - … on Wireless Communications Signal Processing and …, 2022
Related articles",{},110-114,2022 International Conference on Wireless Communications Signal Processing and Networking (WiSPNET),,,,,,,
A Multiresolution Method for Non-Contact Heart Rate Estimation Using Facial Video Frames,"Mousumi Das, Tilendra Choudhary, MK Bhuyan, LN Sharma",2022/3/24,,,,IEEE,"In recent years, camera-based non-contact heart rate (HR) measurement technology has grown immensely. The system captures the reflection of light from the facial tissues and lead to the formation of a remote photoplethysmogram (rPPG) signal that can be used to measure physiological parameters for cardiac health assessment. Due to environmental interferences, extraction of a reliable rPPG signal is a challenging task and thus, requires a robust denoising algorithm. In this paper, a discrete wavelet transform (DWT)-based multiresolution method is used to remove the noises from the video frames caused due to illumination variation and motion artifacts. Subsequently, rPPG signal is extracted and HR is measured from two region of interests (ROIs), facial and forehead regions. The study evaluates the performance of the proposed method on each of the RGB color channels from both the ROIs. The performance …",0,"A Multiresolution Method for Non-Contact Heart Rate Estimation Using Facial Video Frames
M Das, T Choudhary, MK Bhuyan, LN Sharma - … on Wireless Communications Signal Processing and …, 2022
Related articles",{},115-119,2022 International Conference on Wireless Communications Signal Processing and Networking (WiSPNET),,,,,,,
Overview of diagnostics on a small-scale RF source for fusion (ROBIN) and the one planned for the diagnostic beam for ITER,"M Bandyopadhyay, MJ Singh, K Pandya, M Bhuyan, H Tyagi, P Bharathi, Sejal Shah, AK Chakraborty",2022/2/1,Review of Scientific Instruments,93.0,2,AIP Publishing LLC,"India is responsible for the supply of diagnostic neutral beam systems for ITER to diagnose its helium ash during the deuterium–tritium plasma phase using the charge exchange recombination spectroscopy technique. Considering the many first of its kind in terms of technologies and beam development aspects, ITER Indian domestic agency has adopted a strategy of developing the technology and beam experimentation in parallel. On the beam development front three test beds, namely, the ROBIN (Rf Operated Beam source in India for Negative ion research), the TWIN (TWo rf driver-based Indigenously built Negative ion source), and the INTF (INdian Test Facility) are presently in their various phases of operation, optimization, and setting up at IPR, respectively. Experiments related to plasma production, beam production, and acceleration up to 30 keV in volume and surface mode have been performed on ROBIN …",1,"Overview of diagnostics on a small-scale RF source for fusion (ROBIN) and the one planned for the diagnostic beam for ITER
M Bandyopadhyay, MJ Singh, K Pandya, M Bhuyan… - Review of Scientific Instruments, 2022
Cited by 1 Related articles All 3 versions",{'2022': 1},023504,,,,,,,,
A curvelet-based multi-sensor image denoising for KLT-based image fusion,"Amit Vishwakarma, Manas Kamal Bhuyan",2022/2,Multimedia Tools and Applications,81.0,4,Springer US,"The transform-based multi-sensor image denoising methods are inefficient in restoring fine details and texture information of noisy images. The fixed and non-adaptive curvelet transform (CT) design limits its performance in image denoising tasks. Moreover, the Karhunen-Loeve Transform (KLT)-based multi-sensor image fusion techniques premise that high variance’s first two principal components are an excellent option for weights used for the weighted average multi-sensor source images. However, the selected weights are non-optimal in this method, considering the less relevant information of source images. The experimental section has several examples showing the key advantages of the proposed optimized CT-based natural image denoising technique over seven existing denoising methods. First, our image denoising method introduces a modified Meyer window (used in unequally-spaced fast Fourier …",2,"A curvelet-based multi-sensor image denoising for KLT-based image fusion
A Vishwakarma, MK Bhuyan - Multimedia Tools and Applications, 2022
Cited by 2 Related articles All 3 versions",{'2023': 2},4991-5016,,,,,,,,
An unsupervised approach of colonic polyp segmentation using adaptive markov random fields,"Pradipta Sasmal, Manas Kamal Bhuyan, Soumayan Dutta, Yuji Iwahori",2022/2/1,Pattern Recognition Letters,154.0,,North-Holland,"In this article, an unsupervised image segmentation method is proposed to segment out polyps in endoscopic images. Based on the skeleton of an over-segmented image, an adaptive Markov Random Field (MRF)-based framework is employed. The polyps or abnormal regions show markedly different texture and color characteristics in contrast to normal tissues. In our method, the endoscope images are first over-segmented into superpixels. For final refinement, Local binary pattern (LBP) and color features are used in the adaptive MRF. The experimental results show that the proposed method can perfectly localize polyp regions, and it can give a mean dice value of 60.77% in a test set of 612 images taken from 29 different video sequences. Deep learning models require a huge number of training images for tweaking of network parameters. In this context, it is sometimes challenging to deploy a deep model for …",3,"An unsupervised approach of colonic polyp segmentation using adaptive markov random fields
P Sasmal, MK Bhuyan, S Dutta, Y Iwahori - Pattern Recognition Letters, 2022
Cited by 3 Related articles All 3 versions","{'2022': 2, '2023': 1}",7-15,,,,,,,,
Edge Based Video Clip Searching and Retrieval in Broadcast News Videos,"Pranabjyoti Haloi, MK Bhuyan, Kritartha Gautam, Ariyan Ali",2022/1/21,,,,IEEE,"The study of image-based retrieval when the database consists of videos becomes a very challenging task. This variation of visual search is important for a broad range of applications that require indexing video databases based on their visual contents. Our paper presents the search of a database based on broadcasting news. The main agenda of this paper is to retrieve the data of a particular shot of a video and compare it with a part of broadcast news and check its occurrence in the broadcast news video. Outnumbering different algorithms we have come up with an efficient way of retrieving the data. In this paper, we have first extracted the frames for a particular segment of video and converted each frame to binary form and detected the edges of each frame using the edge detection method, and stored the no of edges detected into arrays for the video shot as well as the broadcast news. For the rectification, we …",0,"Edge Based Video Clip Searching and Retrieval in Broadcast News Videos
P Haloi, MK Bhuyan, K Gautam, A Ali - 2022 International Conference for Advancement in …, 2022
Related articles",{},1-5,2022 International Conference for Advancement in Technology (ICONAT),,,,,,,
Improvement of Polyp Detection using MUNIT for Image Generation,"Yuji Iwahori, Tsubasa Ooto, Hiroyasu Usami, Shinji Fukui, MK Bhuyan, Aili Wang, Naotaka Ogasawara, Kunio Kasugai",2022/1/1,Procedia Computer Science,207.0,,Elsevier,"This paper treats an image translation using Multimodal Unsupervised Image-to-Image Translation (MUNIT) from the white light source image to the Narrow Band Imaging (NBI) of the endoscope images and proposes a method to improve the detection performance by the Single Shot Multibox Detector (SSD) which trains dataset of white light source image by adding the generated NBI-like images. The proposed approach makes it possible to generate an NBI-like image by keeping the existing polyp, inner wall and specific features of coloring and brightness of the original endoscope image. It is shown that increasing the number of data of the generated images achieves the better performance. The performance of the proposed approach was evaluated using the actual endoscope images which include the polyps of the various shapes. Recall of 80.62% and precision of 93.47% were obtained as a result through the …",0,"Improvement of Polyp Detection using MUNIT for Image Generation
Y Iwahori, T Ooto, H Usami, S Fukui, MK Bhuyan… - Procedia Computer Science, 2022
Related articles All 2 versions",{},416-424,,,,,,,,
