Title,Authors,Publication date,Journal,Volume,Issue,Publisher,Description,Total citations,Scholar articles,Citation Count,Pages,Conference,Source,Book
Performance Analysis of a Relay-Assisted D2D Underlay Cellular Network,"Mahari B Tsegay, Kalpana Dhaka, Ratnajit Bhattacharjee",2022/5/24,,,,IEEE,"Device-to-device (D2D) underlay cellular network allows spectrum reuse that improves the spectral efficiency of the network. The challenge in allowing D2D links or relay-assisted D2D links to use the same resources as the traditional cellular down/uplink transmissions is the mutual interference between them. The cellular link contributes majorly to the interference due to the high power transmitted over the link. In this work, we consider interference due to cellular transmission at the relay and destination node of the relay-assisted D2D link are mitigated using decoding matrices obtained using interference alignment techniques. The exact expressions of the end-to-end outage probability and symbol error probability are obtained. The analysis is presented for a general scenario with multiple transmit and receive antennas. Numerical results are plotted to show the impact of the modulation order, interference due to …",0,"Performance Analysis of a Relay-Assisted D2D Underlay Cellular Network
MB Tsegay, K Dhaka, R Bhattacharjee - 2022 National Conference on Communications (NCC), 2022
Related articles",{},397-401,2022 National Conference on Communications (NCC),,
Analytical modelling of terahertz photomixing antennas,"Mrinmoy Bharadwaj, Jitendra Prajapati, Ratnajit Bhattacharjee",2022/3/4,,68.0,2.0,Taylor & Francis,"Radiation from a Terahertz Photomixing Antenna (PMA) involves multi-physical phenomena. We introduce a simple analytical model that combines the multi-physical phenomena in the PMA using a conventional 2-ray model. We observe reasonably close agreement between the antenna output obtained from the proposed model and the available measured results. We extend our analytical framework to incorporate the presence of an additional signal source on one of the laser beams, intended towards producing modulation in the PMA output signal. We analytically investigate the active region current density and radiated fields of the PMA. We also present a brief discussion on the efficiency of the PMA and the different factors that impact the efficiency. The output power depends on some key parameters which can be utilized to make PMAs suitable for sensing as well as wireless communication applications.",1,"Analytical modelling of terahertz photomixing antennas
M Bharadwaj, J Prajapati, R Bhattacharjee - IETE Journal of Research, 2022
Cited by 1 Related articles All 2 versions",{'2021': 1},1394-1405,,IETE Journal of Research,
Multidynamic Radar: A Concept for Strategic Air Surveillance System,"Jawed Qumar, S Christopher, Ratnajit Bhattacharjee",2021/11/12,IEEE Sensors Letters,5.0,12.0,IEEE,"Multidynamic radar (MDR) configuration is emerging as state of the art in the field of airborne radar, where several airborne radars work in a coordinated manner. MDR systems provide better spatial diversity and resistance to other vulnerability in combat scenario. This provides high performance for operational requirement compared to multistatic, bistatic, or monostatic radar. For last few decades, stealth technology has been one of the most widely used approaches for target hideout from radar systems. This technology uses the concept of low-observable principle to reduce the radar cross section in the direction of radar. Earlier, ground-based radars, like bistatic radar or multistatic radar, were used to counter such target hideout. Airborne radar has its own advantages for better visibility and coverage for airborne surveillance. In the proposed MDR, the transmitters (Tx) and receivers (Rx) are placed on airborne …",0,"Multidynamic Radar: A Concept for Strategic Air Surveillance System
J Qumar, S Christopher, R Bhattacharjee - IEEE Sensors Letters, 2021
Related articles",{},1-4,,,
Design and analysis of width-modulated two-section sine waveguide for G-band traveling-wave tube,"Narugopal Nayek, Mohit Kumar Joshi, Ramesh Kumar Sonkar, Tapeshwar Tiwari, Ratnajit Bhattacharjee",2021/10/14,IEEE Transactions on Electron Devices,68.0,12.0,IEEE,"A novel width-modulated sine waveguide traveling-wave tube (SWGTWT) is proposed for G-band operation. The broadband single-section and two-section SWGTWT are analyzed, which has the potential to address various technological challenges in the THz regime, such as fabrication difficulty, reflection, and attenuation of RF power. The two-section design has separate RF structures for input and output sections of the TWT, which helps to eliminate undesired reflection during high-power operation. The width modulation is employed to enhance the interaction impedance and also to realize the flat dispersion characteristic of the slow wave structure (SWS). The fabrication feasibility of the structure is demonstrated by fabricating the scaled structure at the Ku-band. A 20.4-kV, 50-mA cylindrical beam is employed in the particle-in-cell (PIC) simulation. The single-section structure offers a maximum power of 53 W with …",5,"Design and analysis of width-modulated two-section sine waveguide for G-band traveling-wave tube
N Nayek, MK Joshi, RK Sonkar, T Tiwari… - IEEE Transactions on Electron Devices, 2021
Cited by 5 Related articles All 2 versions","{'2022': 4, '2023': 1}",6458-6464,,,
Automatic modulation classification over MIMO amplify and forward (AF)-relay fading channels,"Dibyajyoti Das, Prabin Kumar Bora, Ratnajit Bhattacharjee",2021/8/1,Physical Communication,47.0,,Elsevier,"Abstract Automatic Modulation Classification (AMC) plays an important role in many civilian applications such as spectrum monitoring (SM) and cognitive radio (CR). The majority of the AMC algorithms for MIMO systems are developed for rich scattering environments, which offer a full rank channel matrix. A rank deficient channel such as a keyhole channel severely affects the AMC performance. It is reported that cooperative relaying is an attractive solution to overcome the rank deficiency of multiple-input multiple-output (MIMO) channels. This work investigates the effect of cooperative relaying on the AMC performance. A higher-order cumulant (HOC)-based AMC method, namely the relay assisted RA-AMC method, is proposed to classify a pool of modulation types, namely BPSK, OQPSK, QPSK, π 4-QPSK, 8-PSK and 16-QAM over an amplify and forward (AF) relay network. Simulation results show that the …",1,"Automatic modulation classification over MIMO amplify and forward (AF)-relay fading channels
D Das, PK Bora, R Bhattacharjee - Physical Communication, 2021
Cited by 1 Related articles",{'2022': 1},101399,,,
Investigation on dual-band equilateral triangular shaped dielectric resonator antennas for WLAN applications,"P Anoop, Ratnajit Bhattacharjee",2021/7/1,INTERNATIONAL JOURNAL OF RF AND MICROWAVE COMPUTER-AIDED ENGINEERING,31.0,7.0,WILEY,"In this article, two configurations of dual-band equilateral triangular dielectric resonator antennas (ETDRAs) for WLAN applications are proposed namely, configuration-I and configuration-II. The configuration-I uses single ETDRA for dual-band operation; whereas, configuration-II includes two ETDRAs to operate as a dual-band antenna. Both the antenna configurations, which uses 99.7% alumina material having a dielectric constant of epsilon(r) = 9.9, are excited to operate in the bands of 2.4 to 2.5 GHz and 5.75 to 5.85 GHz. The antennas are excited using a conventional coaxial feed to have a simple feeding mechanism. Prototypes of both the antenna configurations are fabricated and measured. The radiation characteristics of the antennas are discussed. The circuit analysis for the proposed configurations of the dual-band ETDRA is also performed and an appropriate equivalent circuit for each dual-band ETDRA …",3,"Investigation on dual-band equilateral triangular shaped dielectric resonator antennas for WLAN applications
P Anoop, R Bhattacharjee - … JOURNAL OF RF AND MICROWAVE COMPUTER …, 2021
Cited by 3 Related articles","{'2022': 2, '2023': 1}",,,,
Radar waveform diversity using nonlinear chirp with improved sidelobe level performance,"Arijit Roy, Harshal B Nemade, Ratnajit Bhattacharjee",2021/7/1,AEU-International Journal of Electronics and Communications,136.0,,Urban & Fischer,"Radar system with high range-resolution can be obtained through discrete frequency-coding waveform (DFCW). In this paper, we investigate the design process of DFCW using nonlinear chirp (DFCW-NLC), with improved autocorrelation sidelobe peak (ASP) and cross-correlation peak (CCP) levels, to attain radar waveform diversity. In this context, we present a parameterized waveform design model and derive NLC functions for designing the required NLC waveform, thereby simplifying the waveform design process. We derive analytical expressions of autocorrelation and cross-correlation functions for the NLC waveform. To achieve a waveform with desired properties, we present an optimization process based on genetic algorithm, and the optimization of parameterized NLC waveforms attains improved ASP performance over existing designs. Subsequently, we propose the design of a set of DFCW-NLC, double …",3,"Radar waveform diversity using nonlinear chirp with improved sidelobe level performance
A Roy, HB Nemade, R Bhattacharjee - AEU-International Journal of Electronics and …, 2021
Cited by 3 Related articles",{'2022': 3},153768,,,
Design of Truncated Sine-waveguide Structure for THz TWT,"Narugopal Nayek, Mohit Kumar Joshi, Ramesh Kumar Sonkar, Tapeshwar Tiwari, Ratnajit Bhattacharjee",2021/4/27,,,,IEEE,"A novel truncated Sine-waveguide Travelling Wave Tube (SWGTWT) is studied to operate in 600–700 GHz. The cold circuit parameters like dispersion diagram, interaction impedance, and phase velocity are obtained. The extent of truncation is optimized to flatten the dispersion curve and to have a reasonable space for beam transportation. PIC simulation is carried out to study high-power oneration.",0,"Design of Truncated Sine-waveguide Structure for THz TWT
N Nayek, MK Joshi, RK Sonkar, T Tiwari… - 2021 22nd International Vacuum Electronics …, 2021
Related articles",{},1-2,2021 22nd International Vacuum Electronics Conference (IVEC),,
An Approach for Mitigation of Beam Blockage in mmWave-Based Indoor Networks,"Arijit Bhattacharjee, Ratnajit Bhattacharjee, Sanjay Kumar Bose",2021/4/1,IEEE Internet of Things Journal,8.0,19.0,IEEE,"The rapidly evolving scenario around cellular networks, Internet of Things (IoT), and the associated services ecosystem has generated a wide range of expectations for the future networks. However, the unavailability of sufficient bandwidth and severe interference prohibit the existing commercially used radio-frequency (RF) bands from supporting some of these services. In this respect, the millimeter wave (mmWave)-based systems are seen as promising alternatives for supporting various high data rate enhanced mobile broadband (eMBB) services. Nevertheless, the adverse wave propagation characteristics in these bands and the resulting media access control (MAC) layer problems of beam blockage restrict these systems from operating in a reliable manner. Therefore, in this article, we propose a MAC layer-based approach of control delegation to tackle the problem of beam blockage. The mechanism uses …",2,"An Approach for Mitigation of Beam Blockage in mmWave-Based Indoor Networks
A Bhattacharjee, R Bhattacharjee, SK Bose - IEEE Internet of Things Journal, 2021
Cited by 2 Related articles",{'2022': 2},14607-14622,,,
Small Offset Reflector with Matched Feed for 5G Application,"Kaushik Debbarma, Ratnajit Bhattacharjee",2021/1/29,IETE Journal of Research,,,Taylor & Francis,"In this paper, the authors propose a two-layer microstrip matched feed for a compact offset reflector with projected diameter equal to 10λ, operating at 3.5 GHz (sub-6 GHz 5G band). The proposed feed consists of a rectangular patch operating in dominant mode at the top layer and a circular patch operating in TM mode below it. Both the microstrip patches are excited using two different ports and the excitation ratio between the two ports is varied to obtain the conjugate field matching required for cross-polar suppression in the reflector pattern. The optimum excitation ratio between the two generated modes are obtained through a parametric study for three different F/D (focal length to diameter) values of 0.4, 0.6 and 0.8. The proposed matched feed is a low cost feed designed on FR4 substrate and its pattern is obtained using HFSS and CST. The reflector pattern of the offset reflector is calculated using geometrical optics …",0,"Small Offset Reflector with Matched Feed for 5G Application
K Debbarma, R Bhattacharjee - IETE Journal of Research, 2021
Related articles",{},1-7,,,
DC-DLLR: A MAC layer approach for reliable and blockage tolerant mmWave indoor networks,"Arijit Bhattacharjee, Ratnajit Bhattacharjee, Sanjay Kumar Bose",2021/1/5,,,,IEEE,"The imminent global roll-out of fifth generation (5G) telecommunication networks motivates the introduction of millimeter wave (mmWave) access networks as these networks can support very high data-rates at low spectrum costs. However, the susceptibility of mmWave beams to blockage from common indoor objects is a limitation that needs to be addressed. For this, a broad range of multi-link-connectivity (MLC) based approaches have been suggested for implementation in the Physical, MAC and Network layers of the system. However, these techniques tend to use the network resources inefficiently and also require high CAPEX and OPEX. To mitigate these problems, this paper proposes some device-centric dynamic link level redundancy (DC-DLLR) based approaches to regulate redundancy while achieving blockage tolerance. By dynamically regulating the extent of redundancy, this approach improves both …",2,"DC-DLLR: A MAC layer approach for reliable and blockage tolerant mmWave indoor networks
A Bhattacharjee, R Bhattacharjee, SK Bose - … Conference on COMmunication Systems & NETworkS …, 2021
Cited by 2 Related articles",{'2021': 2},509-515,2021 International Conference on COMmunication Systems & NETworkS (COMSNETS),,
Design and Efficiency Enhancement of a Ka-Band Industrial Gyrotron,"Narugopal Nayek, Mohit Kumar Joshi, Ramesh Kumar Sonkar, Tapeshwar Tiwari, Ratnajit Bhattacharjee",2020/10/7,IEEE Transactions on Plasma Science,48.0,11.0,IEEE,"The key subsystems of a high efficiency material processing gyrotron are designed at an operating frequency of 27.885 GHz. A triode-type electron gun is designed to launch hollow spiraling electron beam. The outer diameter of the gun is kept at 50 mm to lower inside diameter of the magnet. Start oscillation current for TE02 operating as well as competing modes is plotted. The output power and efficiency are predicted to be 18.4 kW and 46%, respectively, based on single mode time-dependent analytical equation. Beam-wave interaction is studied by employing particle-in-cell (PIC) simulation. Electronic efficiency and output power are increased by operating the tube in hard excitation region. An axially slotted cavity is adopted to abridge mode competitions. The output power and electronic efficiency are obtained to be 20.08 kW and 50.2%, respectively, without considering any velocity spread of the electron beam …",2,"Design and efficiency enhancement of a Ka-band industrial gyrotron
N Nayek, MK Joshi, RK Sonkar, T Tiwari… - IEEE Transactions on Plasma Science, 2020
Cited by 2 Related articles All 2 versions",{'2022': 2},3807-3814,,,
Interference Cancellation in Multiple D2D Underlaying LTE Cellular Networks,"Mahari B Tsegay, Kalpana Dhaka, Ratnajit Bhattacharjee",2020/9/28,,,,IEEE,"With the advancement in technology, data-based applications have gained immense popularity as a necessity in our day-to-day life. In order to connect the growing number of wireless devices, resources are reused in the cellular system. We consider underlay device-to-device (D2D) communications where the resources assigned for cellular downlink (DL) or uplink (UL) transmissions are shared with D2D users. The main challenge in allowing links using the same resources for the cellular DL or UL transmissions is the mutual interference between the D2D and cellular links. In order to manage the mutual interference, performance for an interference cancellation (IC) strategy is presented which considers orthogonal precoding vectors for links sharing the same resources. This IC strategy improves the outage probability and the overall capacity of cellular and D2D UEs sharing the same resources. Analytical results …",1,"Interference Cancellation in Multiple D2D Underlaying LTE Cellular Networks
MB Tsegay, K Dhaka, R Bhattacharjee - 2020 4th International Conference on Computer …, 2020
Cited by 1 Related articles",{'2022': 1},1-5,"2020 4th International Conference on Computer, Communication and Signal Processing (ICCCSP)",,
Particle-in-cell simulation and analysis of 28-vane megawatt-class pulsed power coaxial magnetron in X-band,"Mohit Kumar Joshi, Sandeep Kumar Vyas, Tapeshwar Tiwari, Ratnajit Bhattacharjee",2020/4/23,IEEE Transactions on Plasma Science,48.0,6.0,IEEE,"This article presents the design and analysis of a 28-vane megawatt-class pulsed power coaxial magnetron operating in X-band for medical linear accelerator (LINAC) applications. The systematic design procedure of the coaxial magnetron is presented. The proposed coaxial magnetron is analyzed using particle-in-cell (PIC) simulations. The output is taken from the standard WR112 waveguide through a rectangular slot in the outer wall of the coaxial cavity. The maximum total efficiency of 62.04% is obtained at 9.2987 GHz, having a 2.12-MW peak output power for stable π-mode operation. The π-mode operation is determined by 14 spokes of electrons in the PIC simulation. Electronic efficiency and circuit efficiency of the designed coaxial magnetron are obtained as 73.86% and 84%, respectively. The output peak power can be enhanced by optimizing the applied magnetic field in the operating region of π-mode …",5,"Particle-in-cell simulation and analysis of 28-vane megawatt-class pulsed power coaxial magnetron in X-band
MK Joshi, SK Vyas, T Tiwari, R Bhattacharjee - IEEE Transactions on Plasma Science, 2020
Cited by 5 Related articles All 2 versions","{'2020': 1, '2021': 2, '2022': 1, '2023': 1}",1886-1893,,,
PACTA: A portfolio theory based approach for QoS aware resource allocation in mmWave networks,"Arijit Bhattacharjee, Ratnajit Bhattacharjee, Sanjay Kumar Bose",2020/4/6,IEEE Communications Letters,24.0,8.0,IEEE,"An ultra-dense millimetre wave (mmWave) access network operating on IEEE 802.15.3c based simultaneously operated piconet (SOP) architecture offers an effective way to operate high data-rate IoT-networks while overcoming the challenges of beam-blockage and high propagation loss which characterize these systems. The SOP architecture permits coexistence of multiple mmWave piconets by allowing a piconet controller (PNC) to share its channel time with multiple PNCs, using periodically updated private channel time allocations (p-CTAs). However, due to beam blockage, the p-CTA demands within the piconets change dynamically and often cause a mismatch between the demanded and the assigned p-CTAs leading to suboptimal resource allocation and wastage of network resources. To overcome these problems, this letter proposes a QoS aware risk-sensitive approach for p-CTA assignment. It uses …",2,"PACTA: A portfolio theory based approach for QoS aware resource allocation in mmWave networks
A Bhattacharjee, R Bhattacharjee, SK Bose - IEEE Communications Letters, 2020
Cited by 2 Related articles",{'2021': 2},1794-1798,,,
Pattern shifting and size control in offset reflector Antennas with microstrip array as matched feed,"Kaushik Debbarma, Ratnajit Bhattacharjee",2020/3/15,,,,IEEE,"In this paper, details of a dual-layered microstrip based matched feed array for an offset reflector are presented. The top layer of the proposed feed consists of 9 circular microstrip antennas operating in TM 11 mode arranged in a centered circular array configuration. The second layer contains a circular microstrip antenna operating in TM 21 mode and located below the central element of the circular array. The excitation ratio between the higher order mode and dominant mode patches is varied to achieve a low cross-polar level at the asymmetric plane by using the concept of conjugate field matching. The effect of circular array radius on the reflector pattern of the offset reflector with focal length to diameter (F/D) ratio equal to 0.7 is investigated to find the optimum radius of the circular array. An investigation has been done to show that by exciting selective array antenna elements, beamwidth and beam shift …",1,"Pattern shifting and size control in offset reflector Antennas with microstrip array as matched feed
K Debbarma, R Bhattacharjee - 2020 14th European Conference on Antennas and …, 2020
Cited by 1 Related articles All 2 versions",{'2021': 1},1-5,2020 14th European Conference on Antennas and Propagation (EuCAP),,
Impedance Bandwidth Performance of TM10ẟ Mode in Equilateral Triangular DRA,"P Anoop, Ratnajit Bhattacharjee",2020/3/15,,,,IEEE,"In this paper a method for calculating the impedance bandwidth around the resonance frequency of TM mode excited inside an Equilateral Triangular Dielectric Resonator Antenna (ETDRA) is reported. The method utilizes the expression of quality factor factor) of TM mode, which is obtained through curve fitting approximation technique. Q-factor is a function of aspect ratio and the material dielectric constant . The bandwidth performances of such modes around the resonance frequencies for different degrees of impedance matching are discussed. The proposed method for calculating the impedance bandwidth is also validated by comparing with the practical bandwidth of the ETDRAs reported in the literature.",0,"Impedance Bandwidth Performance of TM 10ẟ Mode in Equilateral Triangular DRA
P Anoop, R Bhattacharjee - 2020 14th European Conference on Antennas and …, 2020
Related articles",{},1-5,2020 14th European Conference on Antennas and Propagation (EuCAP),,
