Title,Authors,Publication date,Journal,Volume,Issue,Publisher,Description,Total citations,Scholar articles,Citation Count,Pages,Book,Conference,Source,Institution,Inventors,Patent office,Application number,Report number
Sentiment analysis of tweets using heterogeneous multi-layer network representation and embedding,"Loitongbam Gyanendro Singh, Anasua Mitra, Sanasam Ranbir Singh",2020/11,,,,,"Sentiment classification on tweets often needs to deal with the problems of under-specificity, noise, and multilingual content. This study proposes a heterogeneous multi-layer network-based representation of tweets to generate multiple representations of a tweet and address the above issues. The generated representations are further ensembled and classified using a neural-based early fusion approach. Further, we propose a centrality aware random-walk for node embedding and tweet representations suitable for the multi-layer network. From various experimental analysis, it is evident that the proposed method can address the problem of under-specificity, noisy text, and multilingual content present in a tweet and provides better classification performance than the text-based counterparts. Further, the proposed centrality aware based random walk provides better representations than unbiased and other biased counterparts.",8,"Sentiment analysis of tweets using heterogeneous multi-layer network representation and embedding
LG Singh, A Mitra, SR Singh - Proceedings of the 2020 Conference on Empirical …, 2020
Cited by 8 Related articles All 3 versions","{'2021': 2, '2022': 6}",8932-8946,,Proceedings of the 2020 Conference on Empirical Methods in Natural Language Processing (EMNLP),,,,,,
Towards implementing fast and scalable network intrusion detection system using entropy based discretization technique,"Ritesh Ratti, Sanasam Ranbir Singh, Sukumar Nandi",2020/7/1,,,,IEEE,"With the advent of networking technologies and increasing network attacks, Intrusion Detection systems are apparently needed to stop attacks and malicious activities. Various frameworks and techniques have been developed to solve the problem of intrusion detection, still there is need for new frameworks as per the challenging scenario of enormous scale in data size and nature of attacks. Current IDS systems pose challenges on the throughput to work with high speed networks. In this paper we address the issue of high computational overhead of anomaly based IDS and propose the solution using discretization as a data preprocessing step which can drastically reduce the computation overhead. We propose method to provide near real time detection of attacks using only basic flow level features that can easily be extracted from network packets.",4,"Towards implementing fast and scalable network intrusion detection system using entropy based discretization technique
R Ratti, SR Singh, S Nandi - 2020 11th International Conference on Computing …, 2020
Cited by 4 Related articles","{'2021': 1, '2022': 3}",1-7,,"2020 11th International Conference on Computing, Communication and Networking Technologies (ICCCNT)",,,,,,
Effect of class imbalance in heterogeneous network embedding: An empirical study,"Akash Anil, Sanasam Ranbir Singh",2020/5/1,Journal of Informetrics,14.0,2,Elsevier,"Network science has been extensively explored in solving various bibliometrics tasks such as Co-authorship prediction, Author classification, Author clustering, Author ranking, Paper ranking, etc. While majority of the past studies exploit homogeneous bibliographic network (consists of singular type of nodes and edges), in recent past there is a surge in using heterogeneous bibliographic entities and their inter-dependencies using heterogeneous information networks (HIN). Unlike homogeneous bibliographic networks, a bibliographic HIN consists of multi-typed nodes such as Author, Paper, Venue, etc. and corresponding relations. Thus bibliographic HIN is more complex and captures rich semantics of underlying bibliographic data as well as poses more challenges. Since a real-world HIN may have different number of instances for different node types, class imbalance is ubiquitous. Recent studies discuss class …",6,"Effect of class imbalance in heterogeneous network embedding: An empirical study
A Anil, SR Singh - Journal of Informetrics, 2020
Cited by 6 Related articles All 3 versions","{'2020': 1, '2021': 3, '2022': 1, '2023': 1}",101009,,,,,,,,
Emotion dynamics of public opinions on twitter,"Debashis Naskar, Sanasam Ranbir Singh, Durgesh Kumar, Sukumar Nandi, Eva Onaindia de la Rivaherrera",2020/3/4,ACM Transactions on Information Systems (TOIS),38.0,2,ACM,"Recently, social media has been considered the fastest medium for information broadcasting and sharing. Considering the wide range of applications such as viral marketing, political campaigns, social advertisement, and so on, influencing characteristics of users or tweets have attracted several researchers. It is observed from various studies that influential messages or users create a high impact on a social ecosystem. In this study, we assume that public opinion on a social issue on Twitter carries a certain degree of emotion, and there is an emotion flow underneath the Twitter network. In this article, we investigate social dynamics of emotion present in users’ opinions and attempt to understand (i) changing characteristics of users’ emotions toward a social issue over time, (ii) influence of public emotions on individuals’ emotions, (iii) cause of changing opinion by social factors, and so on. We study users’ emotion …",27,"Emotion dynamics of public opinions on twitter
D Naskar, SR Singh, D Kumar, S Nandi… - ACM Transactions on Information Systems (TOIS), 2020
Cited by 27 Related articles All 2 versions","{'2020': 4, '2021': 7, '2022': 12, '2023': 4}",1-24,,,,,,,,
SHE: Sentiment hashtag embedding through multitask learning,"Loitongbam Gyanendro Singh, Akash Anil, Sanasam Ranbir Singh",2020/1/20,IEEE Transactions on Computational Social Systems,7.0,2,IEEE,"Recent studies have shown the importance of utilizing hashtags for sentiment analysis task on social media data. However, as the hashtag generation process is less restrictive, it throws several challenges, such as hashtag normalization, topic modeling, and semantic similarity. Recently, researchers have tried to address the above-mentioned challenges through representation learning. However, most of the studies on hashtag embedding try to capture the semantic distribution of hashtags and often fail to capture the sentiment polarity. Furthermore, generating a task-specific hashtag embedding can distort its semantic representation, which is undesirable for sentiment representation of hashtag. Therefore, this article proposes a semisupervised sentiment hashtag embedding (SHE) model, which is capable of preserving both semantic as well as sentiment distribution of the hashtags. In particular, SHE leverages a …",16,"SHE: Sentiment hashtag embedding through multitask learning
LG Singh, A Anil, SR Singh - IEEE Transactions on Computational Social Systems, 2020
Cited by 16 Related articles","{'2020': 2, '2021': 6, '2022': 8}",417-424,,,,,,,,
Network sampling using k-hop random walks for heterogeneous network embedding,"Akash Anil, Shubham Singhal, Piyush Jain, Sanasam Ranbir Singh, Ajay Ladhar, Sandeep Singh, Uppinder Chugh",2019/1/3,,,,,"Capturing neighborhood information by generating node sequences or node samples is an important prerequisite step for many of the neural network embedding approaches. Majority of the recent studies on neural network embedding exploit random walk as a sampling method, which traverses through adjacent neighbors to generate the node sequences. Traversing through only immediate neighbor may not be suitable particularly for heterogeneous information networks (HIN) where adjacent nodes tend to belong to different types. Therefore, this paper proposes a random walk based sampling approach (RW-k) which generates the node sequences such that adjacent nodes in the sequence are separated by k edges preserving the k-hop proximity characteristics. We exploit the node sequences generated using RW-k sampling for network embedding using skip-gram model. Thereafter, the performance of …",2,"Network sampling using k-hop random walks for heterogeneous network embedding
A Anil, S Singhal, P Jain, SR Singh, A Ladhar, S Singh… - Proceedings of the ACM India Joint International …, 2019
Cited by 2 Related articles All 3 versions",{'2020': 2},354-357,Proceedings of the ACM India Joint International Conference on Data Science and Management of Data,,,,,,,
Prioritized Named Entity Driven LDA for Document Clustering,"Durgesh Kumar, Sanasam Ranbir Singh",2019,,,,Springer International Publishing,"Topic modeling methods like LSI, pLSI, and LDA have been widely studied in text mining domain for various applications like document representation, document clustering/classification, information retrieval, etc. However, such unsupervised methods are effective over corpus with well separable topics. In real-world applications, topics might be of highly overlapping in nature. For example, a news corpus of different terror attacks has highly overlapping keywords across reporting of different terror events. In this paper, we propose a variant of LDA, named as Prioritized Named Entity driven LDA (PNE-LDA), which can address the issue of overlapping topics by prioritizing named entities related to the topics. From various experimental setups, it is observed that the proposed method outperforms its counterparts in entity driven overlapping topics.",0,"Prioritized Named Entity Driven LDA for Document Clustering
D Kumar, SR Singh - Pattern Recognition and Machine Intelligence: 8th …, 2019
Related articles All 2 versions",{},294-301,,"Pattern Recognition and Machine Intelligence: 8th International Conference, PReMI 2019, Tezpur, India, December 17-20, 2019, Proceedings, Part II",,,,,,
On applying meta-path for network embedding in mining heterogeneous DBLP network,"Akash Anil, Uppinder Chugh, Sanasam Ranbir Singh",2019,,,,Springer International Publishing,"Unsupervised network embedding using neural networks garnered considerable popularity in generating network features for solving various network-based problems such as link prediction, classification, clustering, etc. As majority of the information networks are heterogeneous in nature (consist of multiple types of nodes and edges), previous approaches for heterogeneous network embedding exploit predefined meta-paths. However, a meta-path guides the model towards a specific sub-structure of the underlying heterogeneous information network, it tends to lose other inherent characteristics. Further, different meta-paths capture proximities of different semantics and may affect the performance of underlying task differently. In this paper, we systematically study the effects of different meta-paths using recently proposed network embedding methods (Metapath2vec, Node2vec, and VERSE) over DBLP …",4,"On applying meta-path for network embedding in mining heterogeneous DBLP network
A Anil, U Chugh, SR Singh - Pattern Recognition and Machine Intelligence: 8th …, 2019
Cited by 4 Related articles All 5 versions","{'2020': 2, '2021': 2}",249-257,,"Pattern Recognition and Machine Intelligence: 8th International Conference, PReMI 2019, Tezpur, India, December 17-20, 2019, Proceedings, Part II",,,,,,
Influence of social conversational features on language identification in highly multilingual online conversations,"Neelakshi Sarma, Sanasam Ranbir Singh, Diganta Goswami",2019/1/1,Information Processing & Management,56.0,1,Pergamon,"With the explosion of multilingual content on Web, particularly in social media platforms, identification of languages present in the text is becoming an important task for various applications. While automatic language identification (ALI) in social media text is considered to be a non-trivial task due to the presence of slang words, misspellings, creative spellings and special elements such as hashtags, user mentions etc., ALI in multilingual environment becomes even more challenging task. In a highly multilingual society, code-mixing without affecting the underlying language sense has become a natural phenomenon. In such a dynamic environment, conversational text alone often fails to identify the underlying languages present in the text. This paper proposes various methods of exploiting social conversational features for enhancing ALI performance. Although social conversational features for ALI have been …",9,"Influence of social conversational features on language identification in highly multilingual online conversations
N Sarma, SR Singh, D Goswami - Information Processing & Management, 2019
Cited by 9 Related articles","{'2021': 4, '2022': 5}",151-166,,,,,,,,
Word level language identification in Assamese-Bengali-Hindi-English code-mixed social media text,"Neelakshi Sarma, Sanasam Ranbir Singh, Diganta Goswami",2018/11/15,,,,IEEE,"The content posted over social media platforms today are characterized by code-mixing, phonetic typing, lexical borrowing and neologism making word level language identification an important pre-requisite for various natural language processing applications. Existing studies in word level language identification are not applicable for low resource languages due to the lack of essential tools and resources like dictionaries, annotated resources, transliteration tools etc. In this paper, we address the problem of word level language identification in a highly multilingual environment for low resource languages. We investigate the performance of different word level language identification frameworks over a corpus of transliterated Assamese-Bengali-Hindi-English messages collected from Facebook social media platform. From various experimental observations, it is evident that global semantic similarities help in …",6,"Word level language identification in Assamese-Bengali-Hindi-English code-mixed social media text
N Sarma, SR Singh, D Goswami - 2018 International Conference on Asian Language …, 2018
Cited by 6 Related articles",{},261-266,,2018 International Conference on Asian Language Processing (IALP),,,,,,
Transliteration of english loanwords and named-entities to manipuri: Phoneme vs grapheme representation,"Lenin Laitonjam, Loitongbam Gyanendro Singh, Sanasam Ranbir Singh",2018/11/15,,,,IEEE,"Development of an effective system for transliterating loanwords and named-entities across orthographically very different languages is a challenging task. In general, such problems are addressed using two approaches; (i) dictionary-based mapping, and (ii) machine learning techniques. Most of the dictionary-based approaches focus on developing either phoneme or grapheme based mapping rules. In this paper, we investigate the effect of various transliteration models for transliterating English loanwords and named-entities to Manipuri language. First we compare performance between the state-of-the-art learning models namely RNN, LSTM and Bi-LSTM using seq2seq auto-encoder [1], and dictionary-based models. From various experimental observations, BiLSTM is found to be outperforming its counterparts. Further, we compare the performances of different transliteration methods over phoneme-based …",4,"Transliteration of english loanwords and named-entities to manipuri: Phoneme vs grapheme representation
L Laitonjam, LG Singh, SR Singh - 2018 International Conference on Asian Language …, 2018
Cited by 4 Related articles","{'2021': 1, '2022': 1, '2023': 2}",255-260,,2018 International Conference on Asian Language Processing (IALP),,,,,,
Exploiting reciprocity toward link prediction,"Niladri Sett, Sanasam Ranbir Singh, Sukumar Nandi",2018/4,Knowledge and Information Systems,55.0,,Springer London,"This paper addresses link prediction problem in directed networks by exploiting reciprocative nature of human relationships. It first proposes a null model to present evidence that reciprocal links influence the process of “triad formation”. Motivated by this, reciprocal links are exploited to enhance link prediction performance in three ways: (a) a reciprocity-aware link weighting technique is proposed, and existing weighted link prediction methods are applied over the resultant weighted network; (b) new link prediction methods are proposed, which exploit reciprocity; and (c) existing and proposed methods are combined toward supervised prediction to enhance the prediction performance further. All experiments are carried out on two real directed network datasets.",6,"Exploiting reciprocity toward link prediction
N Sett, SR Singh, S Nandi - Knowledge and Information Systems, 2018
Cited by 6 Related articles All 4 versions","{'2020': 3, '2021': 3}",1-13,,,,,,,,
Temporal link prediction in multi-relational network,"Niladri Sett, Saptarshi Basu, Sukumar Nandi, Sanasam Ranbir Singh",2018/3,World Wide Web,21.0,,Springer US,"Link prediction problem in complex networks has received substantial amount of attention in the field of social network analysis. Though initial studies consider only static snapshot of a network, importance of temporal dimension has been observed and cultivated subsequently. In recent times, multi-domain relationships between node-pairs embedded in real networks have been exploited to boost link prediction performance. In this paper, we combine multi-domain topological features as well as temporal dimension, and propose a robust and efficient feature set called TMLP (Time-aware Multi-relational Link Prediction) for link prediction in dynamic heterogeneous networks. It combines dynamics of graph topology and history of interactions at dyadic level, and exploits time-series model in the feature extraction process. Several experiments on two networks prepared from DBLP bibliographic dataset show …",24,"Temporal link prediction in multi-relational network
N Sett, S Basu, S Nandi, SR Singh - World Wide Web, 2018
Cited by 24 Related articles All 3 versions","{'2018': 3, '2019': 5, '2020': 5, '2021': 3, '2022': 6, '2023': 2}",395-419,,,,,,,,
Mining heterogeneous terrorist attack network using personalized PageRank,"Akash Anil, Sanasam Ranbir Singh, Ranjan Sarmah",2018/1/1,Web Intelligence,16.0,1,IOS Press,"Majority of the studies on counter-terrorism using social network analysis consider homogeneous networks built over either terrorists or terrorist organizations. However, terrorist attacks are often defined using heterogeneous attributes such as location, time, target type, organization, etc. This paper constructs a heterogeneous terrorist attack network considering heterogeneous attributes and captures heterogeneous influences propagated from different attributes using Personalized PageRank. Personalized PageRank is a flexible model capable of propagating supervised information while traversing over a network using different personalized parameters. This study investigates effects of various parametric setups to study influence of various factors such as news media discussions, historical activities, temporal behavior etc., on one of the important counter-terrorism problems; prediction of future attacks of a terrorist …",1,"Mining heterogeneous terrorist attack network using personalized PageRank
A Anil, SR Singh, R Sarmah - Web Intelligence, 2018
Cited by 1 Related articles",{'2020': 1},37-52,,,,,,,,
Tillage and nutrient management modules for increased growth and productivity of wheat (Triticum aestivum L.),"Ankush Singh, SV Singh, Sumit Chaturvedi, R Singh, AP Singh, VC Dhyani, DK Singh",2018,Journal of Pharmacognosy and Phytochemistry,7.0,1S,AkiNik Publications,"The field experiment was conducted to evaluate the effect of tillage (conventional and conservation) and nutrient management practices on growth and yield of wheat crop during Rabi season of 2013-13 at Norman E. Borlaug Crop Research Centre, G.B. Pant University of Agriculture & technology, Pantnagar (Uttarakhand). Experiment was laid out in randomized block design with three replications and six treatments based on tillage (conventional and conservation) and nutrient management practice viz., T1: Conventional tillage + RDF; T2: Conventional tillage + RDF + green manuring (before rice); T3: Conventional tillage + RDF + 10 % extra N; T4: Zero tillage + RDF; T5: Zero tillage + RDF + 10% extra N and T6: Zero tillage + RDF + 10 % extra N + 2 t FYM. Results apparently indicated that the Zero tillage with RDF + 30 % residue retention and 2 t FYM application proves better with respect to growth and yield of wheat as compared to the conventional tillage practices combining with RDF",0,"Tillage and nutrient management modules for increased growth and productivity of wheat (Triticum aestivum L.)
A Singh, SV Singh, S Chaturvedi, R Singh, AP Singh… - Journal of Pharmacognosy and Phytochemistry, 2018
Related articles All 4 versions",{},1735-1738,,,,,,,,
Lethal Air Embolism during Javelin Removal from Skull of a Young Boy,"Neelakshi Sarma, Sanasam Ranbir Singh, Diganta Goswami",,,,,,"Identifying languages at the word level is imperative for processing useful information from code-mixed social media text. Most existing studies in word level language identification are not suitable for low resource languages due to the unavailability of required resources like dictionaries, annotated resources, parsers, taggers etc. This paper aims to address the problem of word level language identification for low resource languages in a highly multilingual environment. Different word level language identification strategies are proposed and their performances are evaluated over a corpus of code-mixed transliterated text consisting of four languages-Assamese, Bengali, Hindi and English. From the experimental observations, it is evident that the proposed framework can effectively handle out-of-vocabulary and shared vocabulary problem which are major challenges for language identification over social media text in a multilingual environment. The proposed framework also uses minimal resources making it suitable for low resource languages.",0,"Identifying Languages at the Word Level in Assamese-Bengali-Hindi-English Code-Mixed Social Media Text
N Sarma, SR Singh, D Goswami
Related articles All 2 versions",{},,,,,,,,,
Gene action and combining ability analyses to develop NPT based rice hybrids in Chhattisgarh plains,"Rajlakshmi Saikia, Sanasam Ranbir Singh, Priyankoo Sarmah",,,,,,"Automatic spoken language identification systems are usually built by extracting suitable acoustic features from speech samples, and in some cases by building a language dependent speech-to-text. Acoustic features are highly vulnerable to recording environments and recording channels, often affecting performance. On the other hand, building language dependent speech-to-text synthesizer is a resource intensive and expensive task. Instead of using language dependent speech-to-text transcribers for language identification, this paper investigates the efficacy of using language independent speech-to-text transcribers (trained on languages different from the target languages) in automatic language identification for various Indian languages (namely Assamese, Bengali, Hindi, Gujarati, Manipuri, Mizo, Tamil and Telegu) deploying various text classification methods. It further compares the performances obtained over text generated by language independent transcribers with that of the classifiers built using audio features and manually transcribed text. From various experimental setups over speech samples recorded under controlled (studio recorded) and uncontrolled environment (outdoor recording), it is evident that transcription text using language independent transcriber can effectively be used for spoken language identification tasks..",0,"Effectiveness of using language independent transcribers for spoken language identification for different Indian languages
R Saikia, SR Singh, P Sarmah
Related articles All 2 versions",{},,,,,,,,,
Tree Formation Using Coordinate Method,"SR Singh, Saba Qari, Nusrat Jaan, KK Srivastava",,Indian Horticulture,56.0,2,,,0,"Globe artichoke–a nutritious vegetable for health and delicacy
SR Singh, S Qari, N Jaan, KK Srivastava - Indian Horticulture",{},,,,,,,,,
Absence of CD 9 expression in acute myeloid leukemia: possible correlation with t (8; 21),"S Singh, Amit Bhattacharya",,,,,,"The pore conformation of polymeric membranes can be significantly altered upon interaction of the membranes with organic solvents affecting the performances of the membranes. Polymer shows swelling properties to organic solvents. Here, we show that swelling properties of polysulfone ultrafiltration membrane can be significantly altered by hexane treatment resulting in a change in the pure water permeability, macromolecule separation, and porosity. The water permeability of the membranes decreased with the dipping time in hexane. It showed that the rate of decrement in water permeability was about ten times for PS-24 (prepared from 24%, w/w solution in DMF) compared to PS-15 (prepared from 15%, w/w solution in DMF) while the% solute (macromolecule) rejection was decreased by about 11–17% for the membranes. The SEM and AFM techniques also revealed the porosity changes as evident from surface microstructure morphology. Our results represent a method for tuning membrane properties without the synthetic efforts.",0,"Mayank Saxena, Paramita Ray, Puyam
S Singh, A Bhattacharya
Related articles All 2 versions",{},,,,,,,,,
