Titles,DOIs
Graph-Based Depth Estimation in a Monocular Image Using Constrained 3D Wireframe Models,DOI:10.1007/s11042-021-10910-3
A framework for continuous fingerspelling spotting for H.264/AVC compressed videos using spatio-temporal Markov random field,DOI:10.1109/TIM.2021.3082315
Detection of Polyps in Colonoscopic Videos Using Saliency Map-Based Modified Particle Filter,DOI:10.1109/INCET51464.2021.9456317
Video searching and retrieval using scene classification in multimedia databases,DOI:10.1109/ACCESS.2021.3092263
Colonoscopic polyp classification using local shape and texture features,DOI:10.1007/s00371-019-01788-2
Multi-level uncorrelated discriminative shared Gaussian process for multi-view facial expression recognition,DOI:10.1007/s42979-021-00827-x
"Methods, Databases and Recent Advancement of Vision-Based Hand Gesture Recognition for HCI Systems: A Review",DOI:10.1109/INDICON52576.2021.9691577
A Non-Fiducial Noise Robust VMD-based Framework for ECG-based Biometric Recognition,DOI:10.1109/TENCON54134.2021.9707451
Recognition of isolated characters across different input interfaces using 2D DCNN,DOI:10.1109/ACCESS.2021.3126835
Extraction of key-frames from endoscopic videos by using depth information,DOI:10.1007/s11042-021-10728-z
Skin detection in video under uncontrolled illumination,DOI:10.1109/TIM.2020.3007295
Delineation and Analysis of Seismocardiographic Systole and Diastole Profiles,DOI:10.1007/s42979-021-00544-5
An Adaptive Thresholding-Based Movement Epenthesis Detection Technique Using Hybrid Feature Set for Continuous Fingerspelling Recognition,DOI:10.1109/TIM.2021.3115203
Vibrocarotidography: A Novel Measurement Technique to Quantify Pulsations at Common Carotid Arteries,DOI:10.1007/s11042-021-11490-y
Unsupervised story segmentation and indexing of broadcast news video,DOI:10.1109/JSEN.2020.3025384
Identification of Human Breathing-States Using Cardiac-Vibrational Signal for m-Health Applications,DOI:10.1109/TIM.2021.3122182
Noninvasive Accelerometric Approach for Cuffless Continuous Blood Pressure Measurement,DOI:10.1016/j.procs.2021.09.004
Automatic generation of polyp image using depth map for endoscope dataset,DOI:10.1038/s41598-021-83788-8
Computational learning of features for automated colonic polyp classification,DOI:10.1049/ipr2.12095
"Segregation of meaningful strokes, a pre-requisite for self co-articulation removal in isolated dynamic gestures",DOI:10.1109/FG52635.2021.9667034
Contextual Emotion Learning Challenge,DOI:10.1109/IIAI-AAI50415.2020.00100
Detection of Lymph Nodes using CNN from Contrast-Enhanced CT Images,DOI:10.1109/IIAI-AAI50415.2020.00099
Detection of Cell Nuclei using LadderNet,DOI:10.1109/IIAI-AAI50415.2020.00098
Pore Detection from Human Skin Image using U-Net,DOI:10.1109/NCC48643.2020.9055990
Semantic segmentation based hand gesture recognition using deep neural networks,DOI:10.1109/JSEN.2019.2944235
A Novel Method for Aortic Valve Opening Phase Detection Using SCG Signal,DOI:10.1007/s11042-020-09124-w
Image mosaicking using improved auto-sorting algorithm and local difference-based harris features,DOI:10.1007/s11042-020-08762-4
Image specific discriminative feature extraction for skin segmentation,DOI:10.1007/978-981-32-9291-8_9
Zernike Moment and Mutual Information Based Methods for Multimodal Image Registration,DOI:10.1007/978-3-030-25213-7_13
Mediastinal lymph node detection using deep learning,DOI:10.1109/ASPCON49795.2020.9276725
Interdependent multi-task learning for simultaneous segmentation and detection,DOI:10.1109/ASPCON49795.2020.9276732
Classification of cell nuclei using CNN features,DOI:10.1109/ASPCON49795.2020.9276713
Occlusion Robust Object Tracking with Modified Particle Filter Framework,DOI:10.1109/ASPCON49795.2020.9276714
Improved Endoscopic Polyp Classification using GAN Generated Synthetic Data Augmentation,DOI:10.1109/ASPCON49795.2020.9276654
Hand Gesture Localization and Classification by Deep Neural Network for Online Text Entry,DOI:10.1109/WiSPNET48689.2020.9198521
Deep Network-based Hand Gesture Recognition using Optical Flow guided Trajectory Images,DOI:10.1109/WiSPNET48689.2020.9198533
Optical Flow guided Motion Template for Hand Gesture Recognition,DOI:10.1109/ComPE49325.2020.9200047
Low Cost Data Glove for Hand Gesture Recognition by Finger Bend Measurement,DOI:10.1109/ASPCON49795.2020.9276664
A Novel Global Motion Estimation and Compensation Framework in Compressed Domain for Sign Language Videos,DOI:10.1016/j.procs.2020.09.325
