Title,Authors,Publication date,Journal,Volume,Issue,Publisher,Description,Total citations,Scholar articles,Citation Count,Pages,Conference
Correction to: Asymptotic Properties of Least Squares Estimators and Sequential Least Squares Estimators of a Chirp-like Signal Model Parameters,"Rhythm Grover, Debasis Kundu, Amit Mitra",2021/11,"Circuits, Systems, and Signal Processing",40,,Springer US,"In this article, the captions to Figs. 16, 17 and 18 were inadvertently swapped. The corrected captions are: Fig. 16,‘Speech Signal data sets:“EEE” and “UUU”; Observed data (red solid line) and fitted signal (blue dashed line). The sub-plots on the left represent chirp model fitting and those on the right represent chirp-like model fitting’, Fig. 17,‘Simulated data’and Fig. 18,‘Simulated data signal along with estimated signal using chirp model’. Also, Fig. 19 was missing from this article; the figure should have appeared as shown below.",0,"Correction to: Asymptotic Properties of Least Squares Estimators and Sequential Least Squares Estimators of a Chirp-like Signal Model Parameters
R Grover, D Kundu, A Mitra - Circuits, Systems, and Signal Processing, 2021
All 2 versions",{},5466-5467,
Asymptotic properties of least squares estimators and sequential least squares estimators of a chirp-like signal model parameters,"Rhythm Grover, Debasis Kundu, Amit Mitra",2021/11,"Circuits, Systems, and Signal Processing",40,11,Springer US,"Sinusoidal model and chirp model are the two fundamental models in digital signal processing. Recently, a chirp-like model was introduced by Grover et al. (International conference on computing, power and communication technologies, IEEE, pp. 1095–1100, 2018). A chirp-like model is a generalization of a sinusoidal model and provides an alternative to a chirp model. We derive, in this paper, the asymptotic properties of least squares estimators and sequential least squares estimators of the parameters of a chirp-like signal model. It is observed theoretically as well as through extensive numerical computations that the sequential least squares estimators perform at par with the usual least squares estimators. The computational complexity involved in the sequential algorithm is significantly lower than that involved in calculating the least squares estimators. This is achieved by exploiting the orthogonality structure …",3,"Asymptotic properties of least squares estimators and sequential least squares estimators of a chirp-like signal model parameters
R Grover, D Kundu, A Mitra - Circuits, Systems, and Signal Processing, 2021
Cited by 3 Related articles All 4 versions","{'2022': 1, '2023': 2}",5421-5465,
On a chirp-like model and its parameter estimation using periodogram-type estimators,"Debasis Kundu, Rhythm Grover",2021/6,Journal of Statistical Theory and Practice,15,,Springer International Publishing,"Parametric modelling of physical phenomena has received a great deal of attention in the signal processing literature. Different models like ARMA models, sinusoidal models, harmonic models, models with amplitude modulation, models with frequency modulation and their different versions and combinations have been used to describe natural and synthetic signals in a wide range of applications. Two of the classical models that were considered by Professor C. R. Rao were one-dimensional superimposed exponential model and two-dimensional superimposed exponential model. In this paper, we consider parameter estimation of a newly introduced but related model, called a chirp-like model. This model was devised as an alternative to the more popular chirp model. A chirp-like model overcomes the problem of computational difficulty involved in fitting a chirp model to data to a large extent and at the …",4,"On a chirp-like model and its parameter estimation using periodogram-type estimators
D Kundu, R Grover - Journal of Statistical Theory and Practice, 2021
Cited by 4 Related articles All 3 versions","{'2022': 2, '2023': 2}",1-26,
Estimation of Parameters of a Harmonic Chirp Model,"Rhythm Grover, Debasis Kundu, Amit Mitra",2021,IET Signal Processing,,,Wiley,"Here, we address the problem of estimation of the parameters of a harmonic chirp model, often encountered in speech and music applications. This model was introduced recently by Christensen and Jensen [1] as an extension of a standard harmonic model. We propose two methods of estimation: the least squares estimation method and the approximate least squares estimation method. We establish the asymptotic properties of the least squares estimators as well as the approximate least squares estimators of the parameters of this model under the assumption of stationary errors. These asymptotic properties are proved analytically as well as corroborated through simulation experiments. We present two speech signal data sets and their analysis using both the estimation methods. The results show that the proposed methods perform reasonably well for estimating the unknown model parameters.",0,"Estimation of parameters of a harmonic chirp model
R Grover, D Kundu, A Mitra - IET Signal Processing, 2021
Related articles All 5 versions",{},,
An efficient methodology to estimate the parameters of a two-dimensional chirp signal model,"Rhythm Grover, Debasis Kundu, Amit Mitra",2020/5/8,Multidimensional systems and signal processing,,,Springer,"In various capacities of statistical signal processing two-dimensional (2-D) chirp models have been considered significantly, particularly in image processing—to model gray-scale and texture images, magnetic resonance imaging, optical imaging etc. In this paper we address the problem of estimation of the unknown parameters of a 2-D chirp model under the assumption that the errors are independently and identically distributed (i.i.d.). The key attribute of the proposed estimation procedure is that it is computationally more efficient than the least squares estimation method. Moreover, the proposed estimators are observed to have the same asymptotic properties as the least squares estimators, thus providing computational effectiveness without any compromise on the efficiency of the estimators. We extend the propounded estimation method to provide a sequential procedure to estimate the unknown …",5,"An efficient methodology to estimate the parameters of a two-dimensional chirp signal model
R Grover, D Kundu, A Mitra - Multidimensional Systems and Signal Processing, 2021
Cited by 5 Related articles All 7 versions","{'2020': 1, '2021': 1, '2022': 2, '2023': 1}",,
Approximate least squares estimators of a two-dimensional chirp model and their asymptotic properties,"Rhythm Grover, Debasis Kundu, Amit Mitra",2018/11/1,Journal of Multivariate Analysis,168,,Academic Press,"In this paper, we address the problem of parameter estimation of a two-dimensional (2D) chirp model under the assumption that the errors are stationary. We define a periodogram-type function, which is based on the extension of the 2D periodogram function, defined for a 2D sinusoidal model, to the 2D chirp model. We put forward an alternative to the least squares estimators (LSEs), called the approximate least squares estimators (ALSEs). The proposed estimators take less time to compute and at the same time, they are asymptotically equivalent to the LSEs. Moreover the asymptotic properties of these estimators are obtained under slightly weaker assumptions than those required for the LSEs. Finally, we propose a sequential method for the estimation of the unknown parameters of a multiple component 2D chirp model. This method significantly reduces the computational difficulty involved in finding the usual …",9,"Approximate least squares estimators of a two-dimensional chirp model and their asymptotic properties
R Grover, D Kundu, A Mitra - Journal of Multivariate Analysis, 2018
Cited by 5 Related articles All 4 versions
Asymptotic of Approximate Least Squares Estimators of Parameters Two-Dimensional Chirp Signal*
R Grover, D Kundu, A Mitra - arXiv preprint arXiv:1807.09267, 2018
Cited by 4 Related articles All 4 versions","{'2020': 2, '2021': 3, '2022': 3, '2023': 1}",211-220,
Chirp-like model and its parameters estimation,"Rhythm Grover, Debasis Kundu, Amit Mitra",2018/9/28,,,,IEEE,"We propose a chirp-like signal model as an alternative to a chirp model and a generalisation of the sinusoidal model, which is a fundamental model in statistical signal processing literature. It is observed that the proposed model can be arbitrarily close to the chirp model. The propounded model is similar to a chirp model in the sense that here the frequency changes linearly with time. However, the parameter estimation of a chirp-like model is simpler compared to a chirp model. In this paper, we consider two types of estimation methods, the least squares estimation and the sequential least squares estimation procedures and study the asymptotic properties of the obtained estimators. These asymptotic results are corroborated through simulation studies and analysis of two speech signal data sets.",3,"Chirp-like model and its parameters estimation
R Grover, D Kundu, A Mitra - 2018 International Conference on Computing, Power …, 2018
Cited by 3 Related articles All 4 versions","{'2020': 2, '2021': 1}",1095-1100,"2018 International Conference on Computing, Power and Communication Technologies (GUCON)"
On approximate least squares estimators of parameters of one-dimensional chirp signal,"Rhythm Grover, Debasis Kundu, Amit Mitra",2018/9/3,Statistics,52,5,Taylor & Francis,"Chirp signals are quite common in many natural and man-made systems such as audio signals, sonar, and radar. Estimation of the unknown parameters of a signal is a fundamental problem in statistical signal processing. Recently, Kundu and Nandi [Parameter estimation of chirp signals in presence of stationary noise. Stat Sin. 2008;75:187–201] studied the asymptotic properties of least squares estimators (LSEs) of the unknown parameters of a simple chirp signal model under the assumption of stationary noise. In this paper, we propose periodogram-type estimators called the approximate least squares estimators (ALSEs) to estimate the unknown parameters and study the asymptotic properties of these estimators under the same error assumptions. It is observed that the ALSEs are strongly consistent and asymptotically equivalent to the LSEs. Similar to the periodogram estimators, these estimators can also be …",16,"On approximate least squares estimators of parameters of one-dimensional chirp signal
R Grover, D Kundu, A Mitra - Statistics, 2018
Cited by 16 Related articles All 7 versions","{'2018': 2, '2019': 1, '2020': 5, '2021': 4, '2022': 3, '2023': 1}",1060-1085,
Robust Estimators of Two-Dimensional Sinusoidal Model Parameters,"Debasis Kundu, Rhythm Grover",,Available at SSRN 4290828,,,,"In this manuscript, we consider a two-dimensional (2-D) sinusoidal model. This particular model has several applications in statistical signal processing and texture analysis. Extensive work has been done in developing several efficient procedures and establishing their properties. The least squares estimators (LSEs) are known to be the most efficient estimators in presence of additive noise. But it is observed that the accuracy of the LSEs is easily affected by even small perturbations in the data. In this manuscript, we propose to use the weighted least squares estimators (WLSEs) of the parameters that are unknown in presence of additive white noise. It is observed that the WLSEs are more robust towards outliers than the LSEs. Moreover, the WLSEs behave in the same manner as one of the most well-known robust estimators, the least absolute deviation estimators (LADEs). It is observed that developing the properties of the LADEs is not straightforward. Here, we derive the asymptotic properties such as consistency and asymptotic normality of the proposed WLSEs. Extensive simulations have been performed to show the effectiveness of this method. One synthetic data set has been analyzed to illustrate how the proposed method can be used in practice.",0,"Robust Estimators of Two-Dimensional Sinusoidal Model Parameters
D Kundu, R Grover - Available at SSRN 4290828
Related articles",{},,
A Review on Chirp and Some Other Related Signal Processing Models,"Debasis Kundu, Rhythm Grover, Swagata Nandi",,,,,,"Analyzing periodic or nearly periodic signals is a fundamental problem in Signal Processing. If the signal is periodic, then the sum of sinusoidal model has been used quite extensively to analyze the signal. But if the signal is nearly periodic, then sinusoidal model may not be very effective. Different alternative models have been proposed in the Signal Processing literature to analyze nearly periodic signal. The Chirp model is one such model which has been used quite effectively to analyze nearly periodic signal. The Chirp model has received a considerable amount of attention in the Signal Processing literature and an extensive amount of work has been published in this topic during the last three decades. The main aim of this chapter is to provide a comprehensive review of chirp and various related models which are available in the literature and which have been used to analyze periodic and nearly periodic data both in one and two dimensions. We would like to provide some new results and several open problems for future research.",0,"A Review on Chirp and Some Other Related Signal Processing Models
D Kundu, R Grover, S Nandi
Related articles All 2 versions",{},,
