Title,Authors,Publication date,Journal,Volume,Issue,Publisher,Description,Total citations,Scholar articles,Citation Count,Pages,Source,Inventors,Patent office,Application number
Recombinant receptor-binding domain of diphtheria toxin increases the potency of curcumin by enhancing cellular uptake,"Ashok Kumar, Gopal Das, Biplab Bose",2014/1/6,Molecular Pharmaceutics,11,1,American Chemical Society,"Diphtheria toxin (DT) binds to a specific cell surface receptor, gets internalized, and causes cytotoxicity through its catalytic domain. The toxicity of DT is used in several therapeutic molecules. Here, we have exploited the receptor-binding ability of DT to increase cellular uptake of curcumin, a hydrophobic molecule with low bioavailability and cellular uptake. We have expressed only the receptor-binding domain of DT (RDT) in Escherichia coli. Purified RDT binds to the receptor with an affinity equivalent to that of full-length DT. It also binds to curcumin forming a curcumin–RDT complex, and this increases the fluorescence intensity and fluorescence lifetime of curcumin. The curcumin–RDT complex binds to the receptor and associates with human glioblastoma cells (U-87 MG) expressing the receptor. The cellular uptake of curcumin is higher for the curcumin–RDT complex than curcumin alone. This increase in uptake …",7,"Recombinant receptor-binding domain of diphtheria toxin increases the potency of curcumin by enhancing cellular uptake
A Kumar, G Das, B Bose - Molecular Pharmaceutics, 2014
Cited by 7 Related articles All 3 versions",{},208-217,,,,
Systems biology: a biologist's viewpoint,Biplab Bose,2013/12/1,,113,3,Pergamon,"The debate over reductionism and antireductionism in biology is very old. Even the systems approach in biology is more than five decades old. However, mainstream biology, particularly experimental biology, has broadly sidestepped those debates and ideas. Post-genome data explosion and development of high-throughput techniques led to resurfacing of those ideas and debates as a new incarnation called Systems Biology. Though experimental biologists have co-opted systems biology and hailed it as a paradigm shift, it is practiced in different shades and understood with divergent meanings. Biology has certain questions linked with organization of multiple components and processes. Often such questions involve multilevel systems. Here in this essay we argue that systems theory provides required framework and abstractions to explore those questions. We argue that systems biology should follow the logical …",26,"Systems biology: a biologist's viewpoint
B Bose - Progress in biophysics and molecular biology, 2013
Cited by 26 Related articles All 4 versions","{'2014': 6, '2015': 7, '2016': 2, '2017': 2, '2018': 2, '2019': 3, '2020': 3, '2021': 1}",358-368,Progress in biophysics and molecular biology,,,
Human recombinant Cripto-1 increases doubling time and reduces proliferation of HeLa cells independent of pro-proliferation pathways,"Asim Bikas Das, Pojul Loying, Biplab Bose",2012/5/28,Cancer letters,318,2,Elsevier,"Human oncofetal protein Cripto-1 (CR-1) is overexpressed in many types of cancers. CR-1 binds to cell surface Glypican-1 to activate Erk1/2 MAPK and Akt pathways leading to cell proliferation. However, we show that treatment with recombinant CR-1 reduces proliferation of HeLa cells by increasing the doubling time without triggering cell death or cell cycle arrest. Using a comparative study with U-87 MG cells, we show that the pro-proliferative pathway of CR-1 is not effective in HeLa cells due to lower expression of Glypican-1. Further we show that treatment with recombinant CR-1 increases PTEN in HeLa cells leading to downregulation of PI3K/Akt pathway. The anti-proliferative effect gets potentiated when the pro-proliferative pathway is blocked.",19,"Human recombinant Cripto-1 increases doubling time and reduces proliferation of HeLa cells independent of pro-proliferation pathways
AB Das, P Loying, B Bose - Cancer letters, 2012
Cited by 19 Related articles All 6 versions",{},189-198,,,,
Recombinant Mouse-Human Chimeric Fab Against Hepatitis B Surface Antigen,,2010/6/10,,,,,"The invention relates to a recombinant chimeric Fab antibody comprising a recombinant Fd and a recombinant chimeric light chain which binds to hepatitis B surface antigen with high affinity, generated by fusing variable region genes (V H and V L) of an anti-HBsAg mouse antibody 5S and constant region genes of human, CH1 region of human IgGI and the CL region of human kappa chain, wherein mouse V L and human CL are linked by overlap PCR to generate chimeric light chain and mouse V H and CH 1 are linked by overlap PCR to generate chimeric Fd.",0,"Recombinant Mouse-Human Chimeric Fab Against Hepatitis B Surface Antigen
B Bose, S Sinha, N Khanna, SK Acharya - US Patent App. 12/519,898, 2010
All 2 versions",{},,,"Biplab Bose, Subrata Sinha, Navin Khanna, Subrat Kumar Acharya",US,12519898
Generation and characterization of a single‐gene mouse–human chimeric antibody against hepatitis B surface antigen,"Biplab Bose, Navin Khanna, Subrat K Acharya, Subrata Sinha",2006/9,Journal of gastroenterology and hepatology,21,9,Blackwell Publishing Asia,"Background:  Antibody against hepatitis B surface antigen (HBsAg) is used for passive immunotherapy in certain cases of hepatitis B infection. The authors have earlier reported a high‐affinity mouse monoclonal (5S) against HBsAg. However, this mouse antibody cannot be used for therapeutic purposes because it may elicit antimouse immune responses. Chimerization by replacing mouse constant domains with human ones can reduce the immunogenicity of this antibody.
Methods:  A single‐chain variable fragment (scFv), derived from the mouse monoclonal 5S, was fused with the fragment crystallisable (Fc) fragment of human IgG1. The scFv region is expected to bind to the antigen, whereas the Fc fragment can provide the effector functions required for virus neutralization. This chimeric molecule was expressed in Chinese hamster ovary (CHO) cells in serum‐free medium. It was purified by affinity …",4,"Generation and characterization of a single‐gene mouse–human chimeric antibody against hepatitis B surface antigen
B Bose, N Khanna, SK Acharya, S Sinha - Journal of gastroenterology and hepatology, 2006
Cited by 4 Related articles All 8 versions",{},1439-1447,,,,
Generation and characterization of a high‐affinity chimaeric antibody against hepatitis B surface antigen,"Biplab Bose, Navin Khanna, Subrat K Acharya, Subrata Sinha",2006/2,Biotechnology and applied biochemistry,43,2,Blackwell Publishing Ltd,"Antibody against HBsAg (hepatitis B surface antigen) is advocated for the passive immunotherapy in certain cases of hepatitis B infections. A recombinant monoclonal antibody against HBsAg would offer several advantages over the currently used polyclonal human hepatitis B immunoglobulin. 5S is a mouse monoclonal antibody that binds to HBsAg with very high affinity. However, this mouse antibody cannot be used for therapeutic purposes, as it may elicit antimouse immune responses. Chimaerization, by replacing mouse constant domains with human counterparts, can reduce the immunogenicity of this molecule. We have cloned the VH (heavy‐chain variable region) and VL (light‐chain variable region) genes of this mouse antibody, and fused them with CH1 (heavy‐chain constant domain 1) of human IgG1 and CL (light‐chain constant domain) of human kappa chain respectively. These chimaeric genes were …",2,"Generation and characterization of a high‐affinity chimaeric antibody against hepatitis B surface antigen
B Bose, N Khanna, SK Acharya, S Sinha - Biotechnology and applied biochemistry, 2006
Cited by 2 Related articles All 6 versions",{},93-101,,,,
35. Molecular Modeling and Sequence Analysis of an Antibody: Understanding somatic mutations,"Biplab Bose, SK Acharya, Navin Khanna, Subrata Sinha",2006,,,,,Clustering of somatic replacement mutations in the hypervariable complementarity determining regions (CDRs) is widely considered as a signature of antigen driven affinity maturation of an antibody. Sequence analysis of variable regions of an affinity matured anti-HBs mouse monoclonal showed that the observed pattern of replacement mutations in this antibody is not significantly biased for CDR regions. We theoretically analysed the inherent mutational propensity of the germline genes of this antibody and used molecular models to explain the observed pattern of mutations. Such analysis clearly indicates that distribution of somatic mutations in a mature antibody is a result of the inherent differential mutability of different regions of antibody genes and the antigenic selection pressure (both negative and positive).,0,"35. Molecular Modeling and Sequence Analysis of an Antibody: Understanding somatic mutations
B Bose, SK Acharya, N Khanna, S Sinha - 2006
Related articles",{},,,,,
High affinity mouse-human chimeric Fab against Hepatitis B surface antigen,"Biplab Bose, Navin Khanna, Subrat K Acharya, Subrata Sinha",2005/12/12,World Journal of Gastroenterology,11,48,Baishideng Publishing Group Inc,"AIM: Passive immunotherapy using antibody against hepatitis B surface antigen (HBsAg) has been advocated in certain cases of Hepatitis B infection. We had earlier reported on the cloning and expression of a high affinity scFv derived from a mouse monoclonal (5S) against HBsAg. However this mouse antibody cannot be used for therapeutic purposes as it may elicit anti-mouse immune responses. Chimerization by replacing mouse constant domains with human ones can reduce the immunogenicity of this antibody.
METHODS: We cloned the V H and V L genes of this mouse antibody, and fused them with CH1 domain of human IgG1 and C L domain of human kappa chain respectively. These chimeric genes were cloned into a phagemid vector. After initial screening using the phage display system, the chimeric Fab was expressed in soluble form in E. coli.
RESULTS: The chimeric Fab was purified from the …",7,"High affinity mouse-human chimeric Fab against Hepatitis B surface antigen
B Bose, N Khanna, SK Acharya, S Sinha - World Journal of Gastroenterology, 2005
Cited by 7 Related articles All 14 versions",{},7569,,,,
Problems in using statistical analysis of replacement and silent mutations in antibody genes for determining antigen‐driven affinity selection,"Biplab Bose, Subrata Sinha",2005/10,Immunology,116,2,Blackwell Science Ltd,"The analysis of molecular signatures of antigen‐driven affinity selection of B cells is of immense use in studies on normal and abnormal B cell development. Most of the published literature compares the expected and observed frequencies of replacement (R) and silent (S) mutations in the complementarity‐determining regions (CDRs) and the framework regions (FRs) of antibody genes to identify the signature of antigenic selection. The basic assumption of this statistical method is that antigenic selection creates a bias for R mutations in the CDRs and for S mutations in the FRs. However, it has been argued that the differences in intrinsic mutability among different regions of an antibody gene can generate a statistically significant bias even in the absence of any antigenic selection. We have modified the existing statistical method to include the effects of intrinsic mutability of different regions of an antibody gene. We …",62,"Problems in using statistical analysis of replacement and silent mutations in antibody genes for determining antigen‐driven affinity selection
B Bose, S Sinha - Immunology, 2005
Cited by 62 Related articles All 7 versions","{'2008': 4, '2009': 2, '2010': 4, '2011': 2, '2012': 6, '2013': 5, '2014': 10, '2015': 5, '2016': 7, '2017': 3, '2018': 4, '2019': 2, '2020': 4, '2021': 1, '2022': 1, '2023': 1}",172-183,,,,
Characterization and molecular modeling of a highly stable anti-Hepatitis B surface antigen scFv,"Biplab Bose, Dipti A Chugh, Mrinalini Kala, Subrat K Acharya, Navin Khanna, Subrata Sinha",2003/12/1,Molecular immunology,40,9,Pergamon,"We raised a mouse monoclonal antibody (5S) against the ‘a’ epitope of the Hepatitis B surface antigen (HBsAg) by selecting for binding of the hybridoma supernatant in conditions that usually destabilize protein–protein interactions. This antibody, which was protective in an in vitro assay, had a high affinity with a relative dissociation constant in the nanomolar range. It also displayed stable binding to antigen in conditions that usually destabilize antigen–antibody interactions, like 30% DMSO, 8M urea, 4M NaCl, 1M guanidium HCl and extremes of pH. The variable regions of the antibody were cloned and expressed as an single chain variable fragment (scFv) (A5). A5 had a relative affinity comparable to the mouse monoclonal and showed antigen binding in presence of 20% DMSO, 8M urea and 3M NaCl. It bound the antigen in the pH range of 6–8, though its tolerance for guanidium HCl was reduced. Sequence …",36,"Characterization and molecular modeling of a highly stable anti-Hepatitis B surface antigen scFv
B Bose, DA Chugh, M Kala, SK Acharya, N Khanna… - Molecular immunology, 2003
Cited by 36 Related articles All 8 versions",{},617-631,,,,
Supplementary data Recombinant Receptor-binding Domain of Diphtheria Toxin Increases Potency of Curcumin by Enhancing Cellular Uptake,"Ashok Kumar, Gopal Das, Biplab Bose",,,,,,"Supplementary data Page 1 SI1 Supplementary data Recombinant Receptor-binding Domain of Diphtheria Toxin Increases Potency of Curcumin by Enhancing Cellular Uptake Ashok Kumar, Gopal Das, Biplab Bose Supplementary Fig. S1. Characterization of recombinant receptor binding domain of DT (RDT) expressed in E. coli. a) RDT purified from E. coli lysate was resolved in 12% SDS-PAGE and stained by silver staining. (b) Western blot for RDT. The protein was detected by mouse anti-His antibody followed by anti-mouse HRP. Full-length mutated His-tagged DT expressed and purified in the same fashion was used as a control in the Western Blot experiment. Page 2 SI2 Supplementary Fig. S2. HB-EGF is expressed on the cell surface of U-87 MG cells. a) Reverse Transcription-PCR to check the expression of HB-EGF in U-87 MG cells. cDNA was prepared from the RNA isolated from U-87 MG cells and …",0,"Supplementary data Recombinant Receptor-binding Domain of Diphtheria Toxin Increases Potency of Curcumin by Enhancing Cellular Uptake
A Kumar, G Das, B Bose",{},,,,,
Final Draft Authors Copy,Biplab Bose,,,,,,"The debate over reductionism and antireductionism in biology is very old. Even the systems approach in biology is more than five decades old. However, mainstream biology, particularly experimental biology, has broadly sidestepped those debates and ideas. Post-genome data explosion and development of high-throughput techniques led to resurfacing of those ideas and debates as a new incarnation called Systems Biology. Though experimental biologists have co-opted systems biology and hailed it as a paradigm shift, it is practiced in different shades and understood with divergent meanings. Biology has certain questions linked with organization of multiple components and processes. Often such questions involve multilevel systems. Here in this essay we argue that systems theory provides required framework and abstractions to explore those questions. We argue that systems biology should follow the logical and mathematical approach of systems theory and transmogrification of systems biology to mere collection of higher dimensional data must be avoided. Therefore, the questions that we ask and the priority of those questions should also change. Systems biology should focus on systemlevel properties and investigate complexity without shying away from it.",0,"Final Draft Authors Copy
B Bose
Related articles",{},,,,,
