Title,Authors,Publication date,Journal,Volume,Issue,Publisher,Description,Total citations,Scholar articles,Citation Count,Book,Pages,Conference
Comparison of floating-point representations for the efficient implementation of machine learning algorithms,"Saras Mani Mishra, Ankita Tiwari, Hanumant Singh Shekhawat, Prithwijit Guha, Gaurav Trivedi, Pidanic Jan, Zdenek Nemec",2022/4/21,,,,IEEE,"Smart systems are enabled by artificial intelligence (AI), which is realized using machine learning (ML) techniques. ML algorithms are implemented in the hardware using fixed-point, integer, and floating-point representations. The performance of hardware implementation gets impacted due to very small or large values because of their limited word size. To overcome this limitation, various floating-point representations are employed, such as IEEE754, posit, bfloat16 etc. Moreover, for the efficient implementation of ML algorithms, one of the most intuitive solutions is to use a suitable number system. As we know, multiply and add (MAC), divider and square root units are the most common building blocks of various ML algorithms. Therefore, in this paper, we present a comparative study of hardware implementations of these units based on bfloat16 and posit number representations. It is observed that posit based …",2,"Comparison of floating-point representations for the efficient implementation of machine learning algorithms
SM Mishra, A Tiwari, HS Shekhawat, P Guha, G Trivedi… - 2022 32nd International Conference Radioelektronika …, 2022
Cited by 2 Related articles",{'2022': 2},,1-6,2022 32nd International Conference Radioelektronika (RADIOELEKTRONIKA)
Clean vs. overlapped speech-music detection using harmonic-percussive features and multi-task learning,"Mrinmoy Bhattacharjee, SRM Prasanna, Prithwijit Guha",2022/4/1,"IEEE/ACM Transactions on Audio, Speech, and Language Processing",31,,IEEE,"Detection of speech and music signals in isolated and overlapped conditions is an essential preprocessing step for many audio applications. Speech signals have wavy and continuous harmonics, while music signals exhibit horizontally linear and discontinuous harmonic patterns. Music signals also contain more percussive components than speech signals, manifested as vertical striations in the spectrograms. In case of speech music overlap, it might be challenging for automatic feature learning systems to extract class-specific horizontal and vertical striations from the combined spectrogram representation. A pre-processing step of separating the harmonic and percussive components before training might aid the classifier. Thus, this work proposes the use of harmonic-percussive source separation method to generate features for better detection of speech and music signals. Additionally, this work also explores the …",2,"Clean vs. overlapped speech-music detection using harmonic-percussive features and multi-task learning
M Bhattacharjee, SRM Prasanna, P Guha - IEEE/ACM Transactions on Audio, Speech, and …, 2022
Cited by 2 Related articles",{'2022': 2},,1-10,
Dual Attention and Question Categorization based Visual Question Answering,"Aakansha Mishra, Ashish Anand, Prithwijit Guha",2022/3/17,IEEE Transactions on Artificial Intelligence,,,IEEE,"Visual Question Answering (VQA) aims at predicting an answer to a natural language question associated with an image. This work focuses on two important issues pertaining to VQA, which is a complex multimodal AI task. First, the task of answer prediction in a large output answer space. Second, to obtain enriched representation through cross-modality interactions. This work aims to address these two issues by proposing a Dual Attention (DA) and Question Categorization (QC) based Visual Question Answering model (DAQC-VQA). DAQC-VQA has three main network modules. First, a novel dual attention mechanism that helps towards the objective of obtaining an enriched cross-domain representation of the two modalities. Second, a question classifier subsystem for identifying input (natural language) question category. The second module of question categorizer helps in reducing the answer search space …",1,"Dual Attention and Question Categorization based Visual Question Answering
A Mishra, A Anand, P Guha - IEEE Transactions on Artificial Intelligence, 2022
Cited by 1 Related articles All 2 versions",{'2023': 1},,,
Overlapped speech detection using phase features,"Shikha Baghel, SR Mahadeva Prasanna, Prithwijit Guha",2021/10/14,The Journal of the Acoustical Society of America,150,4,Acoustical Society of America,"Simultaneous speech of multiple speakers is known as overlapped speech, which causes problems for speech recognition and speaker diarization systems. The present work uses previously less utilized signal phase information in the task of overlapped speech detection. In this context, Instantaneous Frequency Cosine Coefficient (IFCC) and Modified Group Delay Cepstral Coefficient (MGDCC) features are explored. IFCC captures the time-varying phase characteristics, while MGDCC represents the frequency-varying information of the phase spectrum. A Convolutional Neural Network and Long Short-Term Memory (CNN-LSTM)–based classifier is used for the classification. The present work uses synthetically generated overlapped speech from the GRID corpus. The proposed method is benchmarked against three baseline approaches that use magnitude spectrum features. It is observed that the combination of …",1,"Overlapped speech detection using phase features
S Baghel, SRM Prasanna, P Guha - The Journal of the Acoustical Society of America, 2021
Cited by 1 Related articles All 4 versions",{'2022': 1},,2770-2781,
Efficient hardware implementation of decision tree training accelerator,"Rituparna Choudhury, Shaik Rafi Ahamed, Prithwijit Guha",2021/9,SN Computer Science,2,5,Springer Singapore,"In this paper, a serial architecture for acceleration and implementation of Decision Tree (DT) training algorithm has been proposed. This architecture is compatible with 32-bit integer as well as fixed-point training data. In the worst case scenario, the FPGA implementation of the proposed architecture for Two Means DT (TMDT) algorithm is proved to run at least faster than conventional C4.5 training algorithm widely used in many machine learning classifications. The proposed architecture is implemented on FPGA platform operating at maximum frequency of 62 MHz. Further, the hardware implementation is proved to run at least faster than the software implementation in worst condition. This design has been tested on five binary datasets of variable size and dimension. Thus, the proposed hardware realisation is compatible to wide range of training datasets.",2,"Efficient hardware implementation of decision tree training accelerator
R Choudhury, SR Ahamed, P Guha - SN Computer Science, 2021
Cited by 2 Related articles All 6 versions",{'2022': 2},,360,
Design of a low power bfloat16 pipelined mac unit for deep neural network applications,"Ankita Tiwari, Gaurav Trivedi, Prithwijit Guha",2021/8/23,,,,IEEE,"Evolution of artificial intelligence (AI) and advances in semiconductor technology has enabled us to design many complex systems ranging from IoT based applications to high performance compute engines. AI incorporates various application driven machine learning algorithms, in which floating point numbers are employed for the training of neural network models. However, few simpler number systems, such as fixed-point and integers, are employed in inference due to their smaller bit-width, which reduce area and power consumption at the cost of accuracy due to quantization. The usage of floating point MAC improves the accuracy, but it results in a larger area and more power consumption. In this paper, an area and power efficient pipelined Bfloat16 MAC is proposed aiming performance improvement of neural network applications. The proposed unit is able to handle overflow, underflow, and normalization …",5,"Design of a low power bfloat16 pipelined mac unit for deep neural network applications
A Tiwari, G Trivedi, P Guha - 2021 IEEE Region 10 Symposium (TENSYMP), 2021
Cited by 5 Related articles",{'2022': 5},,1-8,2021 IEEE Region 10 Symposium (TENSYMP)
FPGA Implementation of Low Complexity Hybrid Decision Tree Training Accelerator,"Rituparna Choudhury, Shaik Rafi Ahamed, Prithwijit Guha",2021/8/9,,,,IEEE,"Decision Tree (DT) algorithms perform classification of data according to decision criteria obtained during training which results in high computational complexity and latency. In this paper, a Hybrid DT (HDT) is proposed which reduces training complexity and achieves 8× speed-up as compared to conventional DT. The critical path of proposed HDT hardware enables the FPGA to operate at a maximum frequency of 125 MHz. Simulation results show that the proposed hardware achieves 1000× speed-up as compared to software-based realisation and 60× speed-up as compared to existing FPGA training accelerator.",0,"FPGA Implementation of Low Complexity Hybrid Decision Tree Training Accelerator
R Choudhury, SR Ahamed, P Guha - 2021 IEEE International Midwest Symposium on …, 2021
Related articles",{},,511-514,2021 IEEE International Midwest Symposium on Circuits and Systems (MWSCAS)
Effect of High-Energy Voiced Speech Segments and Speaker Gender on Shouted Speech Detection,"Shikha Baghel, SRM Prasanna, Prithwijit Guha",2021/7/27,,,,IEEE,"Shouted speech detection is an essential preprocessing task in many conventional speech processing systems. Mostly, shouted speech has been studied in terms of the characterization of vocal tract and excitation source features. Previous works have also established the significance of voiced segments in shouted speech detection. This work posits that a significant emphasis is given to a portion of the voiced segments during shouted speech production. These emphasized voiced regions have significant energy. This work analyzes the effect of high-energy voiced segments on shouted speech detection. Moreover, fundamental frequency is a crucial characteristic of both shouted speech and speaker gender. Authors believe that gender has a significant effect on shouted speech detection. Therefore, the present work also studies the impact of gender on the current task. The classification between normal and …",0,"Effect of High-Energy Voiced Speech Segments and Speaker Gender on Shouted Speech Detection
S Baghel, SRM Prasanna, P Guha - 2021 National Conference on Communications (NCC), 2021
Related articles",{},,1-6,2021 National Conference on Communications (NCC)
Detection of speech overlapped with low-energy music using pyknograms,"Mrinmoy Bhattacharjee, SR Mahadeva Prasanna, Prithwijit Guha",2021/7/27,,,,IEEE,"Detection of speech overlapped with music is a challenging task. This work deals with discriminating clean speech from speech overlapped with low-energy music. The overlapped signals are generated synthetically. An enhanced spectrogram representation called Pyknogram has been explored for the current task. Pyknograms have been previously used in overlapped speech detection. The classification is performed using a neural network that is designed with only convolutional layers. The performance of Pyknograms at various high SNR levels is compared with that of discrete fourier transform based spectrograms. The classification system is benchmarked on three publicly available datasets, viz., GTZAN, Scheirer-slaney and MUSAN. The Pyknogram representation with the fully convolutional classifier performs well, both individually and in combination with spectrograms.",1,"Detection of speech overlapped with low-energy music using pyknograms
M Bhattacharjee, SRM Prasanna, P Guha - 2021 National Conference on Communications (NCC), 2021
Cited by 1 Related articles",{'2022': 1},,1-6,2021 National Conference on Communications (NCC)
Training accelerator for two means decision tree,"Rituparna Choudhury, Shaik Rafi Ahamed, Prithwijit Guha",2021/5/6,IEEE Transactions on Very Large Scale Integration (VLSI) Systems,29,7,IEEE,"Decision trees (DTs) are profusely used in machine learning (ML) applications on account of their fast execution and high interpretability. As DT training is time-consuming, in this brief, we proposed a hardware training accelerator to speedup the training process. The proposed training accelerator is implemented on the field-programmable gate array (FPGA) having a maximum operating frequency of 62 MHz. The proposed architecture uses a combination of parallel execution for training time reduction and pipelined execution to minimize resource consumption. For a given design, the proposed hardware implementation is found to be at least 14× faster than the C-based software implementation. Moreover, the proposed architecture can be easily retrained for the next set of data using a single RESET signal. This on-the-go training makes the hardware versatile for any kind of application.",2,"Training accelerator for two means decision tree
R Choudhury, SR Ahamed, P Guha - IEEE Transactions on Very Large Scale Integration …, 2021
Cited by 2 Related articles All 4 versions",{'2022': 2},,1465-1469,
Siamese Fully Convolutional Tracker with Motion Correction,"Mathew Francis, Prithwijit Guha",2021/1/10,,,,IEEE,"Visual tracking algorithms use cues like appearance, structure, motion etc. for locating an object in a video. We propose an ensemble tracker with two components. First, a Siamese tracker that learns object appearance from a static image. Second, motion information obtained from consecutive frames using a flow estimation network. The motion information is used to correct the predictions obtained by the appearance based tracking component of the ensemble. Complementary nature of the two components (appearance and motion) lead to performance improvement as observed in experiments performed on VOT2018 and VOT2019 datasets.",0,"Siamese Fully Convolutional Tracker with Motion Correction
M Francis, P Guha - 2020 25th International Conference on Pattern …, 2021
Related articles All 3 versions",{},,2218-2225,2020 25th International Conference on Pattern Recognition (ICPR)
Multi-stage Attention based Visual Question Answering,"Aakansha Mishra, Ashish Anand, Prithwijit Guha",2021/1/10,,,,IEEE,"Recent developments in the field of Visual Question Answering (VQA) have witnessed promising improvements in performance through contributions in attention based networks. Most such approaches have focused on unidirectional attention that leverage over attention from textual domain (question) on visual space. These approaches mostly focused on learning high-quality attention in the visual space. In contrast, this work proposes an alternating bi-directional attention framework. First, a question to image attention helps to learn the robust visual space embedding, and second, an image to question attention helps to improve the question embedding. This attention mechanism is realized in an alternating fashion i.e. question-to-image followed by image-to-question and is repeated for maximizing performance. We believe that this process of alternating attention generation helps both the modalities and leads to …",2,"Multi-stage Attention based Visual Question Answering
A Mishra, A Anand, P Guha - 2020 25th International Conference on Pattern …, 2021
Cited by 2 Related articles All 4 versions","{'2022': 1, '2023': 1}",,9407-9414,2020 25th International Conference on Pattern Recognition (ICPR)
Automatic Detection of Shouted Speech Segments in Indian News Debates.,"Shikha Baghel, Mrinmoy Bhattacharjee, SR Mahadeva Prasanna, Prithwijit Guha",2021,,,,,"Shouted speech detection is an essential pre-processing step in conventional speech processing systems such as speech and speaker recognition, speaker diarization, and others. Excitation source plays an important role in shouted speech production. This work explores feature computed from the Integrated Linear Prediction Residual (ILPR) signal for shouted speech detection in Indian news debates. The log spectrogram of ILPR signal provides time-frequency characteristics of excitation source signal. The proposed shouted speech detection system is deep network with CNN-based autoencoder and attention-based classifier sub-modules. The Autoencoder sub-network aids the classifier in learning discriminative deep embeddings for better classification. The proposed classifier is equipped with attention mechanism and Bidirectional Gated Recurrent Units. Classification results show that the proposed system with excitation feature performs better than baseline log spectrogram computed from the pre-emphasized speech signal. A score-level fusion of the classifiers trained on the source feature and the baseline feature provides the best performance. The performance of the proposed shouted speech detection is also evaluated at various speech segment durations.",0,"Automatic Detection of Shouted Speech Segments in Indian News Debates.
S Baghel, M Bhattacharjee, SRM Prasanna, P Guha - Interspeech, 2021
Related articles All 4 versions",{},,4179-4183,Interspeech
IQ-VQA: Intelligent Visual Question Answering,"Vatsal Goel, Mohit Chandak, Ashish Anand, Prithwijit Guha",2021,,12662,,Springer International Publishing,"Despite tremendous progress in the field of Visual Question Answering, models today still tend to be inconsistent and brittle. Thus, we propose a model-independent cyclic framework which increases consistency and robustness of any VQA architecture. We train our models to answer the original question, generate an implication based on the answer and then learn to answer the generated implication correctly. As part of the cyclic framework, we propose a novel implication generator which generates implied questions from any question-answer pair. As a baseline for future works on consistency, we provide a new human-annotated VQA-Implications dataset. The dataset consists of 30k implications of 3 types - Logical Equivalence, Necessary Condition and Mutual Exclusion - made from the VQA validation dataset. We show that our framework improves consistency of VQA models by …",4,"IQ-VQA: intelligent visual question answering
V Goel, M Chandak, A Anand, P Guha - … ICPR International Workshops and Challenges: Virtual …, 2021
Cited by 4 Related articles All 5 versions","{'2021': 1, '2022': 2, '2023': 1}","ICPR International Workshops and Challenges, Proceedings Part II",357-370,
A Novel Ensemble Framework for Face Search,"Shashank Vats, Sankalp Jain, Prithwijit Guha",2021,,,,Springer International Publishing,"This paper proposes an ensemble of different state-of-art algorithms for realizing a face search system aimed at achieving higher accuracies compared to any single algorithm. This is achieved by leveraging most promising deep networks (Facenet, OpenFace, DeepFace, and VGGFace – originally trained for face recognition) and different Approximate Nearest Neighbor Search (ANNS) algorithms (Annoy and LSHash). Face images in the database are subjected to feature extraction (embeddings computed by deep networks) and indexing (in set structure for faster search) by ANNS algorithms. An input face query image is processed in the following four stages. First, the face region is detected from the query image and appropriately aligned for further processing. Second, the facial features are extracted using multiple deep networks. Third, the ANNS algorithms perform fast search by efficiently shrinking the …",0,"A Novel Ensemble Framework for Face Search
S Vats, S Jain, P Guha - … ICPR International Workshops and Challenges: Virtual …, 2021
Related articles All 2 versions",{},,514-528,"ICPR International Workshops and Challenges, Proceedings, Part V"
Facial Keypoint Sequence Generation from Audio,"Prateek Manocha, Prithwijit Guha",2020/11/2,arXiv preprint arXiv:2011.01114,,,,"Whenever we speak, our voice is accompanied by facial movements and expressions. Several recent works have shown the synthesis of highly photo-realistic videos of talking faces, but they either require a source video to drive the target face or only generate videos with a fixed head pose. This lack of facial movement is because most of these works focus on the lip movement in sync with the audio while assuming the remaining facial keypoints' fixed nature. To address this, a unique audio-keypoint dataset of over 150,000 videos at 224p and 25fps is introduced that relates the facial keypoint movement for the given audio. This dataset is then further used to train the model, Audio2Keypoint, a novel approach for synthesizing facial keypoint movement to go with the audio. Given a single image of the target person and an audio sequence (in any language), Audio2Keypoint generates a plausible keypoint movement sequence in sync with the input audio, conditioned on the input image to preserve the target person's facial characteristics. To the best of our knowledge, this is the first work that proposes an audio-keypoint dataset and learns a model to output the plausible keypoint sequence to go with audio of any arbitrary length. Audio2Keypoint generalizes across unseen people with a different facial structure allowing us to generate the sequence with the voice from any source or even synthetic voices. Instead of learning a direct mapping from audio to video domain, this work aims to learn the audio-keypoint mapping that allows for in-plane and out-of-plane head rotations, while preserving the person's identity using a Pose Invariant (PIV) Encoder.",0,"Facial Keypoint Sequence Generation from Audio
P Manocha, P Guha - arXiv preprint arXiv:2011.01114, 2020
Related articles All 3 versions",{},,,
Overlapped/Non-Overlapped Speech Transition Point Detection Using Bag-of-Audio-Words,"Shikha Baghel, SR Mahadeva Prasanna, Prithwijit Guhal",2020/7/19,,,,IEEE,"Overlapped speech refers to an audio signal which contains speech of two or more speakers speaking simultaneously. Overlapped speech is one of the main sources of error for speaker diarization systems. This work presents an initial study to identify the transition points of overlapped to non-overlapped speech and vice-versa. Characteristics of overlapped and non-overlapped speech are examined in terms of the vocal tract system, excitation source, and modulation spectrum. The Hilbert envelope (HE) of Linear Prediction (LP) residual signal represents the excitation source characteristics of speech signal. The Sum of Ten Largest Peaks (STLP) of the spectrum and Mel-Frequency Cepstral Coefficients (MFCCs) represent the vocal tract shape information. The modulation spectrum energy (ModSE) captures the information of slowly varying temporal envelope of speech. A Bag-of-Audio-Words (BoAW) based …",0,"Overlapped/Non-Overlapped Speech Transition Point Detection Using Bag-of-Audio-Words
S Baghel, SRM Prasanna, P Guhal - 2020 International Conference on Signal Processing …, 2020
Related articles All 2 versions",{},,1-5,2020 International Conference on Signal Processing and Communications (SPCOM)
Classification of speech vs. Speech with background music,"Mrinmoy Bhattacharjee, SR Mahadeva Prasanna, Prithwijit Guha",2020/7/19,,,,IEEE,Applications that perform enhancement of speech containing background music require a critical preprocessing step that can efficiently detect such segments. This work proposes such a preprocessing method to detect speech with background music that is mixed at different SNR levels. A bag-of-words approach is proposed in this work. Representative dictionaries from speech and music data are first learned. The signals are processed as spectrograms of 1s intervals. Rows of these spectrograms are used to learn separate speech and music dictionaries. This work proposes a weighting scheme to reduce confusion by suppressing codewords of one class that have similarities to the other class. The proposed feature is a weighted histogram of 1s audio intervals obtained from the learned dictionaries. The classification is performed using a deep neural network classifier. The proposed approach is validated against a …,1,"Classification of speech vs. Speech with background music
M Bhattacharjee, SRM Prasanna, P Guha - 2020 International Conference on Signal Processing …, 2020
Cited by 1 Related articles All 2 versions",{'2022': 1},,1-5,2020 International Conference on Signal Processing and Communications (SPCOM)
CQ-VQA: Visual Question Answering on Categorized Questions,"Aakansha Mishra, Ashish Anand, Prithwijit Guha",2020/7/19,,,,IEEE,"This paper proposes CQ-VQA, a novel two-level hierarchical but end-to-end model to solve the task of visual question answering (VQA). The first level of CQ-VQA, referred to as Question Categorizer (QC), classifies questions to reduce the potential answer search space. The QC uses attended and fused features of the input question and image. The second level, referred to as Answer Predictor (AP), comprises of a set of distinct classifiers corresponding to each question category. Depending on the question category predicted by QC, only one of the classifiers of AP remains active. The loss functions of QC and AP are aggregated together to make it an end-to-end model. The proposed model (CQ-VQA) is evaluated on the TDIUC dataset and is benchmarked against state-of-the-art approaches. Results indicate a competitive or better performance of CQ-VQA.",2,"CQ-VQA: Visual Question Answering on Categorized Questions
A Mishra, A Anand, P Guha - 2020 International Joint Conference on Neural …, 2020
Cited by 2 Related articles All 5 versions","{'2021': 1, '2022': 1}",,1-8,2020 International Joint Conference on Neural Networks (IJCNN)
