Title,Authors,Publication date,Journal,Volume,Issue,Publisher,Description,Total citations,Scholar articles,Citation Count,Pages,Book,Conference,Source,Institution
Applying a random projection algorithm to optimize machine learning model for breast lesion classification,"Morteza Heidari, Sivaramakrishnan Lakshmivarahan, Seyedehnafiseh Mirniaharikandehei, Gopichandh Danala, Sai Kiran R Maryada, Hong Liu, Bin Zheng",2021/1/25,IEEE Transactions on Biomedical Engineering,68,9,IEEE,"Objective:
Since computer-aided diagnosis (CAD) schemes of medical images usually computes large number of image features, which creates a challenge of how to identify a small and optimal feature vector to build robust machine learning models, the objective of this study is to investigate feasibility of applying a random projection algorithm (RPA) to build an optimal feature vector from the initially CAD-generated large feature pool and improve performance of machine learning model.
Methods:
We assemble a retrospective dataset involving 1,487 cases of mammograms in which 644 cases have confirmed malignant mass lesions and 843 have benign lesions. A CAD scheme is first applied to segment mass regions and initially compute 181 features. Then, support vector machine (SVM) models embedded with several feature dimensionality reduction methods are built to predict likelihood of lesions being …",18,"Applying a random projection algorithm to optimize machine learning model for breast lesion classification
M Heidari, S Lakshmivarahan, S Mirniaharikandehei… - IEEE Transactions on Biomedical Engineering, 2021
Cited by 18 Related articles All 9 versions","{'2021': 6, '2022': 9, '2023': 3}",2764-2775,,,,
On controlling the shape of the cost functional in dynamic data assimilation: guidelines for placement of observations and application to Saltzman’s model of convection,"S Lakshmivarahan, John M Lewis, Junjun Hu",2020/8/12,Journal of the Atmospheric Sciences,77,8,American Meteorological Society,"Berliner, LM, ZQ Lu, and C. Snyder, 1999: Statistical design for adaptive weather observations. J. Atmos. Sci., 56, 2536–2552, https://doi. org/10.1175/1520-0469 (1999) 056< 2536: SDFAWO> 2.0. CO; 2.",5,"On controlling the shape of the cost functional in dynamic data assimilation: guidelines for placement of observations and application to Saltzman’s model of convection
S Lakshmivarahan, JM Lewis, J Hu - Journal of the Atmospheric Sciences, 2020
Cited by 5 Related articles All 5 versions","{'2021': 1, '2022': 4}",2969-2989,,,,
Generalized Gray codes and their properties,"Linda S Barasch, S Lakshmivarahan, Sudarshan K Dhall",2020/6/29,,,,CRC Press,"This chapter provides various definitions of generalized Gray codes and brings out the intrinsic difference between the Gray codes with odd and even base. The widespread availability of distributed memory architectures based on the binary hypercube topology, there is a growing interest in the portability of algorithms developed for architectures based on other topologies such as linear arrays, rings, multidimensional grids, trees, to hypercube based architectures. While these generalized Gray codes have immediate applications to the embedding of graphs in a base-b cube, the analysis of their properties holds independent interest as well. However, there is a close relation between the cyclic Gray codes and a class of Gray codes called reflected Gray codes.",9,"Generalized Gray codes and their properties
LS Barasch, S Lakshmivarahan, SK Dhall - Mathematics for Large Scale Computing, 2020
Cited by 9 Related articles All 2 versions",{},203-216,Mathematics for Large Scale Computing,,,
Journal of the Ramanujan Mathematical Society,"Kashyap Rajeevsarathy, Siddhartha Sarkar, Sivaramakrishnan Lakshmivarahan, Pawan Kumar Aurora",2020/6,Journal of the Ramanujan Mathematical Society,35,2,,"Let Γ (G, S) denote the Cayley graph of a group G with respect to a set S⊂ G. In this paper, we analyze the spectral properties of the Cayley graphs T m, n, k= Γ (ℤm⋉ k ℤn,{(±1, 0),(0,±1)}), where m, n≥ 3 and km≡ 1 (mod n). We show that the adjacency matrix of T m, n, k, upto relabeling, is a block-circulant matrix, and obtain an explicit description of these blocks. By applying some known bounds on the eigenvalues of Hermitian matrices, we show that T m, n, k is not Ramanujan, when either m> 8, or n≥ 400. Finally, we list the collection of all pairs in {(m, n): 3≤ m≤ 8 and 3≤ n< 400} for which there exist at least one k> 1 such that T m, n, k is Ramanujan.",0,"Journal of the Ramanujan Mathematical Society
K Rajeevsarathy, S Sarkar, S Lakshmivarahan… - Journal of the Ramanujan Mathematical Society, 2020",{},159-175,,,,
Placement of observations to correct return-flow forecasts,"John M Lewis, S Lakshmivarahan, Junjun Hu, Robert Rabin",2020,,15,,,"The continued presence of systematic errors in operational forecasts of return flow over the Gulf of Mexico has motivated an investigation into this problem. The theme of the work is use of a low-order mixed-layer model that is faithful to the phenomenon in the context of dynamic data assimilation. Data assimilation experiments in the identical-twin mode determine the best place to make observations that minimize the forecast error through adjustment of model controls. The emphasized controls are those associated with the fluxes of heat and moisture from sea to atmosphere. Results indicate that the best observations are at that time and place when the outflowing continental air passes over the warmest sea surface temperatures. In the case studied, this warmest zone is directly over the Loop Current. Observations at times long after the modified air leaves these warmest waters lead to relatively poor control adjustments and little improvement in the forecast. If input to data assimilation is restricted to observations of a single model variable over short intervals of time (the order of several hours), results are relatively poor. Yet, a significant improvement is forthcoming if one of the observations is replaced by an observation from another model variable. This result is understood through arguments based on forecast sensitivity to model control. The paper ends with discussion of steps to be taken that hold promise for correcting systematic error in return-flow forecasts.",2,"Placement of observations to correct return-flow forecasts
JM Lewis, S Lakshmivarahan, J Hu, R Rabin - 2020
Cited by 2 Related articles All 6 versions",{'2022': 2},,,,,
Assessment of regional aerosol radiative effects under the SWAAMI campaign–Part 1: Quality-enhanced estimation of columnar aerosol extinction and absorption over the Indian …,"Harshavardhana Sunil Pathak, Sreedharan Krishnakumari Satheesh, Ravi Shankar Nanjundiah, Krishnaswamy Krishna Moorthy, Sivaramakrishnan Lakshmivarahan, Surendran Nair Suresh Babu",2019/9/24,Atmospheric Chemistry and Physics,19,18,Copernicus Publications,"Improving the accuracy of regional aerosol climate impact assessment calls for improvement in the accuracy of regional aerosol radiative effect (ARE) estimation. One of the most important means of achieving this is to use spatially homogeneous and temporally continuous datasets of critical aerosol properties, such as spectral aerosol optical depth (AOD) and single scattering albedo (SSA), which are the most important parameters for estimating aerosol radiative effects. However, observations do not provide the above; the space-borne observations though provide wide spatial coverage, are temporal snapshots and suffer from possible sensor degradation over extended periods. On the other hand, the ground-based measurements provide more accurate and temporally continuous data but are spatially near-point observations. Realizing the need for spatially homogeneous and temporally continuous datasets on one hand and the near non-existence of such data over the south Asian region (which is one of the regions where aerosols show large heterogeneity in most of their properties), construction of accurate gridded aerosol products by synthesizing the long-term space-borne and ground-based data has been taken up as an important objective of the South West Asian Aerosol Monsoon Interactions (SWAAMI), a joint Indo-UK field campaign, aiming at characterizing aerosol–monsoon links and their variabilities over the Indian region.
In Part 1 of this two-part paper, we present spatially homogeneous gridded datasets of AOD and absorption aerosol optical depth (AAOD), generated for the first time over this region. These data products are …",13,"Assessment of regional aerosol radiative effects under the SWAAMI campaign–Part 1: Quality-enhanced estimation of columnar aerosol extinction and absorption over the Indian subcontinent
HS Pathak, SK Satheesh, RS Nanjundiah, KK Moorthy… - Atmospheric Chemistry and Physics, 2019
Cited by 13 Related articles All 14 versions","{'2020': 3, '2021': 2, '2022': 7, '2023': 1}",11865-11886,,,,
Supervised seismic facies classification using probabilistic neural networks: Which attributes should the interpreter use?,"David Lubo-Robles, Thang Ha, S Lakshmivarahan, Kurt J Marfurt",2019/9/15,,,,OnePetro,"In the last decade, machine learning algorithms such as Artificial Neural Networks (ANN), Support Vector Machines (SVM), and Self-organizing Maps (SOM) have been adopted by geoscientists both to extract more detailed information and to accelerate the interpretation of their data. In this study, we present a novel technique called Exhaustive PNN which uses Probabilistic Neural Networks to determine the best suite of seismic attributes to perform a supervised seismic facies classification to differentiate salt from the background seismic response in a Eugene Island seismic survey, offshore Louisiana.",10,"Supervised seismic facies classification using probabilistic neural networks: Which attributes should the interpreter use?
D Lubo-Robles, T Ha, S Lakshmivarahan, KJ Marfurt - SEG International Exposition and Annual Meeting, 2019
Cited by 10 Related articles All 5 versions","{'2020': 4, '2021': 2, '2022': 4}",,,SEG International Exposition and Annual Meeting,,
Saltzman’s Model. Part I: Complete Characterization of Solution Properties,"S Lakshmivarahan, John M Lewis, Junjun Hu",2019/6/1,Journal of the Atmospheric Sciences,76,6,American Meteorological Society,"In Saltzman’s seminal paper from 1962, the author developed a framework based on the spectral method for the analysis of the solution to the classical Rayleigh–Bénard convection problem using low-order models (LOMs), LOM (n) with n≤ 52. By way of illustrating the power of these models, he singled out an LOM (7) and presented a very preliminary account of its numerical solution starting from one initial condition and for two values of the Rayleigh number, λ= 2 and 5. This paper provides a complete mathematical characterization of the solution of this LOM (7), herein called the Saltzman LOM (7)[S-LOM (7)]. Historically, Saltzman’s examination of the numerical solution of this low-order model contained two salient characteristics: 1) the periodic solution (in the physical 3D space and time) that expand on Rayleigh’s classical study and 2) a nonperiodic solution (in the temporal space dealing with the evolution of …",3,"Saltzman’s Model. Part I: Complete Characterization of Solution Properties
S Lakshmivarahan, JM Lewis, J Hu - Journal of the Atmospheric Sciences, 2019
Cited by 3 Related articles All 9 versions","{'2020': 1, '2021': 1, '2022': 1}",1587-1608,,,,
A Simple Pure Water Oscillator,"S Lakshmivarahan, N Trung, Barry Ruddick",2017/5,Missouri Journal of Mathematical Sciences,29,1,"University of Central Missouri, Department of Mathematics and Computer Science","In this paper we analyze the properties of a pure water oscillator by considering the pure water lake as a well mixed two layered system. While there is heating of and evaporation from the shallow top layer, the temperature of the deep bottom layer is assumed to be constant. By exploiting the nonlinear dependence of the density of pure water on temperature, we describe two complementary mathematical models to capture the vertical instability resulting from the variation of the density of the top layer with temperature.",0,"A Simple Pure Water Oscillator
S Lakshmivarahan, N Trung, B Ruddick - Missouri Journal of Mathematical Sciences, 2017
Related articles All 2 versions",{},50-79,,,,
Forward Sensitivity Method: General Case,"Sivaramakrishnan Lakshmivarahan, John M Lewis, Rafal Jabrzemski, Sivaramakrishnan Lakshmivarahan, John M Lewis, Rafal Jabrzemski",2017,Forecast Error Correction using Dynamic Data Assimilation,,,Springer International Publishing,"In this chapter we generalize the results of Chaps. 2 and 3 to nonlinear dynamical systems. In Sect. 4.1, the dynamics of evolution of the first order sensitivities are given. The intrinsic relation between the adjoint and forward sensitivities are explored in Sect. 4.2. In Sect. 4.3 forward sensitivity based data assimilation scheme is derived. Exercises and Notes and References are contained in Sects. 4.4 and 4.5, respectively.",0,"Forward Sensitivity Method: General Case
S Lakshmivarahan, JM Lewis, R Jabrzemski… - Forecast Error Correction using Dynamic Data …, 2017
Related articles",{},93-106,,,,
Convergence of a Class of Weak Solutions to the Strong Solution of a Linear Constrained Quadratic Minimization Problem: A Direct Proof Using Matrix Identities,S Lakshmivarahan,2017,"Data Assimilation for Atmospheric, Oceanic and Hydrologic Applications (Vol. III)",,,Springer International Publishing,In this note we provide a direct proof of convergence of the sequence of penalty functionPenalty function based weak solutionsWeak solutions to the strong solution of a quadratic minimization problem with linear constraints using two well-known matrix identities.,1,"Convergence of a Class of Weak Solutions to the Strong Solution of a Linear Constrained Quadratic Minimization Problem: A Direct Proof Using Matrix Identities
S Lakshmivarahan - Data Assimilation for Atmospheric, Oceanic and …, 2017
Cited by 1 Related articles",{'2022': 1},115-119,,,,
Forecast error correction using dynamic data assimilation,"Sivaramakrishnan Lakshmivarahan, John M Lewis, Rafal Jabrzemski",2017,,,,Springer International Publishing,"In this book, we focus on deterministic forecasting based on governing dynamical equations (typically in the form of differential equations). These equations require specification of a control vector for their solution (initial conditions, boundary conditions, physical and/or empirical parameters). Defining forecast error is central to our study as the book title implies. An all-inclusive definition of forecast error is difficult to formulate. Therefore, we find it best to define this error categorically:(1) error due to incorrectly specified terms in the governing equations (or the absence of important terms in these equations),(2) inexact numerical approximations to the analytic form of the dynamical equations including artificial amplification/damping of solutions in the numerical integration process, and (3) uncertainty in the elements of control. That is, error in prediction results from incorrect dynamical laws, numerical inexactitude, and …",22,"Forecast error correction using dynamic data assimilation
S Lakshmivarahan, JM Lewis, R Jabrzemski - 2017
Cited by 22 Related articles All 4 versions",{},,,,,
Forward Sensitivity Method: Scalar Case,"Sivaramakrishnan Lakshmivarahan, John M Lewis, Rafal Jabrzemski, Sivaramakrishnan Lakshmivarahan, John M Lewis, Rafal Jabrzemski",2017,Forecast Error Correction using Dynamic Data Assimilation,,,Springer International Publishing,"In this chapter, using a simple deterministic nonlinear, scalar model, we derive the dynamics of evolution of the first-order and second-order forward sensitivities of the solution or model forecast with respect to control (the initial condition and parameters).",1,"Forward Sensitivity Method: Scalar Case
S Lakshmivarahan, JM Lewis, R Jabrzemski… - Forecast Error Correction using Dynamic Data …, 2017
Cited by 1 Related articles",{'2019': 1},19-56,,,,
Forecast Error Correction Using Optimal Tracking,"Sivaramakrishnan Lakshmivarahan, John M Lewis, Rafal Jabrzemski, Sivaramakrishnan Lakshmivarahan, John M Lewis, Rafal Jabrzemski",2017,Forecast Error Correction using Dynamic Data Assimilation,,,Springer International Publishing,"The basic principle of forecast error correction forecasterror correctionusing dynamic data assimilation dynamicdata assimilation(DDA) is to alter or move the model trajectory modeltrajectorytowards a given set of (noisy) observations in such a way that the weighted sum of squared forecast errors (which is also the square of the energy norm squareof the energy normof the forecast errors) is a minimum. We have classified the various sources of forecast error in Sect. 1.5.2 A little reflection reveals that there are essentially two ways of altering the solution of a dynamical system: (1) changing the control changingthe controlconsisting of the initial/boundary conditions and the parameters of the dynamical model, and (2) by adding an explicit external forcing explicitexternal forcing(a form of state dependent control) which will in turn force the model solution towards the desired goal. The 4D-VAR and FSM based …",0,"Forecast Error Correction Using Optimal Tracking
S Lakshmivarahan, JM Lewis, R Jabrzemski… - Forecast Error Correction using Dynamic Data …, 2017
Related articles",{},107-146,,,,
The Gulf of Mexico problem: Return flow analysis,"Sivaramakrishnan Lakshmivarahan, John M Lewis, Rafal Jabrzemski, Sivaramakrishnan Lakshmivarahan, John M Lewis, Rafal Jabrzemski",2017,Forecast Error Correction Using Dynamic Data Assimilation,,,Springer International Publishing,"In the late fall and winter, a rhythmic cycle of cold air penetrations into the Gulf of Mexico (GoM) takes place.",2,"The Gulf of Mexico problem: Return flow analysis
S Lakshmivarahan, JM Lewis, R Jabrzemski… - Forecast Error Correction Using Dynamic Data …, 2017
Cited by 2 Related articles","{'2019': 1, '2020': 1}",149-205,,,,
Lagrangian Tracer Dynamics,"Sivaramakrishnan Lakshmivarahan, John M Lewis, Rafal Jabrzemski, Sivaramakrishnan Lakshmivarahan, John M Lewis, Rafal Jabrzemski",2017,Forecast Error Correction using Dynamic Data Assimilation,,,Springer International Publishing,"With the steady growth of the interest in ocean circulation ocean circulationsystems and their impact on climate change, there has been a predictable increase in the number of tracer/drifter/buoy tracerdrifterbuoytype ocean observing systems. There is a rich and growing literature on the development and testing of data assimilation technology to effectively utilize this new type of data set. This class of data assimilation has come to be known as Lagrangian data assimilation.",0,"Lagrangian Tracer Dynamics
S Lakshmivarahan, JM Lewis, R Jabrzemski… - Forecast Error Correction using Dynamic Data …, 2017
Related articles",{},207-253,,,,
On the Relation Between Adjoint and Forward Sensitivity,"Sivaramakrishnan Lakshmivarahan, John M Lewis, Rafal Jabrzemski, Sivaramakrishnan Lakshmivarahan, John M Lewis, Rafal Jabrzemski",2017,Forecast Error Correction using Dynamic Data Assimilation,,,Springer International Publishing,"Our goal in this chapter is to clarify the intrinsic relation intrinsicrelationthat exists between the so called adjoint sensitivity adjointsensitivityand the forward sensitivity method (FSM) forwardsensitivity methodintroduced in Chap. 2 Adjoint sensitivity lies at the core of the well known 4-dimensional variational method known as 4D-VAR (Lewis et al. 2006, Chaps. 22–26).",0,"On the Relation Between Adjoint and Forward Sensitivity
S Lakshmivarahan, JM Lewis, R Jabrzemski… - Forecast Error Correction using Dynamic Data …, 2017
Related articles",{},57-91,,,,
Quantification of forecast uncertainty and data assimilation using Wiener’s polynomial chaos expansion,"Junjun Hu, S Lakshmivarahan, John M Lewis",2017,"Data Assimilation for Atmospheric, Oceanic and Hydrologic Applications (Vol. III)",,,Springer International Publishing,"In this chapter we demonstrate the power of the Wiener’s polynomial chaos based approach to quantify the uncertainty in the forecast of a dynamical systemDynamical system when the randomness enters through initial conditionsInitial condition, and/or parameters and/or forcing. This method enables an easy generation of forecast ensemble which can then be combined with one of many known methods for ensemble Kalman filtering.",1,"Quantification of forecast uncertainty and data assimilation using Wiener’s polynomial chaos expansion
J Hu, S Lakshmivarahan, JM Lewis - Data Assimilation for Atmospheric, Oceanic and …, 2017
Cited by 1 Related articles All 2 versions",{'2019': 1},141-176,,,,
