Title,Authors,Publication date,Journal,Volume,Issue,Publisher,Description,Total citations,Scholar articles,Citation Count,Pages,Book,Conference
Modelling and control of nonlinear resonating processes: part I—system identification using orthogonal basis function,"Rajasekhara Reddy, Prabirkumar Saha",2017/12,International Journal of Dynamics and Control,5,,Springer Berlin Heidelberg,"Resonating systems show oscillatory characteristics. System identification of resonating systems and design of their model based control strategy always draw special attention. This work presents a Wiener type system identification technique for nonlinear resonating systems. Orthogonal basis function (henceforth termed as OBF) is employed to capture the linear dynamic part of the Wiener structure while the static nonlinear mapping is described by two means, viz., wavelet decomposition and least squares support vector machine. Use of OBF leads to a parsimonious nature in the resulting nonlinear model. Two types of OBFs have been used in this work viz. Laguerre filter and Kautz filter. The Kautz filter has capability of modelling systems with complex conjugate poles. A case study has been performed with continuous stirred tank reactor (henceforth referred as CSTR) which is a reasonably nonlinear …",11,"Modelling and control of nonlinear resonating processes: part I—system identification using orthogonal basis function
R Reddy, P Saha - International Journal of Dynamics and Control, 2017
Cited by 10 Related articles
Modelling and control of nonlinear resonating processes: part II—model based control using orthogonal basis function based Wiener models*
R Reddy, P Saha - International Journal of Dynamics and Control, 2017
Cited by 4 Related articles",{},1222-1236,,
A Nash game approach to mixed  model predictive control: part 1—state feedback linear system,"Pakkiriswamy Aadaleesan, Prabirkumar Saha",2017/12,International Journal of Dynamics and Control,5,,Springer Berlin Heidelberg,"In this paper, the mixed model predictive control (MPC) using Nash game approach for linear systems is proposed (Aadaleesan in PhD Dissertation, IIT Guwahati 2011, Aadaleesan and Saha in Proceedings of annual meeting of American institute of chemical engineers. Philadelphia 2008). Two-player game strategy is adopted by using two separate cost functions, viz., and cost functions for the minimizing and maximizing players of the game, respectively. The problem ultimately reduces to solving a pair of cross-coupled Riccati equations. Although solving the coupled Riccati equations resulting from LQ games is by itself of theoretical importance, in the present work it has been extended, for the first of its kind, to the regime of receding horizon control. Numerical examples are provided for disturbance rejection case to check the efficiency of the present algorithm against another established …",4,"A Nash game approach to mixed H _ 2/H _ ∞ H 2/H∞ model predictive control: part 1—state feedback linear system
P Aadaleesan, P Saha - International Journal of Dynamics and Control, 2017
Cited by 3 Related articles
A Nash game approach to mixed H _ 2/H _ ∞ H 2/H∞ model predictive control: part 2—stability and robustness*
P Aadaleesan, P Saha - International Journal of Dynamics and Control, 2017
Cited by 2 Related articles","{'2017': 3, '2018': 1}",1063-1072,,
Liquid Membrane Separation Process for the Removal of As (III) & As (V) from Drinking Water,"Soumi Sarkar, Prabirkumar Saha",2017/11/1,2017 AIChE Annual Meeting,,,AIChE,,0,"Liquid Membrane Separation Process for the Removal of As (III) & As (V) from Drinking Water
S Sarkar, P Saha - 2017 AIChE Annual Meeting, 2017",{},,,
Separation of Hexavalent Chromium Cr (VI) from Wastewater through Supported Liquid Membrane Using Environmentally Benign Solvent,"Supriyo Mandal, Prabirkumar Saha",2017/10/31,2017 AIChE Annual Meeting,,,AIChE,,0,"Separation of Hexavalent Chromium Cr (VI) from Wastewater through Supported Liquid Membrane Using Environmentally Benign Solvent
S Mandal, P Saha - 2017 AIChE Annual Meeting, 2017",{},,,
Kautz filters based model predictive control for resonating systems,"Rajasekhara Reddy, Prabirkumar Saha",2017/9,International Journal of Dynamics and Control,5,,Springer Berlin Heidelberg,"Model predictive control (MPC) of a special class of systems called resonating system is presented in this paper using the recursive Kautz model. Kautz functions are known to have the ability to describe resonating systems. They are formulated in a recursive fashion in order to compute the future incremental control effort of MPC. Use of Kautz functions in the optimization procedure leads to parsimonious representation. The efficacy of the proposed Kautz MPC is tested on two case studies, viz. linear highly oscillatory mechanical system and mildly nonlinear magnetic ball suspension system. Performance of Kautz MPC is compared against already published Laguerre MPC. Stability of the Kautz MPC is established through Lyapunov criteria.",5,"Kautz filters based model predictive control for resonating systems
R Reddy, P Saha - International Journal of Dynamics and Control, 2017
Cited by 5 Related articles",{},477-495,,
Separation of cadmium and lead from wastewater using supported liquid membrane integrated with in-situ electrodeposition,"Kamal Kumar Bhatluri, Mriganka Sekhar Manna, Aloke Kumar Ghoshal, Prabirkumar Saha",2017/3/1,Electrochimica Acta,229,,Pergamon,"A novel process for separation of heavy metals from liquid wastes and/or industrial effluents has been developed as described in this paper wherein the technique of supported liquid membrane based extraction and stripping of heavy metals has been augmented with electroplating inside the stripping chamber of SLM. Wastewater, infested with cadmium and lead, has been subject of research in this work. The said process is employed in transporting the heavy metals from the polluted source phase (wastewater) to the sink (or strip) phase while simultaneously depositing the heavy metals in-situ on the electrode placed inside the strip phase, and thereby the strip phase is remained ever-unsaturated. This arrangement yields high gradient of chemical potential across the liquid membrane and thereby facilitates enhanced and faster recovery of said heavy metals and also yields value added component, viz …",36,"Separation of cadmium and lead from wastewater using supported liquid membrane integrated with in-situ electrodeposition
KK Bhatluri, MS Manna, AK Ghoshal, P Saha - Electrochimica Acta, 2017
Cited by 36 Related articles All 4 versions","{'2017': 1, '2018': 7, '2019': 6, '2020': 7, '2021': 5, '2022': 8, '2023': 2}",1-7,,
Pakkiriswamy Aadaleesan &,Prabirkumar Saha,2017,Int. J. Dynam. Control,5,,,"This paper is a note on the stability and robustness of the Nash Game (Vamvoudakis et al. in Adaptive optimal control algorithm for zero-sum nash games with integral reinforcement learning, 2012; Ning et al. in Optim Control Appl Methods. doi: 10.1002/oca. 2042, 2012; Bouyer et al. in Concurrent games with ordered objectives, 2012) based mixed H2/H∞ Model Predictive Controllers (Aadaleesan and Saha in MixedH2/H∞ Model Predictive Control for Unstable and Non-Minimum Constrained Processes, 2008; Aadaleesan in Nash Game based Mixed H2/H∞ Model Predictive Control applied with Laguerre-Wavelet Network Model, 2011) for linear state feedback systems addressed in Part 1 (Aadaleesan and Saha in Int J Dyn Control, 2016) of this series. The mixed H2/H∞ MPC proposed in Part 1 (Aadaleesan and Saha in Int J Dyn Control, 2016) and that developed by Orukpe et al.(Model predictive control based on mixed H2/H∞ control approach, 2007) are compared in this Part 2. The issues of stability and robustness of the multi-criterion optimal control are dealt in this paper using set theoretic concepts.",0,"Pakkiriswamy Aadaleesan &
P Saha - Int. J. Dynam. Control, 2017
Related articles",{},1073-1088,,
Model predictive control of resonant systems using Kautz model,"Shamik Misra, Rajasekhara Reddy, Prabirkumar Saha",2016/10,International Journal of Automation and Computing,13,,"Institute of Automation, Chinese Academy of Sciences","The scope of this paper broadly spans in two areas: system identification of resonant system and design of an efficient control scheme suitable for resonant systems. Use of filters based on orthogonal basis functions (OBF) have been advocated for modelling of resonant process. Kautz filter has been identified as best suited OBF for this purpose. A state space based system identification technique using Kautz filters, viz. Kautz model, has been demonstrated. Model based controllers are believed to be more efficient than classical controllers because explicit use of process model is essential with these modelling techniques. Extensive literature search concludes that very few reports are available which explore use of the model based control studies on resonant system. Two such model based controllers are considered in this work, viz. model predictive controller and internal model controller. A model …",6,"Model predictive control of resonant systems using Kautz model
S Misra, R Reddy, P Saha - International Journal of Automation and Computing, 2016
Cited by 6 Related articles All 6 versions",{},501-515,,
Study of the supported liquid membrane for the estimation of the synergistic effects of influential parameters on its stability,"Aman Kumar, Mriganka Sekhar Manna, Aloke Kumar Ghoshal, Prabirkumar Saha",2016/3/1,Journal of environmental chemical engineering,4,1,Elsevier,"Supported liquid membrane (hereafter referred as SLM) is considered as an impressive alternative and the improved version of the liquid–liquid extraction (hereafter referred as LLE) process owing to some its inherent advantages over the traditional LLE processes. The most crucial problem associated with the SLM technique is its stability i.e. the ability to operate for prolonged time without compromising the quality of the separation. The prevalent reasons for the instability are investigated experimentally to reach to the solutions. In this case study, the extent of stability has been quantified by measuring the performance of SLM in terms of percentage of extraction and recovery of phenol while it is transported across the membrane in a series of runs. The percentage of transportation of phenol at various time scales during the transportation is measured in order to quantify the stability. Initially, the components of the …",27,"Study of the supported liquid membrane for the estimation of the synergistic effects of influential parameters on its stability
A Kumar, MS Manna, AK Ghoshal, P Saha - Journal of environmental chemical engineering, 2016
Cited by 27 Related articles All 5 versions","{'2016': 1, '2017': 5, '2018': 8, '2019': 3, '2020': 1, '2021': 4, '2022': 5}",943-949,,
Supported liquid membrane based removal of lead (II) and cadmium (II) from mixed feed: Conversion to solid waste by precipitation,"Kamal Kumar Bhatluri, Mriganka Sekhar Manna, Aloke Kumar Ghoshal, Prabirkumar Saha",2015/12/15,Journal of Hazardous Materials,299,,Elsevier,"Simultaneous removal of two heavy metals, lead(II) and cadmium(II), from mixed feed using supported liquid membrane (SLM) based technique is investigated in this work. The carrier-solvent combination of “sodium salt of Di-2-ethylhexylphosphoric acid (D2EHPA) (4% w/w) in environmentally benign coconut oil” was immobilized into the pores of solid polymeric polyvinylidene fluoride (PVDF) support. Sodium carbonate (Na2CO3) was used as the stripping agent. Carbonate salts of lead(II) and cadmium(II) were formed in the stripping side interface and they were insoluble in water leading to precipitation inside the stripping solution. The transportation of solute is positively affected due to the precipitation. Lead(II) removal was found to be preferential due to its favorable electronic configuration. The conversion of the liquid waste to the solid one was added advantage for the final removal of hazardous heavy metals.",78,"Supported liquid membrane based removal of lead (II) and cadmium (II) from mixed feed: Conversion to solid waste by precipitation
KK Bhatluri, MS Manna, AK Ghoshal, P Saha - Journal of Hazardous Materials, 2015
Cited by 78 Related articles All 9 versions","{'2015': 1, '2016': 5, '2017': 12, '2018': 19, '2019': 11, '2020': 14, '2021': 5, '2022': 7, '2023': 3}",504-512,,
LOCAL ORGANISING COMMITTEE,"Gautam Biswas, Vimal Katiyar, Amit Kumar, G Pugazhenthi, VV Goud, Prabirkumar Saha, Ramgopal Uppaluri, Prakash Kotecha, Biman Mandal, VS Moholkar, Bishnupada Mandal, Pankaj Tiwari, Senthilkumar Sivaprakasam",2015/1/21,,,,,"I am delighted that the Department of Chemical Engineering, Indian Institute of Technology Guwahati is organizing a two day “Second Symposium on Advances in Sustainable Polymers (ASP-15)” during January 21–22, 2015. This Symposium is supported by the Department of Chemicals and Petrochemicals, Ministry of Chemicals and Fertilizers, Government of India. The event has received an overwhelming response from academic, research and industrial organizations from India and abroad. The Symposium will provide an opportunity for the participants to listen and to interact with national and international luminaries working in the field of sustainable polymers and related areas. It will provide a platform for practicing professionals to disseminate their research knowledge and also foster scientific collaborations to help the society in addressing some of its immediate challenges.",0,"LOCAL ORGANISING COMMITTEE
G Biswas, V Katiyar, A Kumar, G Pugazhenthi… - 2015
All 2 versions",{},,,
Liquid–membrane filters,"Aloke Kumar Ghoshal, Prabirkumar Saha",2015/1/1,,,,Academic Press,"This chapter introduces the basic concept of liquid membrane (LM) technology; theoretical background on the transport of a solute through LM; the underlying mechanisms of transport like passive and active transports; types of transport of solute like cationic, anionic, neutral and switchable transport; various types of LM configurations like bulk liquid membrane, emulsion liquid membrane and supported liquid membrane with merits and demerits of each configurations; types and role of carriers and solvents; selection of carrier and solvent; applicability potential of various environmentally benign solvents and stability aspects of various LM configurations. It then takes up some case studies based on literature reported information, which has been divided into three major categories such as transport of organic solute, inorganic solute and bioactive compounds. One example for each case has been discussed in detail …",14,"Liquid–membrane filters
AK Ghoshal, P Saha - Progress in Filtration and Separation, 2015
Cited by 14 Related articles","{'2016': 3, '2017': 4, '2018': 1, '2019': 1, '2020': 1, '2021': 1, '2022': 2}",155-205,Progress in Filtration and Separation,
Separation of toxic heavy metals from its aqueous solution using environmentally benign vegetable oil as liquid membrane,"Kamal Kumar Bhatluri, Sushma Chakraborty, Mriganka Sekhar Manna, Aloke Kumar Ghoshal, Prabirkumar Saha",2015,RSC advances,5,107,Royal Society of Chemistry,"This paper presents an experimental investigation of simultaneous extraction and recovery of harmful heavy metals from the industrial wastewater through Bulk Liquid Membrane (BLM) based technology. The selective extraction and stripping are achieved through the transportation of two such heavy metals viz., lead and cadmium. The environmentally benign coconut oil is selected as solvent of the Liquid Membrane (LM) through two phase equilibrium studies. Same studies are performed to optimize various physico-chemical parameters, such as pH of feed phase, concentrations of feed and strip phases, temperature, speed of stirring of feed phase, run time (duration of extraction), concentration of carrier etc., on the extraction of cadmium. The performance of LM is enhanced with respect to run time by the use of a suitable extracting agent i.e. carrier. Three phase transportation studies are thereby conducted …",19,"Separation of toxic heavy metals from its aqueous solution using environmentally benign vegetable oil as liquid membrane
KK Bhatluri, S Chakraborty, MS Manna, AK Ghoshal… - RSC advances, 2015
Cited by 19 Related articles All 6 versions","{'2017': 2, '2018': 1, '2019': 1, '2020': 3, '2021': 3, '2022': 6, '2023': 3}",88331-88338,,
Studies on the stability of a supported liquid membrane and its cleaning protocol,"Mriganka Sekhar Manna, Prabirkumar Saha, Aloke Kumar Ghoshal",2015,RSC Advances,5,88,Royal Society of Chemistry,"This paper is a logical continuation of the previous work published by Manna et al. in RSC Adv., 2014, 4, 26247. The referenced paper established a technique for the separation and recovery of trace amounts of bioactive catechins from tea extract and their subsequent iron complexation through a Flat Sheet Supported Liquid Membrane (FS-SLM). However the technique suffers problems such as instability and fouling of the membrane support. In this work, the issues related to the instability and fouling of the SLM have been investigated. The components of the process such as the solvent, aqueous phases, membrane support, electrolyte, surfactant etc. were extensively studied to detect the best operating condition that would yield a better stability. Critical displacement pressure differentials (ΔPc) for the liquid membrane were determined. Thermodynamic aspects of emulsion formation were investigated with the …",15,"Studies on the stability of a supported liquid membrane and its cleaning protocol
MS Manna, P Saha, AK Ghoshal - RSC Advances, 2015
Cited by 15 Related articles All 4 versions","{'2017': 2, '2018': 4, '2019': 4, '2020': 1, '2021': 2, '2022': 1, '2023': 1}",71999-72008,,
Computer aided design of distillation column suitable for classroom teaching,Prabirkumar Saha,2014/12/18,,,,IEEE,"This article presents an integrated approach for design of distillation column which is suitable for classroom teaching. The instructor of a course may seldom need to generate multiple sets of design problems for class assignments. With the present approach he/she has to provide only the input data for individual problems in an MS-Excel® spreadsheet. The methodology integrates the Mail-Merge feature of MSWord® and MS-Excel,® coupled with user-defined function in Microsoft® Visual C++ to generate multiple sets of solution for design of the distillation column. The MATLAB® language for technical computing generates graphical outputs of those design problems. The philosophy of this approach may be extended to other design problems too.",2,"Computer aided design of distillation column suitable for classroom teaching
P Saha - 2014 IEEE Sixth International Conference on …, 2014
Cited by 2 Related articles All 4 versions",{},66-67,,2014 IEEE Sixth International Conference on Technology for Education
Separation of medicinal catechins from tea leaves (Camellia sinensis) extract using hollow fiber supported liquid membrane (HF-SLM) module,"Mriganka Sekhar Manna, Prabirkumar Saha, Aloke Kumar Ghoshal",2014/12/1,Journal of Membrane Science,471,,Elsevier,"Catechins have been recovered in medicinal grade ethanol from tea leaves through hollow fiber supported liquid membrane (HF-SLM) module. In the first phase, synthetic solution of single catechin compound has been used for experimentation to optimize operating conditions. The tests with real extract of green tea leaves followed in the second phase with the similar operating conditions as optimized in the first phase. Tributyl phosphate (or TBP) as a carrier component dissolved in solvent n-decane was used as liquid membrane (LM). Ethanol was found to be ideal strippant of catechins. The flow rates of feed/strip streams and differential pressures across the membrane surfaces were optimized for achieving a stable liquid membrane. The established models for the solute transportation in LM, as found in various literatures, were revisited to explain the experimental results. Preliminary suggestions for the once …",20,"Separation of medicinal catechins from tea leaves (Camellia sinensis) extract using hollow fiber supported liquid membrane (HF-SLM) module
MS Manna, P Saha, AK Ghoshal - Journal of Membrane Science, 2014
Cited by 20 Related articles All 7 versions",{},219-226,,
Supported liquid membrane-based simultaneous separation of cadmium and lead from wastewater,"Kamal Kumar Bhatluri, Mriganka Sekhar Manna, Prabirkumar Saha, Aloke Kumar Ghoshal",2014/6/1,Journal of Membrane Science,459,,Elsevier,"This work is aimed at the investigation of simultaneous extraction and recovery of heavy metals (cadmium and lead) from aqueous solutions through a coconut oil-based Flat Sheet Supported Liquid Membrane (FS-SLM). Environmentally benign nature of coconut oil is the prime advantage in this technique. N-Methyl-N,N-dioctyloctan-1-ammonium chloride (Aliquat 336) is an ideal carrier agent for the transportation of the said heavy metals. Ethylenediaminetetraacetic acid (EDTA) was selected as stripping agent keeping in view its metal chelating capacity. Initially, the performance of Supported Liquid Membrane (SLM) was investigated only for the transportation of cadmium, or precisely Cd(II). A porous polymeric solid membrane viz., polyvinylidene fluoride (PVDF) was used as a support in order to hold and contain the membrane liquid in the SLM structure. The size of the pores in the support is 0.2 μm. The effects of …",72,"Supported liquid membrane-based simultaneous separation of cadmium and lead from wastewater
KK Bhatluri, MS Manna, P Saha, AK Ghoshal - Journal of Membrane Science, 2014
Cited by 72 Related articles All 7 versions","{'2014': 2, '2015': 6, '2016': 8, '2017': 5, '2018': 19, '2019': 12, '2020': 4, '2021': 8, '2022': 7, '2023': 1}",256-263,,
Iron complexation of pharmaceutical catechins through selective separation,"Mriganka Sekhar Manna, Prabirkumar Saha, Aloke Kumar Ghoshal",2014,RSC advances,4,50,Royal Society of Chemistry,"Catechins, natural polyphenols from tea leaves are important building blocks in pharmaceutical industries due to their chemoprotective and cardioprotective effects. The concept of metal complexation of catechins is integrated with liquid membrane based selective separation technique for recovery of pharmaceutical catechins from natural bio-sources. This is first ever approach to amalgamate the complexation chemistry with engineering approach which is green and energy efficient.",15,"Iron complexation of pharmaceutical catechins through selective separation
MS Manna, P Saha, AK Ghoshal - RSC advances, 2014
Cited by 15 Related articles All 4 versions",{},26247-26250,,
Transportation of bioactive (+) catechin from its aqueous solution using flat sheet supported liquid membrane,"Mriganka Sekhar Manna, Kamal Kumar Bhatluri, Prabirkumar Saha, Aloke Kumar Ghoshal",2013/11/15,Journal of membrane science,447,,Elsevier,"Transport of (+) catechin through a flat sheet Supported Liquid Membrane (SLM) has been investigated and reported in this paper. Liquid membrane (LM) was composed of carrier, tributyl phosphate (TBP) dissolved in aliphatic n-decane. Aqueous feed solution containing catechin was maintained at acidic (pH=4) condition using 0.1N HCl whereas ethanol was used as stripping agent. The SLM operation yielded 53% extraction and 49% recovery of the catechin at the optimum operating conditions viz. 100 mg L−1 initial feed concentration, 1.2 M TBP in the membrane phase, 0.4 M ethanol as stripping agent, 200 rpm stirring speed and 25 °C temperature. The SLM method was found reasonably stable using polyvinylidene difluoride (PVDF) as a support material that allows repeatability of use of same support-LM combination. Further, the above transport method was tested for the recovery of catechin compounds …",23,"Transportation of bioactive (+) catechin from its aqueous solution using flat sheet supported liquid membrane
MS Manna, KK Bhatluri, P Saha, AK Ghoshal - Journal of membrane science, 2013
Cited by 23 Related articles All 6 versions","{'2014': 2, '2015': 6, '2016': 4, '2017': 3, '2018': 1, '2019': 2, '2020': 2, '2021': 2, '2022': 1}",325-334,,
